学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Phacelurus latifolius (Steud.) Ohwi,アイアシ,ホソバアイアシ,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Phacelurus latifolius,2021.01.26,3,1935,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Polystichum longifrons Sa.Kurata,アイアスカイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum longifrons,2020.10.09,4,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Botrychium x longistipitatum (Sahashi) Nakaike,アイイズハナワラビ,,標準,ハナヤスリ科,Ophioglossaceae,200001010,ハナヤスリ科,ハナヤスリ科,207,ハナヤスリ科,Ophioglossaceae,207,,Botrychium longistipitatum,2018.06.27,5,2013,OPHIOGLOSSACEAE,OPHIOGLOSSALES,ハナヤスリ目,300001010,ハナヤスリ科,Ophioglossaceae
Dryopteris x yamashitae Sa.Kurata,アイイヌタマシダ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris yamashitae,2009.06.24,6,1969,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Woodwardia x intermedia Christ,アイオオカグマ,,標準,シシガシラ科,Blechnaceae,500007080,シシガシラ科,シシガシラ科,228,シシガシラ科,Blechnaceae,221,,Woodwardia intermedia,2020.10.09,8,1904,ASPLENIACEAE,POLYPODIALES,ウラボシ目,500007160,シシガシラ科,Blechnaceae
Polystichum x iidanum Sa.Kurata,アイカタイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum iidanum,2009.06.24,9,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Pinus x densithunbergii Uyeki,アイグロマツ,アカクロマツ (Uyeki 1953),標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Pinus densithunbergii,2015.12.21,10,1926,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Spiraea chamaedryfolia L.  var. pilosa (Nakai) H.Hara,アイズシモツケ,アイヅシモツケ,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Spiraea chamaedryfolia var. pilosa,2018.08.11,12,1952,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Cirsium aidzuense Nakai ex Kitam.,アイズヒメアザミ,アイヅヒメアザミ,標準,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,,Cirsium aidzuense,2018.08.09,14,1933,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
Polystichum x amboversum Sa.Kurata,アイツヤナシイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum amboversum,2009.06.24,17,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Mitrasacme pygmaea R.Br.,アイナエ,,標準,マチン科,Loganiaceae,787951010,マチン科,マチン科,616,マチン科,Loganiaceae,547,,Mitrasacme pygmaea,2017.03.29,18,1810,LOGANIACEAE,GENTIANALES,リンドウ目,787951030,マチン科,Loganiaceae
Pyrus x uyematsuana Makino,アイナシ,,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Pyrus uyematsuana,2020.09.30,19,1908,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Poa fauriei Hack.,アイヌソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Poa fauriei,2021.01.25,20,1899,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Dryopteris x mituii Seriz.,アイノコクマワラビ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris mituii,2020.02.06,21,1971,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Polystichum x fujisanense Seriz.,アイホソイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum fujisanense,2009.06.24,23,1970,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Dichondra micrantha Urb.,アオイゴケ,,標準,ヒルガオ科,Convolvulaceae,787962010,ヒルガオ科,ヒルガオ科,624,ヒルガオ科,Convolvulaceae,557,,Dichondra micrantha,2020.12.03,27,1924,CONVOLVULACEAE,SOLANALES,ナス目,787962010,ヒルガオ科,Convolvulaceae
Viola hondoensis W.Becker et H.Boissieu,アオイスミレ,,標準,スミレ科,Violaceae,787559250,スミレ科,スミレ科,417,スミレ科,Violaceae,486,,Viola hondoensis,2021.02.01,28,1908,VIOLACEAE,MALPIGHIALES,キントラノオ目,787563250,スミレ科,Violaceae
Phaseolus lunatus L.,アオイマメ,ライマビーン，ライマメ，ライママメ,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,帰,Phaseolus lunatus,2020.12.01,30,1753,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Lemna paucicostata auct. non Hegelm.,アオウキクサ,,synonym,サトイモ科,Araceae,771001020,ウキクサ科,ウキクサ科,722,ウキクサ科,Lemnaceae,644,,Lemna paucicostata,2012.03.26,32,0,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Machilus japonica Siebold et Zucc. ex Blume,アオガシ,ホソバタブ,標準,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Machilus japonica,2018.02.04,35,1851,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Persea japonica (Siebold et Zucc. ex Blume) Kosterm.,アオガシ,ホソバタブ,synonym,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Persea japonica,2018.02.04,36,1962,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Sabia japonica Maxim.,アオカズラ,,標準,アワブキ科,Sabiaceae,782001010,アワブキ科,アワブキ科,337,アワブキ科,Sabiaceae,450,,Sabia japonica,2019.04.01,37,1867,SABIACEAE,PROTEALES,ヤマモガシ目,782001010,アワブキ科,Sabiaceae
Cyperus nipponicus Franch. et Sav.  var. nipponicus,アオガヤツリ,オオタマガヤツリ,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Cyperus nipponicus var. nipponicus,2020.12.07,41,1878,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Wikstroemia retusa A.Gray,アオガンピ,オキナワガンピ,標準,ジンチョウゲ科,Thymelaeaceae,787564070,ジンチョウゲ科,ジンチョウゲ科,497,ジンチョウゲ科,Thymelaeaceae,482,,Wikstroemia retusa,2021.02.04,43,1865,THYMELAEACEAE,MALVALES,アオイ目,787577060,ジンチョウゲ科,Thymelaeaceae
Aucuba japonica Thunb.  var. japonica,アオキ,ヒロハノアオキ,標準,アオキ科,Aucubaceae,787931020,ミズキ科,ミズキ科,507,ミズキ科,Cornaceae,525,,Aucuba japonica,2018.02.04,44,1783,,,,,,
Firmiana simplex (L.) W.F.Wight,アオギリ,ケナシアオギリ,標準,アオイ科,Malvaceae,787564040,アオギリ科,アオギリ科,402,アオギリ科,Sterculiaceae,477,,Firmiana simplex,2017.12.13,45,1909,MALVACEAE,MALVALES,アオイ目,787577040,アオイ科,Malvaceae
Amaranthus retroflexus L.,アオゲイトウ,アオビユ (Matsumura 1895),標準,ヒユ科,Amaranthaceae,787801160,ヒユ科,ヒユ科,372,ヒユ科,Amaranthaceae,337,帰,Amaranthus retroflexus,2018.01.31,46,1753,AMARANTHACEAE,CARYOPHYLLALES,ナデシコ目,787801160,ヒユ科,Amaranthaceae
Juncus papillosus Franch. et Sav. ,アオコウガイゼキショウ,ホソバノコウガイゼキショウ，ホソバノコウガイ,標準,イグサ科,Juncaceae,776005090,イグサ科,イグサ科,732,イグサ科,Juncaceae,629,,Juncus papillosus,2017.02.20,47,1878,JUNCACEAE,POALES,イネ目,776004080,イグサ科,Juncaceae
