和名,学名,成虫発生時期,成虫発生時期に関する備考
ツマアカシャチホコ,Clostera anachoreta Denis & Schiffermüller, 1775,5~6月初旬、8月中旬,北海道では年2化。暖地では多化、蛹越冬。
ニセツマアカシャチホコ,Clostera albosigma Fitch, 1855,5~6月、8月,年2化。蛹越冬。
セグロシャチホコ,Clostera anastomosis (Linnaeus, 1758),6月、8月、9月中旬,北海道では年2化、関東では3化目が9月中旬に出現。暖地では多化する。幼虫越冬。
ヒナシャチホコ,Micromelalopha troglodyta (Graeser, 1890),5月から (本州)、6月中旬~7月中旬 (寒地),寒地では年1化、本州では年2化するところが多く、暖地では年3化蛹越冬する。
クワゴモドキシャチホコ,Gonoclostera timoniorum (Bremer, 1861),春から秋遅く (本州)、6月初旬、7月下旬 (北海道),暖地では年3化し、北海道では年2化である。蛹越冬。
ホシナカグロモクメシャチホコ,Furcula bicuspis (Borkhausen, 1790),6~7月と8~9月,年2化。蛹で越冬。
ナカグロモクメシャチホコ,Furcula furcula (Clerck, 1759),5月から (九州)、6~8月 (北海道),北海道では年2化。暖地では年3化以上。蛹越冬。
モクメシャチホコ,Cerura felina (Butler, 1877),5~6月中旬,年1化。
オオモクメシャチホコ,Cerura erminea (Esper, 1783),5月から (本州以南)、6~7月 (北海道),本州以南では年2化、北海道では年1化。
タッタカモクメシャチホコ,Kamalia tattakana (Matsumura, 1927),3月、6月 (南西諸島)、6月 (本土),繭をつくり越冬する。
ギンシャチホコ,Harpyia umbrosa (Staudinger, 1892),5月から,年2化。
ツシマクロモンシャチホコ,Harpyia tokui (Sugi, 1977),3~4月頃、8月,年1化。一部は2化するのかもしれない。蛹で越夏し、そのまま蛹で越冬。
コフタオビシャチホコ,Gluphisia crenata (Esper, 1785),5月と8月,年2化。
エグリシャチホコ,Ptilodon robusta (Matsumura, 1924),6月、8月,年2化。
エゾエグリシャチホコ,Ptilodon jezoensis (Matsumura, 1919),5~6月、8月,年2化。
クワヤマエグリシャチホコ,Ptilodon kuwayamae (Matsumura, 1919),6月初旬と8月,2化。
スジエグリシャチホコ,Ptilodon hoegei (Graeser, 1888),6月初旬からと8月中旬から,年2化。蛹越冬。
クロエグリシャチホコ,Ptilodon okanoi (Inoue, 1958),6月と8月,年2化。蛹越冬。
ウスヅマシャチホコ,Lophontosia cucullus (Bang-Haas, 1927),5月からと8月から,年2化。
プライヤエグリシャチホコ,Lophontosia pryeri (Butler, 1879),4月から (九州)、6月ごろから (本州)、8月頃 (2化目),年2化。
クロスジシャチホコ,Lophocosma sarantuja Schintlmeister & Kinoshita, 1984,5~7月と8~9月,年2化。土中で蛹越冬。
アカシャチホコ,Gangaridopsis citrina (Wileman, 1911),5月、8月,年2化。蛹越冬。
シーベルスシャチホコ,Odontosia sieversii (Ménétriès, 1856),4~5月 (本州)、5~6月 (北海道),年1化。
ホッカイエグリシャチホコ,Odontosia walakui Kobayashi, 2006,6月上旬から7月まで,年1化。
コクシエグリシャチホコ,Odontosia marumoi Inoue, 1955,5月下旬から7月下旬,年1化。
モンキシロシャチホコ,Leucodonta bicoloria (Denis & Schiffermüller, 1775),6月初旬 (北海道)、7月 (山地寒地),年1化。蛹越冬。
キエグリシャチホコ,Himeropteryx miraculosa (Staudinger, 1887),9月下旬から11月,年1化、秋に出現。卵越冬。
エゾクシヒゲシャチホコ,Ptilophora jezoensis (Matsumura, 1920),10月上旬~11月上旬,卵越冬。
クシヒゲシャチホコ,Ptilophora nohirae (Matsumura, 1920),10月下旬~12月上旬,年1化。卵越冬。
アオバシャチホコ,Zaranga permagna (Butler, 1881),4~5月と8~9月,年2化。蛹越冬。
オオトビモンシャチホコ,Phalerodonta manleyi (Leech, 1889),10月初め (北海道)、11月 (本州),年1化、晩秋の蛾。
エゾギンモンシャチホコ,Spatalia jezoensis Wileman & South, 1916,5~6月、8~9月、7月から (北海道),年2化。
ギンモンシャチホコ,Spatalia dives (Oberthür, 1884),5~6月、7~8月,年2化。
ウスイロギンモンシャチホコ,Spatalia doerriesi Graeser, 1888,5~9月,年2化。蛹越冬。
シロスジエグリシャチホコ,Fusapteryx ladislai (Oberthür, 1880),6月と8月、7月 (北海道),年2化。
ハガタエグリシャチホコ,Hagapteryx admirabilis (Staudinger, 1887),7月から,年1化。蛹越冬。
ゲンカイハガタシャチホコ,Hagapteryx kishidai Nakamura, 1978,5月から8月,年1化。
ネウスシャチホコ,Chadisra bipartita (Matsumura, 1925),通年,
ユミモンシャチホコ,Ellida arcuata (Alphéraky, 1897),4月下旬から5月初旬,年1化。蛹で越冬する。
クロテンシャチホコ,Ellida branickii (Oberthür, 1880),4~6月と7~8月,年2化。蛹越冬。
シロテンシャチホコ,Ellida viridimixta (Bremer, 1861),6月と8月,年2化。蛹越冬。
カバイロモクメシャチホコ,Hupodonta corticalis Butler, 1877,6月下旬~8月,年1化。卵越冬。
スジモクメシャチホコ,Hupodonta lignea Matsumura, 1919,8月,年1化。卵越冬。
トビスジシャチホコ,Notodonta stigmatica Matsumura, 1920,5月、6~7月,年2化。蛹越冬。
ウチキシャチホコ,Notodonta dembowskii (Oberthür, 1879),5~6月と8月,年2化。
トビマダラシャチホコ,Notodonta torva (Hübner, 1803),6月初旬から8月中旬,年1化。蛹越冬。
シロジマシャチホコ,Pheosia rimosa Packard, 1864,5月下旬~6月上旬と7~8月 (本州)、7~8月 (北海道),本州では年2化。北海道では年1化と考えられる。蛹越冬。
ムラサキシャチホコ,Uropyia meticulodina (Oberthür, 1884),4~6月と8~9月,年2化。蛹越冬。
ニッコウシャチホコ,Shachia circumscripta (Butler. 1885),5月, 7月,年2化。
バイバラシロシャチホコ,Cnethodonta grisescens Staudinger, 1887,5~6月、8~9月,年2化。蛹化越冬。
シロシャチホコ,Cnethodonta japonica Sugi, 1980,5~6月と8~9月,2化。
シャチホコガ,Stauropus fagi (Linnaeus, 1758),5月前後、8月前後,年2化。蛹で越冬。
