和名,学名,成虫発生時期,成虫発生時期に関する備考
イカリモンガ,Pterodecta felderi (Bremer, 1864),4~5月 (越冬成虫)、8月 (新成虫),成虫で越冬する。
ベニイカリモンガ,Callidula attenuata (Moore, 1879),5~10月,くわしい化性など不明である。
マエキカギバ,Agnidra scabiosa (Butler, 1877),春(1化目)、7月下旬~8月上旬(2化目),年2化、蛹越冬。
オガサワラカギバ,Microblepsis acuminata (Leech, 1890),5月中旬~6月と7~8月,年2化、蛹越冬。
マンレイカギバ,Microblepsis manleyi (Leech, 1898),5~6月と7~8月,年2化、蛹越冬する。
ヒメハイイロカギバ,Pseudalbara parvula (Leech, 1890),5~6月と7~9月,2化目の幼虫は9~10月に出現し、かなり遅い時期まで中齢幼虫が見られるので、幼虫越冬の可能性が高い。
ヤマトカギバ,Nordstromia japonica (Moore, 1877),春と秋,年2化、蛹越冬する。
エゾカギバ,Nordstromia grisearia (Staudinger, 1892),春と秋,経過習性は前種(ヤマトカギバ)とほぼ同じ。
サキシマカギバ,Nordstromia duplicata (Warren, 1922),3~12月,年間を通して連続的に発生していると思われる。
ウスオビカギバ,Sabra harpagula (Esper, 1786),5月下旬から(関東地方周辺の山間部)、7月下旬~8月中旬(中部地方の山地),北海道、東北地方、中部地方の山地では年1化と思われる。
オビカギバ,Drepana curvatula (Borkhausen, 1790),6~7月と8~9月,年2化。
ウコンカギバ,Tridrepana crocea (Leech, 1889),6月、7月下旬~8月上旬、9月中旬~10月,3回発生する。3化目の♀が産んだ卵は10月中旬以降に孵化し、幼虫で越冬する。
ヒメウコンカギバ,Tridrepana unispina Watson, 1957,3~11月,年3回以上発生すると思われる。本州の産地では前種同様に幼虫越冬で、春早い時期に摂食行動を開始すると推定される。
ギンモンカギバ,Callidrepana patrana (Moore, 1866),5月、7~8月、9月,年3~4回出現すると考えられる。蛹越冬する。
ウスイロカギバ,Callidrepana palleola (Motschulsky, 1866),5月、7~8月、9月,経過習性は前種(ギンモンカギバ)とほぼ同じである。
クロモンカギバ,Callidrepana melanonota Inoue, 1982,3~10月,連続的に発生している。
オオギンモンカギバ,Callidrepana hirayamai Nagano, 1918,3~8月,少なくとも2化以上と思われる。
ナミスジシロカギバ,Ditrigona conflexaria (Walker, 1861),4~8月,蛹越冬と推定できる。
ヨスジシロカギバ,Ditrigona quinquelineata (Leech, 1898),5~6月と7~8月,年2化。夏生は小型。
フタテンシロカギバ,Ditrigona virgo (Butler, 1878),5月上旬~9月下旬,数回出現する。蛹で越冬すると思われる。
ホシベッコウカギバ,Deroca inconclusa (Walker, 1856),5月下旬~6月上旬、7月中旬~8月下旬、9月中~下旬,年3化。越冬は2~3齢幼虫。昼間も飛翔する。
マダラカギバ,Callicilix abraxata Butler, 1885,6月、7月下旬~8月、9月中旬~10月,年3化。幼虫が食樹の小枝に静止して越冬する。
ヒトツメカギバ,Auzata superba (Butler, 1878),5月下旬~6月、7月下旬~8月、9月中旬~10月上旬,2~3齢幼虫が食樹の越冬芽のついている小枝の二叉した所に静止して越冬する。温暖地では成虫も3化以上の可能性が高い。
ウスギヌカギバ,Macrocilix mysticata (Walker, 1863),4~10月の間に3回,奄美大島では2月から得られており、年間を通して連続的に発生していると思われる。10月以降にあらわれた幼虫は、摂食しながら越冬する。
モンウスギヌカギバ,Macrocilix maia (Leech, 1889),4月下旬~10月,3~4回出現すると思われる。幼虫越冬と思われる。
ナカモンカギバ,Cilix filipjevi Kardakoff, 1928,春と夏,経過習性は不明である。
スカシカギバ,Macrauzata maxima Inoue, 1960,5月下旬~11月上旬,3~4回発生する。南西諸島では年間を通じて連続的に発生し、発生回数は本土に比べて多いと思われる。2~3齢で越冬する。
アシベニカギバ,Oreta pulchripes Butler, 1877,5月中~下旬、7月中~下旬、9月中~下旬,年3化。地域によって年4回出現する可能性がある。若齢幼虫が越冬する。
クロスジカギバ,Oreta turpis Butler, 1877,不明,経過習性は前種(アシベニカギバ)とほぼ同じと思われる。幼虫越冬と思われる。
オキナワカギバ,Oreta loochooana Swinhoe, 1902,不明,経過習性は前種(アシベニカギバ)とほぼ同じと思われる。
オオフトカギバ,Oreta fuscopurpurea Inoue, 1956,4月から11月の間に4~5回,鹿児島県では若齢幼虫で越冬し、3月下旬と4月中旬に成虫が羽化している。
ヤエヤマフトカギバ,Oreta extensa Walker, 1855,3月上旬から12月下旬,年間を通して連続的に発生していると思われる。
アカウラカギバ,Hypsomadius insignis Butler, 1877,5~10月,本州では数回出現する。奄美大島~西表島では3月~12月上旬まで得られており、連続的に発生していると思われる。
オオカギバ,Cyclidia substigmaria (Hübner, 1831),5~6月と8~9月,年2化。昼間も飛翔する。
ギンスジカギバ,Mimozethes argentilinearia (Leech, 1897),5~6月と8~9月,年2化。
ナガトガリバ,Euparyphasma maxima (Leech, 1889),6月上旬~8月中旬,年2化。蛹越冬。
モントガリバ,Thyatira batis (Linnaeus, 1758),5~10月,少なくても年2~3化すると思われる。南西諸島では年間を通して発生していると思われる。
キマダラトガリバ,Macrothyatira flavida (Butler, 1885),7~8月,年1化。蛹越冬。
カワムラトガリバ,Horithyatira decorata Moore, 1881,3月下旬~5月,年1化、春に出現。
ウスベニトガリバ,Monothyatira pryeri (Butler, 1881),3月下旬~4月 (低山地)、4月下旬~5月 (山地),年1化、早春の蛾。
ヒメウスベニアヤトガリバ,Habrosyne aurorina (Butler, 1881),4月下旬~6月上旬と7~8月,年2化。蛹で越冬する。
ウスベニアヤトガリバ,Habrosyne dieckmanni (Graeser, 1888),7~8月,年1化。
アヤトガリバ,Habrosyne pyritoides (Hufnagel, 1766),7~8月 (北海道)、5~6月と8~9月 (本州以南),北海道では年1化、本州以南では年2化。
オオアヤトガリバ,Habrosyne fraterna Moore, 1888,5~6月と9~10月,年2化と思われる。静岡県で幼虫越冬が確認されている。沖縄島では1月に得られているので、南西諸島では年間を通して発生していると思われる。
カラフトアヤトガリバ,Habrosyne intermedia (Bremer, 1864),7月,年1化。
フタテントガリバ,Ochropacha duplaris (Linnaeus, 1761),7~8月,年1化。
ヒトテントガリバ,Tetheella fluctuosa (Hübner, 1803),7~8月,年1化。
オオバトガリバ,Tethea ampliata (Butler, 1878),6月上旬~8月下旬,2化性で蛹越冬と思われる。
ホソトガリバ,Tethea octogesima (Butler, 1878),5~6月と7~8月,年2化と思われる。
チョウセントガリバ,Tethea ocularis (Linnaeus, 1767),主に7~8月 (6月にも得られる),年1化。
アカントガリバ,Tethea or (Denis & Schiffermüller, 1775),6月上旬~7月中旬,年1化。
オオマエベニトガリバ,Tethea consimilis (Warren, 1912),5~6月と8~9月,年2化。蛹越冬。
マエベニトガリバ,Tethea trifolium (Alphéraky, 1895),7~8月,年1化と思われる。
マエジロトガリバ,Tethea albicostata (Bremer, 1861),7~8月,年1化。
ナカジロトガリバ,Nemacerota suzukiana (Matsumura, 1921),10~11月 (関東地方周辺の山地)、8月 (高山帯),年1化、秋の蛾である。
ヒメナカジロトガリバ,Nemacerota tancrei (Graeser, 1888),8月、秋にも得られている,年1化。
ウスジロトガリバ,Parapsestis albida Suzuki, 1916,7~8月 (山地)、5~8月 (低山地),年2化の可能性が高い。蛹で越冬する。
ギンモントガリバ,Parapsestis argenteopicta (Oberthür, 1879),5月上旬~9月中旬,少なくとも年2化は発生すると思われる。
ネグロトガリバ,Mimopsestis basalis (Wileman, 1911),5~6月と7~8月,年2化と思われる。蛹で越冬する。
サカハチトガリバ,Kurama mirabilis (Butler, 1879),4月 (関東地方周辺)、5月 (山地),年1化。蛹で越冬する。
ニッコウトガリバ,Epipsestis nikkoensis (Matsumura, 1921),10~11月,年1化。
ムラサキトガリバ,Epipsestis ornata (Leech, 1889),10~11月,年1化。
ウスムラサキトガリバ,Epipsestis nigropunctata (Sick, 1941),10~11月 (関東地方周辺の山地)、9月から (北海道),年1化。
キボシミスジトガリバ,Achlya longipennis Inoue, 1972,4月下旬~5月下旬,年1化。
ミスジトガリバ,Achlya flavicornis (Linnaeus, 1758),4月,年1化。
タマヌキトガリバ,Neodaruma tamanukii Matsumura, 1933,4~5月 (山間部では3月下旬から),年1化。
クラマトガリバ,Sugitaniella kuramana Matsumura, 1933,3月下旬~4月,年1化。
ホシボシトガリバ,Demopsestis punctigera (Butler, 1885),3月下旬~4月下旬,年1化。
マユミトガリバ,Neoploca arctipennis (Butler, 1878),3月中旬~4月,年1化。
ナミスジトガリバ,Mesopsestis undosa (Wileman, 1911),5~6月と8~9月,年2化。蛹越冬する。
アマミトガリバ,Horipsestis mushana (Matsumura, 1931),4月と7月,経過習性は不明。
タケウチトガリバ,Betapsestis umbrosa (Wileman, 1911),5~6月 (平地)、6~7月 (山地),年1化。
アゲハモドキ(日本本土亜種),Epicopeia hainesii hainesii Holland, 1889,6月と8月,年2化。
フジキオビ,Schistomitra funeralis Butler, 1881,5~6月,年1化。
キンモンガ,Psychostrophia melanargia Butler, 1877,5~6月と8~9月,年2化。1化目はやや大型。
シロフタオ,Eversmannia exornata (Eversmann, 1837),7~8月,年1化。
クロフタオ,"Epiplema" styx (Butler, 1881),7~8月,年1化。
マエモンフタオ,Dysaethria erasaria (Christoph, 1881),不明,きわめてまれな種。
キスジシロフタオ,Dysaethria cretacea (Butler, 1881),7~8月,年1化。
ハガタフタオ,Dysaethria flavistriga (Warren, 1901),不明,多化性と思われるが、詳細は不明。
クロホシフタオ,Dysaethria moza (Butler, 1878),不明,年数回は発生しているものと思われ、1化目は大型となる。
ヒメクロホシフタオ,Dysaethria illotata (Christoph, 1880),5月から8月,年数回発生していると思われる。
ミナミクロホシフタオ,Dysaethria meridiana (Inoue, 1982),春から秋,年数化。
シタクロオビフタオ,Dysaethria fulvihamata (Hampson, 1912),5月、7月、10月、1月,多化性と思われ、八重山諸島での記録。
アトシロオビフタオ,Europlema desistaria (Walker, 1861),年間を通して,
オキナワフタオ,Europlema semibrunnea (Pagenstecher, 1888),10月と11月,多化性と思われる。
クロテンシロフタオ,Europlema nivosaria (Walker, 1866),3月から8月,
クロオビシロフタオ,Oroplema plagifera (Butler, 1881),春と夏,年2化。
カバシャク,Archiearis parthenias (Linnaeus, 1761),4月上旬から5月中旬,年1化。昼間飛翔する。
クロフカバシャク,Archiearis notha (Hübner, 1808),4月下旬から5月下旬,年1化。昼飛性。
スグリシロエダシャク,Abraxas grossulariata (Linnaeus, 1758),6~8月,年1化、若齢幼虫で越冬する。
スギタニシロエダシャク,Abraxas flavisinuata Warren, 1894,8~9月,年1化。
キタマダラエダシャク,Abraxas sylvata (Scopoli, 1763),6~8月 (北海道)、5~6月と7~9月 (本州),北海道では年1化、本州ではおそらく年2化。
