和名,学名,成虫発生時期,成虫発生時期に関する備考
コブウスチャヒメシャク,"Perixera illepidaria (Guenée, 1857)",未詳,
オキナワウスチャヒメシャク,"Perixera obliviaria (Walker, 1861)",7月,
マダラウスチャヒメシャク,"Perixera sarawackaria (Guenée, 1857)",4月-5月,年1化の可能性がある
クスイウスチャヒメシャク,"Perixera niveopuncta (Warren, 1897)",5月-6月,
フタツメオオシロヒメシャク,"Problepsis albidior Warren, 1899",夏季,
ツシマオオシロヒメシャク,"Problepsis eucircota Prout, 1913",未詳,灯火に集まる
ウススジオオシロヒメシャク,"Problepsis plagiata (Butler, 1881)","北海道: 8月、本州以南: 年2化",北海道では年によって2化の可能性あり
クロスジオオシロヒメシャク,"Problepsis diazoma Prout, 1938",6月-9月,本州では年2化
ヒトツメオオシロヒメシャク,"Problepsis superans (Butler, 1885)",夏季,
ウンモンオオシロヒメシャク,"Somatina indicataria (Walker, 1861)",未詳,
ミドリヒメシャク,"Antitrygodes divisaria (Walker, 1861)",未詳,きわめて普通種
クシヒゲハイイロヒメシャク,"Antilycauges pinguis (Swinhoe, 1902)",夏-秋,年2化
コヒメシャク,"Scopula virgulata (Denis & Schiffermüller, 1775)","5月, 6月, 8月, 9月",年2化しているものと思われる
ヘリグロヒメシャク,"Scopula luridata (Zeller, 1847)",3月-4月,
ウスアカヒメシャク,"Scopula caesaria (Walker, 1861)",10月,
マエキヒメシャク,"Scopula nigropunctata (Hufnagel, 1767)","北海道: 夏、本州以南: 5月, 8月","北海道では夏に1化、本州以南では年2化"
モントビヒメシャク,"Scopula modicaria (Leech, 1897)","北海道: 年1化、本州: 6月頃, 8月頃","北海道ではおそらく年1化、本州では年2化"
クロテンシロヒメシャク,"Scopula apicipunctata (Christoph, 1881)","北海道: 年1化、本州: 6-7月頃, 8-9月頃","北海道ではおそらく年1化、本州では年2化"
タカオシロヒメシャク,"Scopula takao Inoue, 1954","北海道: 年1化、本州: 6月頃, 8-9月頃","北海道ではおそらく年1化、本州では年2化"
スミレシロヒメシャク,"Scopula umbelaria (Hübner, 1813)",6月-7月,年1化
サカハチヒメシャク,"Scopula hanna (Butler, 1878)",5月-9月,年2化しているものと思われる
ウラナミヒメシャク,"Scopula corrivalaria (Kretschmar, 1862)",未詳,採集記録は散発的
ウスキトガリヒメシャク,"Scopula confusa (Butler, 1878)",未詳,各地に普通に産し
ナミスジチビヒメシャク,"Scopula personata (Prout, 1913)",未詳,本州では、おそらく年2化
チビシロヒメシャク,"Scopula kawabei Inoue, 1982",5月, 9月,
ミナミウスキヒメシャク,"Scopula remotata (Guenée, 1857)",11月,
ミスジハイイロヒメシャク,"Scopula cineraria (Leech, 1897)",未詳,まれな種だが、河川敷や海岸での採集例が多い
ハイイロヒメシャク,"Scopula impersonata (Walker, 1861)","5月-6月, 8月-9月",
キトガリヒメシャク,"Scopula emissaria (Walker, 1861)",未詳,まれな種
ハスジトガリヒメシャク,"Scopula ichinosawana (Matsumura, 1925)",6月-8月,
フチグロシロヒメシャク,"Scopula ornata (Scopoli, 1765)",未詳,非常にまれな種である
ウラモンクロスジヒメシャク,"Scopula limbata (Wileman, 1915)",未詳,灯火採集で得られるが、あまり多くない
オオクロテンヒメシャク,"Scopula praesignipuncta Prout, 1920",未詳,これまで得られた標本が少なく、まれ
サツマヒメシャク,"Scopula insolata (Butler, 1889)",未詳,灯火に普通に飛来するが、本州では少ない
キスジシロヒメシャク,"Scopula asthena Inoue, 1943",未詳,かなりまれな種
シベチャシロヒメシャク,"Scopula supernivearia Inoue, 1963",6月-8月,おそらく年1化
キナミシロヒメシャク,"Scopula superior (Butler, 1878)",未詳,灯火採集で普通に得られる
クロスジシロヒメシャク,"Scopula pudicaria (Motschulsky, 1861)",未詳,灯火採集で得られるが、あまり多くない
マルバヒメシャク,"Scopula duplinupta Inoue, 1982",未詳,本州の記録は最近まったくなく、再発見が待たれる
ヤスジマルバヒメシャク,"Scopula floslactata (Haworth, 1809)",未詳,本州の低地では年2化している
アメイロヒメシャク,"Scopula tenuisocius Inoue, 1942",未詳,灯火採集で普通に得られる
ウラテンシロヒメシャク,"Scopula subpunctaria (Herrich-Schäffer, 1847)",未詳,草原での昼間の叩き網でも効率的に得られる
ウラクロスジシロヒメシャク,"Scopula prouti Djakonov, 1935",7月頃,年1化の発生と思われる
サザナミシロヒメシャク,"Scopula nupta (Butler, 1878)","北日本: 年1化、関東地方以南の低地: 年2化",
ヨツボシウスキヒメシャク,"Scopula superciliata (Prout, 1913)",未詳,年2化はしており、夏生は春生に比して小型
オキナワクロテンヒメシャク,"Scopula nesciaria (Walker, 1861)",未詳,灯火採集で得られる
ミナミヒメシャク,"Scopula emma (Prout, 1913)",未詳,かなりまれな種
ウスウラナミヒメシャク,"Scopula longicerata Inoue, 1955",未詳,採集記録は散発的でまれな種
ウスサカハチヒメシャク,"Scopula semignobilis Inoue, 1942",未詳,灯火採集で得られるが、あまり採れない
ミチノクヒメシャク,"Scopula michinoku Sato, 1994",未詳,灯火採集で得られるが、産地は限られる
クリームヒメシャク,"Scopula gilva Sato, 1993",未詳,幼生期も未詳、前種とともに解明が待たれる
ウスキクロテンヒメシャク,"Scopula ignobilis (Warren, 1901)",10月,場所によっては年3化しているものと思われる
ナガサキヒメシャク,"Scopula plumbearia (Leech, 1881)",未詳,東北地方からは最近になって記録されており
ギンバネヒメシャク,"Scopula epiorrhoe Prout, 1935",未詳,灯火採集で普通に得られるが、♂はあまり採れない
シモフリシロヒメシャク,"Scopula coniaria (Prout, 1913)",未詳,灯火によく集まる
タイワントガリヒメシャク,"Scopula pulchellata (Fabricius, 1794)",未詳,
オキナワトガリヒメシャク,"Scopula anisopleura Inoue, 1982",未詳,
イリオモテトガリヒメシャク,"Scopula eulomata (Snellen, 1877)",12月,
ミナミハイイロヒメシャク,"Scopula hypochra (Meyrick, 1888)",未詳,現時点では、小笠原諸島での灯火採集で多数飛来する
ベニヒメシャク,"Idaea muricata (Hufnagel, 1767)",未詳,関東地方の平地では年2化
オビベニヒメシャク,"Idaea nielseni (Hedemann, 1879)",未詳,平地で採れるが、かなりまれな種
キオビベニヒメシャク,"Idaea impexa (Butler, 1879)",未詳,関東地方の平地では年2化
フチベニヒメシャク,"Idaea jakima (Butler, 1878)",未詳,関東地方の平地では年2化
マエベニヒメシャク,"Idaea obliteraria (Leech, 1879)",未詳,石川県の記録は偶産か不明
コフチベニヒメシャク,"Idaea okinawensis Inoue, 1982",未詳,
クロテントビヒメシャク,"Idaea foedata (Butler, 1879)",6月-7月頃,関東地方では、年1化発生する
ウスクロテンヒメシャク,"Idaea salutaria (Christoph, 1881)",10月,年2化している可能性もある
クロオビキヒメシャク,"Idaea terpnaria (Prout, 1913)",7月-8月,
シタベニヒメシャク,"Idaea roseomarginaria (Inoue, 1958)",未詳,
キヒメシャク,"Idaea nudaria (Christoph, 1881)",6月-7月頃,年1化の発生だが、あまり得られない
ヨスジキヒメシャク,"Idaea auricruda (Butler, 1879)",6月-9月,年1化か2化か、不明
ホソスジキヒメシャク,"Idaea remissa (Wileman, 1911)",未詳,♀に比較してるがあまり灯火に飛来せず
ウスキヒカリヒメシャク,"Idaea nitidata (Herrich-Schäffer, 1861)",7月-8月,
ウスジロヒカリヒメシャク,"Idaea promiscuaria (Leech, 1879)",未詳,年1化、かなりまれな種
ウスモンキヒメシャク,"Idaea denudaria (Prout, 1913)",春-秋,
オオウスモンキヒメシャク,"Idaea imbecilla (Inoue, 1955)",未詳,普通種で、灯火採集で得られる
ウスキヒメシャク,"Idaea biselata (Hufnagel, 1767)",夏季,
オイワケヒメシャク,"Idaea invalida (Butler, 1879)",未詳,灯火によく集まる
ミジンキヒメシャク,"Idaea trisetata (Prout, 1922)",未詳,関東地方では年2化、多産する
チビキヒメシャク,"Idaea neovalida (Inoue, 1958)",未詳,本州での記録は非常に散発的
サキシマキヒメシャク,"Idaea contravalida Inoue, 1982",未詳,灯火によく集まる
サクライキヒメシャク,"Idaea sakuraii (Inoue, 1963)",未詳,灯火採集で普通に得られる
クロモンチビヒメシャク,"Idaea crassipuncta (Inoue, 1971)",未詳,
ツシマキヒメシャク,"Idaea paravalida Sato, 1988",未詳,
タナカヒメシャク,"Idaea tanakai Sato, 1994",未詳,
キュウシュウヒメシャク,"Idaea kyushuensis Sato, 1994","5月, 8月, 10月",おそらく年2化あるいは3化しているものと思われる
モンウスキヒメシャク,"Idaea effusaria (Christoph, 1881)",6月-7月,
エゾキヒメシャク,"Idaea aversata (Linnaeus, 1758)",未詳,分布も局地的で、非常にまれ
ツマアカナミシャク,"Aplocera perelegans (Warren, 1894)","低標高: 6月から、高標高: 7-9月",年1化。2化の有無は不明
ルリオビナミシャク,"Acasis viretata (Hübner, 1799)","関東山地: 7-8月、沖縄: 12月","関東山地では年1化と思われる。沖縄では多化性だと考えられる"
テンオビナミシャク,"Acasis appensata (Eversmann, 1842)","関東・中部山地: 6月から、北海道・東北: 7-8月",年1化
アヤコバネナミシャク,"Acasis bellaria (Leech, 1891)",3月-6月,年1化
シロオビコバネナミシャク,"Neopachrophilla albida Inoue, 1955",6月中旬-7月,年1化
ハネナガコバネナミシャク,"Trichopteryx polycommata (Denis & Schiffermüller, 1775)",4月中旬-5月,年1化
シロテンコバネナミシャク,"Trichopteryx grisearia (Leech, 1891)",4月上旬-5月上旬,年1化
シロシタコバネナミシャク,"Trichopteryx fastuosa Inoue, 1958","丘陵部: 3月中旬から、低山地-山地: 4月中下旬-5月中旬",年1化
シタコバネナミシャク,"Trichopteryx hemana (Butler, 1878)","低山部: 4月上旬から、高標高: 5月中-下旬",年1化
ハイイロコバネナミシャク,"Trichopteryx ignorata Inoue, 1958",4月上旬-5月中旬,年1化
チャオビコバネナミシャク,"Trichopteryx terranea (Butler, 1878)","関東山地: 4月上旬から、高標高: 5月下旬まで",年1化
ヒメシタコバネナミシャク,"Trichopteryx microloba Inoue, 1943","低山地-山地: 3月上旬-4月上旬、高標高山地: 5月上旬まで",年1化
クロシタコバネナミシャク,"Trichopteryx misera (Butler, 1879)",3月中旬から,年1化
チャマダラコバネナミシャク,"Trichopteryx nagaii Inoue, 1958",3月中旬-4月上旬,年1化
ウスオビコバネナミシャク,"Trichopteryx incerta Yazaki, 1978",3月中旬-4月上旬,年1化
ウスミドリコバネナミシャク,"Trichopteryx miracula Inoue, 1942","低山地: 3月下旬から、山地(1500m): 4月上旬から",
オビコバネナミシャク,"Trichopteryx muscigera (Butler, 1881)",5月中旬-6月中旬,出現期は他の同属種より遅い
マダラコバネナミシャク,"Trichopteryx ussurica (Wehrli, 1927)","低山地: 3月下旬-4月中旬、山地・寒地: 4月下旬-5月中旬",
クロオビシロナミシャク,"Trichopteryx ustata (Christoph, 1881)","山間部: 4月上旬から、山地(1000m以上): 4月中旬-5月中旬",年1化
ホソクロオビシロナミシャク,"Trichopteryx auricilla Inoue, 1955",未詳,関東地方周辺の山地では出現期は前種と同じ
ウスベニスジナミシャク,"Esakiopteryx volitans (Butler, 1878)","低山地: 3月下旬から、山地(1000m以上): 4月下旬-5月中旬",年1化
ウスアカモンナミシャク,"Trichopterigia consobrinaria (Leech, 1891)","関東: 4月下旬-5月上旬、南西諸島: 1月上旬-12月","関東周辺では年1化。南西諸島では年間を通して発生し経過習性が異なる"
アカモンナミシャク,"Trichopterigia costipunctaria Leech, 1897",3月中旬-4月上旬,年1化
シロシタヒメナミシャク,"Lobophora halterata (Hufnagel, 1769)",5月上-下旬,年1化
アトスジグロナミシャク,"Epilobophora obscuraria (Leech, 1891)","平地: 5月中旬から、山地: 6-7月",年1化
クロフシロナミシャク,"Otoplecta frigida (Butler, 1878)",4月上旬から,年1化、昼飛性
ゴマダラシロナミシャク,"Naxidia maculata (Butler, 1879)","5月-6月, 7月-8月",年2化と思われる
ヒメゴマダラシロナミシャク,"Naxidia semiobscura Inoue, 1955",4月-8月,年2化と思われる
ホシスジトガリナミシャク,"Carige cruciplaga (Walker, 1861)","6月-7月, 9月-10月",年2化
ヒロバトガリナミシャク,"Carige irrorata (Butler, 1879)","6月-7月, 9月",年2化と思われる
ホソバトガリナミシャク,"Carige scutilimbata Prout, 1936","6月-7月, 9月",年2化と思われる
ウスキクロスジナミシャク,"Carige obsoleta (Inoue, 1971)","5月, 11月",年2化以上すると思われる
モンクロキイロナミシャク,"Stamnodes danilovi Erschoff, 1877",7月中旬-8月上旬,年1化、昼飛性
シロオビクロナミシャク,"Trichobaptria exsecuta (Felder & Rogenhofer, 1875)","5月-6月, 8月",年2化、昼飛性
シラフシロオビナミシャク,"Trichodezia kindermanni (Bremer, 1864)","5月-6月, 8月",年2化、昼飛性
シロホソオビクロナミシャク,"Baptria tibiale (Esper, 1791)","5月-6月, 8月",
ウスクモナミシャク,"Heterophleps fusca (Butler, 1878)",5月-7月,
サキシマウスクモナミシャク,"Heterophleps endoi Inoue, 1982",3月,
ミツボシナミシャク,"Heterophleps pallescens (Warren, 1896)",5月下旬-8月上旬,おそらく年2化
コウスグモナミシャク,"Heterophleps confusa (Wileman, 1911)",6月-7月,
アオナミシャク,"Leptostegna tenerata Christoph, 1881",6月-7月,年1化
ホソバナミシャク,"Tyloptera bella (Butler, 1878)","5月-6月, 8月",年2化と思われる
シラユキナミシャク,"Palaeomystis mabillaria (Poujade, 1895)","低標高: 7月中旬、中部山地: 8月",年1化
キリバネホソナミシャク,"Brabira artemidora (Oberthür, 1884)",5月-9月,年2化と思われる
チャホシホソバナミシャク,"Brabira kasaii Sato, 1986",7月-8月,
ミナミヒゲブトナミシャク,"Sauris interruptata (Moore, 1888)",12月,年間を通じて発生していると思われる
ヒゲブトナミシャク,"Sauris nanaria Leech, 1897",5月-8月,
コバネヒゲブトナミシャク,"Sauris marginepunctata (Warren, 1899)",11月下旬(幼虫),暖地では年間を通して発生していると思われる
テングホソナミシャク,"Sauris angustifasciata (Inoue, 1976)",不明,
ナンカイヒゲブトナミシャク,"Sauris hirudinata Guenée, 1857",未詳,年間を通じて連続して出現していると思われる
ウスミドリナミシャク,"Episteira nigrilinearia (Leech, 1897)","本州: 7-8月, 10-11月上旬、南西諸島: 年間","本州では年2化。小笠原諸島、南西諸島では多化性"
マダラヒゲブトナミシャク,"Episteira eupena (Prout, 1936)",7月-8月,九州南部や南西諸島では出現回数は増えると思われる
ミドリホソナミシャク,"Phthonoloba viridifasciata (Inoue, 1963)",未詳,南西諸島では年間を通して発生している
クロモンミヤマナミシャク,"Xanthorhoe fluctuata (Linnaeus, 1758)","本州: 7月下旬-8月中旬、北海道: 7月下旬-8月上旬",年1化
タカネナミシャク,"Xanthorhoe sajanaria (Prout, 1914)",6月下旬-7月下旬,
キアシシロナミシャク,"Xanthorhoe abraxina (Butler, 1879)",6月-7月,年1化
ヨスジナミシャク,"Xanthorhoe quadrifasciata (Clerck, 1759)","5月下旬-6月, 8月-9月",年2化
キタミナミシャク,"Xanthorhoe separata Inoue, 2004",6月中旬-8月上旬,年1化と思われる
アカマダラシマナミシャク,"Xanthorhoe dentipostmediana Inoue, 1954",6月下旬-8月,年1化
ハングロナミシャク,"Xanthorhoe semilactescens Inoue, 1982",4月-5月, 8月,年2化と思われる
フトジマナミシャク,"Xanthorhoe saturata (Guenée, 1857)",4月中旬-12月上旬,
ナカシロスジナミシャク,"Xanthorhoe biriviata (Borkhausen, 1794)",4月-8月,年2化と思われる
トビスジコナミシャク,"Xanthorhoe designata (Hufnagel, 1867)","北海道: 5-6月, 7-8月",年2化と思われる
ナカクロオビナミシャク,"Xanthorhoe purpureofascia Inoue, 1982",7月-8月,年1化と思われる
フタトビスジナミシャク,"Xanthorhoe hortensiaria (Graeser, 1889)","3月下旬-6月, 7月-8月",年2化と思われる
ツマグロナミシャク,"Xanthorhoe muscicapata (Christoph, 1881)",4月下旬-10月,年2-3回出現する
トビスジヒメナミシャク,"Orthonama obstipata (Fabricius, 1794)",3月下旬-11月上旬,多化性と思われる
ウスイロトビスジナミシャク,"Costaconvexa caespitaria (Christoph, 1881)","東海-近畿: 5-6月, 9-10月、北海道: 7月下旬-9月上旬","東海-近畿では年2化、北海道では年1化の可能性が高い"
シラナミナミシャク,"Glaucorhoe unduliferaria (Motschulsky, 1861)",7月-8月,年1化
フタテンツマジロナミシャク,"Euphyia unangulata (Haworth, 1809)",7月下旬-8月,年1化
