文献名,科,亜科,属,種小名,和名,食草,備考
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Luehdorfia,japonica,ギフチョウ,カンアオイ属（ミチノクサイシン、キンキカンアオイ、ミヤコアオイ、ミヤマアオイ、コシノカンアオイ、サンヨウアオイ、ヒメカンアオイ、スズカカンアオイ、カギガタアオイ、ランヨウアオイ、タイリンアオイなど）、ウスバサイシン、フタバアオイ,
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Luehdorfia,puziloi,ヒメギフチョウ,ウスバサイシン、オクエゾサイシン、コシノカンアオイ、ミヤコアオイ、ヒメカンアオイ,
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Sericinus,montela,ホソオチョウ,ウマノスズクサ,
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Parnassius,citrinarius,ウスバアゲハ,ケマンソウ科のムラサキケマン、ジロボウエンゴサク、ヤマエンゴサク、エゾエンゴサク、ミチノクエンゴサク、ヤブエンゴサク、ミヤマキケマン,
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Parnassius,hoenei,ヒメウスパアゲハ,ケマンソウ科のエゾエンゴサク、エゾキケマン、ヤマエンゴサク、ジロボウエンゴサク,
日本産蝶類標準図鑑,アゲハチョウ科,ウスバアゲハ亜科,Parnassius,eversmanni,キイロウスパアゲハ,ケマンソウ科のコマクサ,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Byasa,alcinous,ジャコウアゲハ,ウマノスズクサ、オオバウマノスズクサ、マルバノウマノスズクサ、ホソバウマノスズクサ、リュウキュウウマノスズクサ、コウシュンウマノスズクサ,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Pachliopta,aristolochiae,ベニモンアゲハ,リュウキュウウマノスズクサ、コウシュンウマノスズクサ、ウマノスズクサ,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Troides,aeacus,キシタアゲハ,リュウキュウウマノスズクサ,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Graphium,sarpedon,アオスジアゲハ,クスノキ科（クスノキ、タブノキ、イヌガシ、シロダモ、ニッケイ、ヤブニッケイ、コウチニッケイ、ハマビワ、バリバリノキ、アブラチャン、ゲッケイジュなど）、バラ科のヤマザクラ、モクレン科のオガタマノキ、タイサンボク、ミカン科,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Graphium,doson,ミカドアゲハ,モクレン科（オガタマノキ、タイワンオガタマ、タイサンボク、トウオガタマ、ホオノキ、キンコウボク、ギンコウボク）、パンレイシ科のイヌパンレイシ、ポーポー,
日本産蝶類標準図鑑,アゲハチョウ科,アゲハチョウ亜科,Graphium,agamemnon,コモンタイマイ,モクレン科のタイワンオガタマ、タイサンボク,
