和名,学名,成虫時期,生態の備考
コブウスチャヒメシャク,Perixera illepidaria (Guenée, 1857),未詳,未詳
オキナワウスチャヒメシャク,Perixera obliviaria (Walker, 1861),7月,国内では1929年7月に沖縄島北部で採れた1♂しか知られておらず、その標本はイギリス自然史博物館に所蔵されている。
マダラウスチャヒメシャク,Perixera sarawackaria (Guenée, 1857),"年1化の可能性あり, 4~5月",沖縄島では、飼育下で4~5月に羽化している。若齢幼虫が若葉を食べることから推定して、年1化の可能性がある。
クスイウスチャヒメシャク,Perixera niveopuncta (Warren, 1897),5~6月,小笠原諸島で5~6月に少数個体が得られている。
フタツメオオシロヒメシャク,Problepsis albidior Warren, 1899,夏季,夏季に灯火採集で得られる。
ツシマオオシロヒメシャク,Problepsis eucircota Prout, 1913,不明,灯火に集まる。
ウススジオオシロヒメシャク,Problepsis plagiata (Butler, 1881),"年1化または年2化, 8月",北海道では1化と思われるが、8月に夏生の個体が採れていることから、年によって2化目の個体があらわれる可能性がある。本州以南では年2化、夏生は春生に比して得にくい。
クロスジオオシロヒメシャク,Problepsis diazoma Prout, 1938,"年2化, 6~9月",6~9月に灯火採集で得られる。本州では年2化。
ヒトツメオオシロヒメシャク,Problepsis superans (Butler, 1885),夏季,夏季に灯火採集で普通に得られる。
ウンモンオオシロヒメシャク,Somatina indicataria (Walker, 1861),不明,灯火採集で普通に得られる。
ミドリヒメシャク,Antitrygodes divisaria (Walker, 1861),不明,きわめて普通種。
クシヒゲハイイロヒメシャク,Antilycauges pinguis (Swinhoe, 1902),"年2化, 夏と秋",年2化で、夏と秋に出現する。きわめてまれな種。
コヒメシャク,Scopula virgulata (Denis & Schiffermüller, 1775),"年2化, 5月, 6月, 8月, 9月",きわめてまれな種で、国内では散発的に採れているだけである。年2化しているものと思われる。
ヘリグロヒメシャク,Scopula luridata (Zeller, 1847),3~4月,沖縄島で成虫が3~4月に少数得られている。
ウスアカヒメシャク,Scopula caesaria (Walker, 1861),10月,国内では、西表島で1963年に採れた1♀しか知られていなかったが、2008年に採集されており、おそらく土着しているものと思われる。いずれも10月に得られている。
マエキヒメシャク,Scopula nigropunctata (Hufnagel, 1767),"年1化または年2化, 5月, 8月",各地に普通に産し、北海道では夏に1化、本州以南では5月と8月の年2化の発生と思われる。
モントビヒメシャク,Scopula modicaria (Leech, 1897),"年1化または年2化, 6月, 8月",北海道ではおそらく年1化、本州では6月頃と8月頃の年2化。春生は夏生より大型。
クロテンシロヒメシャク,Scopula apicipunctata (Christoph, 1881),"年1化または年2化, 6~9月",北海道ではおそらく年1化、本州では6~7月頃と8~9月頃の年2化。全国の平地から低山地地にかけて普通。
タカオシロヒメシャク,Scopula takao Inoue, 1954,"年1化または年2化, 6月, 8~9月",各地に普通に産するが、前種よりもやや山地に多い。北海道ではおそらく年1化、本州では6月頃と8~9月頃の年2化。
スミレシロヒメシャク,Scopula umbelaria (Hübner, 1813),"年1化, 6~7月",年1化で6~7月に出現。山地で採れるが、あまり多くない。
サカハチヒメシャク,Scopula hanna (Butler, 1878),"年2化, 5~9月",5月から9月まで採れており、年2化はしているものと思われる。
ウラナミヒメシャク,Scopula corrivalaria (Kretschmar, 1862),不明,成虫の多くは主に湿潤な草原から得られている。採集記録は散発的。
ウスキトガリヒメシャク,Scopula confusa (Butler, 1878),不明,"各地に普通に産し、平地の夏生は小型。"
ナミスジチビヒメシャク,Scopula personata (Prout, 1913),年2化,本州では、おそらく年2化。
チビシロヒメシャク,Scopula kawabei Inoue, 1982,5月, 9月,愛知県では5月と9月に成虫が得られている。
ミナミウスキヒメシャク,Scopula remotata (Guenée, 1857),11月,石垣島では11月に得られている。
ミスジハイイロヒメシャク,Scopula cineraria (Leech, 1897),不明,まれな種だが、河川敷や海岸での採集例が多い。
ハイイロヒメシャク,Scopula impersonata (Walker, 1861),"5~6月, 8~9月",5~6月と8~9月に出現。海岸付近でも比較的よく採れる。
キトガリヒメシャク,Scopula emissaria (Walker, 1861),不明,まれな種。
ハスジトガリヒメシャク,Scopula ichinosawana (Matsumura, 1925),6~8月,6月から8月まで得られ、高山帯での灯火採集では普通に得られる。
フチグロシロヒメシャク,Scopula ornata (Scopoli, 1765),不明,非常にまれな種である。
ウラモンクロスジヒメシャク,Scopula limbata (Wileman, 1915),不明,灯火採集で得られるが、あまり多くない。
オオクロテンヒメシャク,Scopula praesignipuncta Prout, 1920,不明,"これまで得られた標本が少なく、まれ。"
サツマヒメシャク,Scopula insolata (Butler, 1889),不明,灯火に普通に飛来するが、本州では少ない。
キスジシロヒメシャク,Scopula asthena Inoue, 1943,不明,北海道の低地、本州の山地で採れているが、かなりまれな種。
シベチャシロヒメシャク,Scopula supernivearia Inoue, 1963,"年1化, 6~8月",成虫は6~8月に得られており、おそらく年1化。
キナミシロヒメシャク,Scopula superior (Butler, 1878),不明,灯火採集で普通に得られる。
クロスジシロヒメシャク,Scopula pudicaria (Motschulsky, 1861),不明,灯火採集で得られるが、あまり多くない。
マルバヒメシャク,Scopula duplinupta Inoue, 1982,不明,本州の記録は最近まったくなく、再発見が待たれる。
ヤスジマルバヒメシャク,Scopula floslactata (Haworth, 1809),年2化,本州の低地では年2化している。3化があるかどうかについては不明。成虫のフジ属 (マメ科)への訪花活動が観察されている。
アメイロヒメシャク,Scopula tenuisocius Inoue, 1942,不明,灯火採集で普通に得られる。
ウラテンシロヒメシャク,Scopula subpunctaria (Herrich-Schäffer, 1847),不明,草原での昼間の叩き網でも効率的に得られる。
ウラクロスジシロヒメシャク,Scopula prouti Djakonov, 1935,"年1化, 7月頃",7月頃、年1化の発生と思われる。
サザナミシロヒメシャク,Scopula nupta (Butler, 1878),"年1化または年2化",北日本では年1化、関東地方以南の低地では年2化する。
ヨツボシウスキヒメシャク,Scopula superciliata (Prout, 1913),年2化,"年2化はしており、夏生は春生に比して小型。"
オキナワクロテンヒメシャク,Scopula nesciaria (Walker, 1861),不明,灯火採集で得られる。
ミナミヒメシャク,Scopula emma (Prout, 1913),不明,かなりまれな種。
ウスウラナミヒメシャク,Scopula longicerata Inoue, 1955,不明,採集記録は散発的でまれな種。
ウスサカハチヒメシャク,Scopula semignobilis Inoue, 1942,不明,灯火採集で得られるが、あまり採れない。
ミチノクヒメシャク,Scopula michinoku Sato, 1994,不明,灯火採集で得られるが、産地は限られる。
クリームヒメシャク,Scopula gilva Sato, 1993,不明,幼生期も未詳、前種とともに解明が待たれる。
ウスキクロテンヒメシャク,Scopula ignobilis (Warren, 1901),"年3化の可能性あり, 10月",10月にも得られているので、場所によっては年3化しているものと思われる。
ナガサキヒメシャク,Scopula plumbearia (Leech, 1881),不明,東北地方からは最近になって記録されており、分布の北進をうかがわせる。
ギンバネヒメシャク,Scopula epiorrhoe Prout, 1935,不明,灯火採集で普通に得られるが、♂はあまり採れない。
シモフリシロヒメシャク,Scopula coniaria (Prout, 1913),不明,灯火によく集まる。
