和名,学名,成虫時期,生態の備考
イカリモンガ,Pterodecta felderi (Bremer, 1864),"8月(新成虫)、4-5月(越冬後)",成虫で越冬する。昼間、チョウのように活発に飛翔し、翅を立てて静止する。各種の花に訪れ吸蜜する。
ベニイカリモンガ,Callidula attenuata (Moore, 1879),"5-10月",化性など不明。昼間、チョウのように活発に飛翔し、翅を立てて静止する。
マエキカギバ,Agnidra scabiosa (Butler, 1877),"年2化、7月下旬-8月上旬(2化目)","平地から亜高山帯まで広く産する。年2化、蛹越冬。春に1化目の成虫が羽化し、2化目の成虫は7月下旬-8月上旬に出現する。"
オガサワラカギバ,Microblepsis acuminata (Leech, 1890),"年2化、5月中旬-6月、7-8月","関東地方・中部地方では、低山地から亜高山帯まで産する。年2化、関東地方の低山地では5月中旬-6月と7-8月に出現する。蛹越冬。"
マンレイカギバ,Microblepsis manleyi (Leech, 1898),"年2化、5-6月、7-8月",関東地方では山地に産するが、前種より少ない。年2化。経過習性は前種とほぼ同じで、蛹越冬する。
ヒメハイイロカギバ,Pseudalbara parvula (Leech, 1890),"年2化、5-6月、7-9月","関東地方・中部地方の山地では5-6月と7-9月に出現する。2化目の幼虫は9-10月に出現し、かなり遅い時期まで中齢幼虫が見られるので、幼虫越冬の可能性が高い。"
ヤマトカギバ,Nordstromia japonica (Moore, 1877),"年2化、春と秋","関東地方周辺では平地から低山地で得られ、山地には産しない。年2化、春と秋に出現。幼虫は巻いた葉中で蛹化し、蛹越冬する。"
エゾカギバ,Nordstromia grisearia (Staudinger, 1892),年2化、春と秋,経過習性は前種とほぼ同じであるが、本州、九州では食樹との関連があり、ブナ帯に産し、平地から低山帯には生息しない。
サキシマカギバ,Nordstromia duplicata (Warren, 1922),"多化性、3-12月",八重山諸島では3-12月まで採れており、年間を通して連続的に発生していると思われる。
ウスオビカギバ,Sabra harpagula (Esper, 1786),"年1化、5月下旬-8月中旬","東北地方から南下するにしたがって、生息域の標高が高くなる。関東地方周辺の山間部では5月下旬からあらわれるが、中部地方の山地では7月下旬-8月中旬に出現する。"
オビカギバ,Drepana curvatula (Borkhausen, 1790),"年2化、6-7月、8-9月","年2化、関東地方周辺では、6-7月と8-9月に出現する。"
ウコンカギバ,Tridrepana crocea (Leech, 1889),"年3回、6月、7月下旬-8月上旬、9月中旬-10月","平地から低山地に多産する。3化目の♀が産んだ卵は10月中旬以降に孵化し、幼虫で越冬する。"
ヒメウコンカギバ,Tridrepana unispina Watson, 1957,"年3回以上、3-11月","対馬や南西諸島では、3-11月まで連続的に発生が見られ、年3回以上発生すると思われる。本州の産地では幼虫越冬で、春早い時期に摂食行動を開始すると推定される。"
ギンモンカギバ,Callidrepana patrana (Moore, 1866),"年3-4回、5月、7-8月、9月","平地から山地までごく普通。幼虫も5-10月の間に数回出現するが、出現回数は特定しにくいが、年3-4回出現すると考えられる。蛹越冬する。"
ウスイロカギバ,Callidrepana palleola (Motschulsky, 1866),年3-4回,関東地方周辺では平地から山地までごく普通である。各地で前種と混生し、経過習性はほぼ同じである。
クロモンカギバ,Callidrepana melanonota Inoue, 1982,3-10月,沖縄島や奄美大島では3-10月まで連続的に発生している。
オオギンモンカギバ,Callidrepana hirayamai Nagano, 1918,"年2化以上、3-8月",本州では近畿地方以西に産し、対馬や屋久島では多い。沖縄島では3-8月に得られており、少なくとも2化以上と思われる。
ナミスジシロカギバ,Ditrigona conflexaria (Walker, 1861),"多化性、4-8月","4-8月に出現し、多産する。同属他種の経過習性からみて、蛹越冬と推定できる。"
ヨスジシロカギバ,Ditrigona quinquelineata (Leech, 1898),"年2化、5-6月、7-8月","本州では東北地方南部から産し、関東地方周辺では山地に産する。年2化、関東地方周辺では5-6月と7-8月に出現する。"
フタテンシロカギバ,Ditrigona virgo (Butler, 1878),年数回、5月上旬-9月下旬,関東地方周辺では平地から山間部まで広く産し、5月上旬-9月下旬の間に数回出現する。蛹で越冬すると思われる。
ホシベッコウカギバ,Deroca inconclusa (Walker, 1856),"年3化、5月下旬-6月上旬、7月中旬-8月下旬、9月中-下旬","関東地方周辺では、平地から山間部まで広く生息する。灯火にも来るが昼間も弱々しく飛翔する。越冬は2-3齢幼虫で、食樹の越冬芽に丸くなって過ごす。"
マダラカギバ,Callicilix abraxata Butler, 1885,"年3化、6月、7月下旬-8月、9月中旬-10月",関東地方周辺では、低山地から山間部に産する。幼虫が食樹の小枝に静止して越冬する。
ヒトツメカギバ,Auzata superba (Butler, 1878),"年3化以上、5月下旬-10月上旬","全国的に、普通に平地から山地まで広く生息する。2-3齢幼虫が、食樹の越冬芽のついている小枝の二叉した所に静止して越冬する。平地および低山地では、幼虫の出現期に幅があり、温暖地では成虫も3化以上の可能性が高い。"
ウスギヌカギバ,Macrocilix mysticata (Walker, 1863),"年3化、4-10月","関東地方以西ではごく普通で、低山地から山地まで広く生息する。10月以降にあらわれた幼虫は、常緑カシの葉表に体を半円状に静止して、摂食しながら越冬する。奄美大島では2月から得られており、年間を通して連続的に発生していると思われる。"
モンウスギヌカギバ,Macrocilix maia (Leech, 1889),"年3-4回、4月下旬-10月","関東地方以西でも比較的山地性で、前種のように多産しない。幼虫越冬と思われる。"
