和名,学名,成虫時期,生態の備考
アイノクロハナギンガ,"Chasminodes aino Sugi, 1956",7月～10月,"""年1化。幼虫は葉先をつづり、中にひそむ。""。寄主植物: シナノキ (アオイ科)"
アオアカガネヨトウ,"Karana laetevirens (Oberthür, 1884)",6月～8月,"""年1化と思われ、幼虫で越冬する。""。寄主植物: 未知"
アオイガ,"Xanthodes albago (Fabricius, 1794)",11月,寄主植物: 未知
アオキノコヨトウ,"Stenoloba assimilis (Warren, 1909)",8月,"""年1化と思われる。""。寄主植物: 未知"
アオケンモン,"Belciades niveola (Motschulsky, 1866)",6月～8月,"""年1化。""。寄主植物: シナノキ (アオイ科)"
アオスジコヤガ,"Inabaia culta (Butler, 1879)",8月～9月,寄主植物: 未知
アオバセダカヨトウ,"Mormo muscivirens Butler, 1878",5月～9月,"""年1化と推定される。""。寄主植物: 未知"
アオバハガタヨトウ,"Antivaleria viridimacula (Graeser, 1889)",10月～11月,"""年1化。成虫越冬はしない。""。寄主植物: ウラジロガシ (ブナ科)、サクラ類 (バラ科)、リンゴ (バラ科)、サクラ (バラ科)、キイチゴ (バラ科)、フキ (キク科)、キブシ (キブシ科)"
アオホソヤガ,"Lophoptera acuda (Swinhoe, 1906)",6月,"""1981年6月7日に採集された1♂しか知られていない。""。寄主植物: 未知"
アオモンギンセダカモクメ,"Cucullia argentea (Hufnagel, 1766)",9月,"""年1化。""。寄主植物: カワラヨモギ (キク科)"
アカガネヨトウ,"Euplexia lucipara (Linnaeus, 1758)",5月～9月,"""年2化。""。寄主植物: ダイズ (マメ科)、ヌスビトハギ (マメ科)、ギシギシ (タデ科)、タチシノブ (イノモトソウ科)、イノモトソウ (イノモトソウ科)、ワラビ (コバノイシカグマ科)"
アカキンウワバ,"Polychrysia aurata (Staudinger, 1888)",6月～9月,"""年2化。""。寄主植物: エゾトリカブト (キンポウゲ科)"
アカスジキヨトウ,"Mythimna postica (Hampson, 1905)",5月～6月、8月～9月,"""年2化。亜終齢態で越冬する。""。寄主植物: テンキグサ (イネ科)、ヤマアワ (イネ科)、カモガヤ (イネ科)、ススキ (イネ科)、ヨシ (イネ科)、スゲ属 (カヤツリグサ科)"
アカバキリガ,"Orthosia carnipennis (Butler, 1878)",4月～6月,"""年1化。""。寄主植物: リンゴ (バラ科)、モモ (バラ科)、サクラ類 (バラ科)、クリ類 (ブナ科)、コナラ (ブナ科)、クヌギ (ブナ科)、カシワ (ブナ科)、アベマキ (ブナ科)、アラカシ (ブナ科)、サクラ (バラ科)、エノキ (アサ科)、クリ (ブナ科)、フモトミズナラ (ブナ科)、シラカバ (カバノキ科)、オニグルミ (クルミ科)、ウワミズザクラ (バラ科)"
アカヘリヤガ,"Adisura atkinsoni Moore, 1881",8月～9月,寄主植物: フヨウ (アオイ科)、フジマメ (マメ科)、ノアズキ (マメ科)
アカマダラヨトウ,"Spodoptera picta (Guérin-Méneville, 1838)",7月～8月,"""年1化と思われる。""。寄主植物: ハマオモト (ヒガンバナ科)、オオハマオモト (ヒガンバナ科)、タマスダレ (ヒガンバナ科)、ニセエランセマム (キツネノマゴ科)"
アカモクメヨトウ,"Apamea aquila Donzel, 1837",6月～8月,"""年1化。越夏休眠する可能性がある。""。寄主植物: 未知"
アサギリヨトウ,"Sideridis incommoda (Staudinger, 1888)",8月,"""年1回。蛹で越冬する。""。寄主植物: 未知"
アサケンモン,"Acronicta pruinosa (Guenée, 1852)",5月～6月、8月～10月,"""年2化と思われる。""。寄主植物: ツルグミ (グミ科)"
アサマウスモンヤガ,"Xestia descripta (Bremer, 1861)",7月～8月,"""年1化。若齢幼虫で越冬する。""。寄主植物: 未知"
アズサキリガ,"Pseudopanolis azusa Sugi, 1968",4月下旬～5月上旬,"""年1回。""。寄主植物: シラビソ (マツ科)、コメツガ (マツ科)、トウヒ (マツ科)、ウラジロモミ (マツ科)、ゴヨウマツ (マツ科)、不明"
アトウスヤガ,"Actebia fennica (Tauscher, 1806)",8月,"""年1化。""。寄主植物: 未知"
アトジロアルプスヤガ,"Xestia sincera (Herrich-Schäffer, 1851)",7月下旬,"""年1回。ヨーロッパ北部では成虫になるまで2年を要する。""。寄主植物: 未知"
アトジロキヨトウ,"Mythimna compta (Moore, 1881)",3月～10月,寄主植物: 未知
