audit_id,entity,record_id,insect_id,action,field,approved_value,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on
LITINT-REF-001,hostplant,hostplant-000461,species-0910,update_field,reference,日本産蛾類標準図鑑3,,,,,,日本産蛾類標準図鑑3,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-002,hostplant,hostplant-000462,species-0910,update_field,reference,日本産蛾類標準図鑑3,,,,,,日本産蛾類標準図鑑3,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-003,hostplant,hostplant-000488,species-2147,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-004,hostplant,hostplant-000490,species-2149,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-005,hostplant,hostplant-000491,species-2149,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-006,hostplant,hostplant-000492,species-2149,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-007,hostplant,hostplant-000493,species-2149,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-008,hostplant,hostplant-000495,species-2152,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-009,hostplant,hostplant-000496,species-2152,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-010,hostplant,hostplant-000506,species-2167,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-011,hostplant,hostplant-000507,species-2167,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-012,hostplant,hostplant-000508,species-2168,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-013,hostplant,hostplant-000509,species-2168,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-014,hostplant,hostplant-000510,species-2168,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-015,hostplant,hostplant-000511,species-2168,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-016,hostplant,hostplant-000512,species-2169,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-017,hostplant,hostplant-000513,species-2169,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
LITINT-REF-018,hostplant,hostplant-000515,species-2172,update_field,reference,日本のハマキガ1,,,,,,日本のハマキガ1,,,,,,既存抽出バッチの前後行、同一分類群の出典付き行・生態行、および2026-07-10 PDF再監査範囲との一致,include,2026-07-11
