record_id,insect_id,japanese_name,canonical_reference,pdf_file,source_pdf_sha256,pdf_page,printed_page,note_type,decision,approved_content,excluded_categories,reviewed_on
"note-1004752","species-5787","タニガワモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","1","54","生態情報","include","灯火採集で得られる。飛来のピークは19～20時頃。気温が5℃を下回るような寒い日でもライトに飛来する。♀の飛来数は少ない。山地のブナやカツラ、イタヤカエデなどが生える林で採れている。","subjective_emotion;subjective_aesthetic","2026-07-11"
"note-1004753","species-5788","タカセモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","1","55","生態情報","include","灯火に飛来する。飛来時間のピークは19～21時である。当たると100頭近い個体が飛来することもあるが、♀はあまり飛来しない。雪解けとともに発生し、周囲に残雪がある場所で多数得られている。","subjective_emotion;collector_advice;collector_anecdote","2026-07-11"
"note-1004755","species-5786","エゾモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","1","55","生態情報","include","灯火に飛来する。山地では個体数が多いが、飛来する♀の数は少ない。中部地方以北では普通種である。","subjective_aesthetic;collector_anecdote;specimen_advice","2026-07-11"
"note-1004756","species-5789","ホソバハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","2","56","生態情報","include","主に灯火で得られているが、糖蜜にも飛来する。里山の普通種である。","subjective_aesthetic;subjective_emotion;collector_context","2026-07-11"
"note-1004758","species-5791","ミドリハガタヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","2","56","生態情報","include","灯火で採れるが、糖蜜トラップにも飛来する。里山から山地まで分布し、ホソバハガタヨトウやハイイロハガタヨトウと同時に得られることが多い。","subjective_aesthetic;collector_context","2026-07-11"
"note-1004759","species-5793","ケンモンミドリキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","2","57","生態情報","include","灯火に飛来し、個体数も多い。翅の黄緑色は酢酸エチルなどに反応して黄変する。日中はウメノキゴケなどに被われた樹幹に止まり、地衣類に擬態する。","subjective_aesthetic;subjective_emotion","2026-07-11"
"note-1004762","species-5792","シロモンアカガネヨトウ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","2-3","57-58","生態情報","include","灯火に飛来する。山地帯では普通にみられる。","subjective_aesthetic;subjective_emotion;non_ecology","2026-07-11"
"note-1004764","species-6015","プライヤオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","3","58","生態情報","include","灯火にも糖蜜トラップにも飛来する。里山から山地まで各地で少数ずつ採れるが、一度に多数が採集されることはほとんどない。","subjective_aesthetic","2026-07-11"
"note-1004766","species-6014","ナカオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","3","58","生態情報","include","灯火、糖蜜トラップの両方に飛来する。普通種である。","subjective_aesthetic;subjective_emotion","2026-07-11"
"note-1004768","species-6016","ホソバオビキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","3","59","生態情報","include","糖蜜トラップと灯火に飛来する。糖蜜トラップに20頭を超える個体が集まったことがある。","collector_advice;collector_context","2026-07-11"
"note-1004770","species-6019","ヒロバモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","4","60","生態情報","include","照葉樹林がよく残された林での糖蜜トラップが有効で、灯火にもまれに飛来する。光の刺激に敏感で、刺激を受けると落下することが多い。落下時には翅を体全体に巻きつけ、短い木片や小枝のような姿になる。","collector_advice","2026-07-11"
"note-1004772","species-6018","ハネナガモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","4","60","生態情報","include","照葉樹林の林内や林縁での糖蜜トラップが有効で、灯火にもまれに飛来する。光に比較的敏感で、直接懐中電灯の光を当てると落下する。","collector_anecdote;collector_advice","2026-07-11"
"note-1004774","species-6017","アヤモクメキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","4-5","60,62","生態情報","include","糖蜜トラップで採集されるが、まとまって飛来することは少ない。幼虫は各地でみられる。河畔林など植生が比較的単調な場所では糖蜜トラップが有効という情報がある。灯火にも時々飛来する。オオタバコガ用の発生予察フェロモン剤に誘引されるが、得られるのは♂のみである。","collector_advice;collector_anecdote;page_or_column_bleed","2026-07-11"
"note-1004776","species-6021","シロスジキリガ","日本の冬夜蛾","日本のキリガ.pdf","8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d","5","62","生態情報","include","荒れ地や湿地での灯火で得られているが、本州ではたいへん得にくい。浅間山では植生の貧弱な岩礫帯に生息し、ガスの巻くような夜に飛来する。飛来時間は深夜から明け方と思われる。北海道では比較的普通に得られる。","layout_ocr_only","2026-07-11"
