audit_id,insect_id,japanese_name,canonical_reference,pdf_file,source_pdf_sha256,pdf_page,printed_page,note_type,approved_content,decision,replaced_record_ids,legacy_content,previous_canonical_content,rationale,taxon_scope,reviewed_on
KIRIGA-EMERGENCE-001,species-5787,タニガワモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,1,54,出現時期,3〜4月,merge_duplicates,note-000602;note-1004751,3～4月,3~4月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-002,species-5788,タカセモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,1,55,出現時期,3月下旬〜4月,include_canonical,note-000603,,3月下旬~4月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-003,species-5786,エゾモクメキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,1,55,出現時期,3月下旬〜5月上旬,merge_duplicates,note-000604;note-1004754,3月下旬～5月上旬,3月下旬~5月上旬,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-004,species-5790,ハイイロハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,56,出現時期,9〜10月,include_canonical,note-000605,,9-10月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-005,species-5789,ホソバハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,56,出現時期,10〜11月,include_canonical,note-000606,,10~11月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-006,species-5791,ミドリハガタヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,56,出現時期,10〜11月,merge_duplicates,note-000607;note-1004757,10～11月,10~11月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-007,species-5795,ミヤマゴマキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,57,出現時期,5月上旬頃〜7月上旬頃,include_canonical,note-000608,,5月上旬頃から7月上旬頃まで,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-008,species-5793,ケンモンミドリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,57,出現時期,9〜11月,include_canonical,note-000609,,9~11月,canonical側のみ。原典確認済み採用値へ統一,species_account,2026-07-11
KIRIGA-EMERGENCE-009,species-5794,ナンカイミドリキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,57,出現時期,11月下旬〜翌年1月,replace_incorrect,note-000610;note-1004760,11月下旬～1月,1月下旬~1月,新値誤抽出。採用値でcanonicalを置換し旧重複削除,species_account,2026-07-11
KIRIGA-EMERGENCE-010,species-5792,シロモンアカガネヨトウ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,2,57-58,出現時期,4〜5月,merge_duplicates,note-000611;note-1004761,4～5月,4-5月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
KIRIGA-EMERGENCE-011,species-6015,プライヤオビキリガ,日本の冬夜蛾,日本のキリガ.pdf,8d6fdad849c967ec2ea5659fd1b455ea088e13d7bde74d936bbbea97586d703d,3,58,出現時期,9月中旬〜11月,merge_duplicates,note-000612;note-1004763,9月中旬～11月,9月中旬~11月,新旧重複。原典確認済み採用値をcanonicalに1行だけ残す,species_account,2026-07-11
