account_number,pdf_page,printed_page,side,source_japanese_name,source_scientific_name,current_insect_ids,source_scope,application_targets,excluded_targets,scope_reason,objective_ecology,parasitism_fact,existing_note_ids,decision,evidence_note
1,1,225,right,ネズミサシオオアブラムシ,Cinara juniperi (de Geer),species-23091,species_level_unqualified,species-23091,,原典見出しは亜種を限定しない,枝上に多く寄生する。西南日本ではイブキで普通にみられ、行動はあまり活発でない。,枝上に多く寄生する。,note-1005203,apply_single,原PDF page-001右・冊子225頁を目視確認
2,2,226,left,ハネナガオオアブラムシ,Cinara longipennis (Matsumura),species-23092,species_level_unqualified,species-23092,,原典見出しは亜種を限定しない,幹や枝に大きなコロニーを形成し、活発に幹・枝上を移動する。,幹や枝に寄生しコロニーは大きい。,,apply_single,原PDF page-002左・冊子226頁を目視確認
3,2,227,right,マツオオアブラムシ,Cinara pini (Linné),species-23093,species_level_unqualified,species-23093,,原典見出しは亜種を限定しない,小枝または古枝の先端部に寄生し葉には寄生しない。コロニーは小さいことが多い。,小枝または古枝の先端部に寄生し葉には寄生しない。,note-1005204,apply_single,原PDF page-002右・冊子227頁を目視確認
4,3,228,left,ヒメコマツオオアブラムシ,Cinara shinjii (Inoue),species-21123,species_level_unqualified,species-21123,,現行分類のTiliaphis shinjiiへ対応,新梢や枝に寄生し大きなコロニーを形成する。,新梢や枝に寄生しコロニーは大きい。,,apply_single,原PDF page-003左・冊子228頁を目視確認
5,3,229,right,マツノホソアブラムシ,Eulachnus thunbergii (Wilson),species-21565,species_level_unqualified,species-21565,,原典見出しは亜種を限定しない,葉に大きなコロニーを形成し活動性が高い。ときに大発生し、秋に両性世代となって葉に産卵する。,葉に寄生しコロニーは大きい。,,apply_single,原PDF page-003右・冊子229頁を目視確認
6,4,230,left,クリオオアブラムシ,Lachnus tropicalis (van der Goot),species-21538,species_level_unqualified,species-21538,,原典見出しは亜種を限定しない,幹や枝に多数集合して寄生する。クリに普通で害虫として記録される。,幹や枝に多数集合して寄生する。,note-1005205,apply_single,原PDF page-004左・冊子230頁を目視確認
7,4,231,right,ナシミドリオオアブラムシ,Nippolachnus piri Matsumura,species-21541,species_level_unqualified,species-21541,,原典見出しは亜種を限定しない,葉裏の主脈の両側に並び大きなコロニーを形成する。ビワやナナカマドなどの冬寄主上で卵態越冬する。,葉裏に寄生しコロニーは大きい。,note-1005206|note-1005207,apply_single,原PDF page-004右・冊子231頁を目視確認
8,5,232,left,ヤナギコブオオアブラムシ,Tuberolachnus salignus (Gmelin),species-21561,species_level_unqualified,species-21561,,原典見出しは亜種を限定しない,ヤナギ類の幹や枝に大きなコロニーを形成し排泄物が多い。,幹や枝に寄生しコロニーは大きい。,note-1005208,apply_single,原PDF page-005左・冊子232頁を目視確認
9,5,233,right,カバノハチビマダラアブラムシ,Callipterinella calliptera (Hartig),species-21077,species_level_unqualified,species-21077,,原典見出しは亜種を限定しない,シラカンバの葉裏に大きなコロニーを形成する。,葉裏に寄生しコロニーは大きい。,note-1005209,apply_single,原PDF page-005右・冊子233頁を目視確認
10,6,234,left,モクレンヒゲナガマダラアブラムシ,Neocalaphis magnoliae (Essig et Kuwana),species-21096,species_level_unqualified,species-21096,,原典見出しは亜種を限定しない,葉裏に点々と散在することが多いが、ときに大きなコロニーを形成する。,葉裏に点々と散在し、ときに大きなコロニーを形成する。,note-1005210,apply_single,原PDF page-006左・冊子234頁を目視確認
11,6,235,right,ホオノキヒゲナガマダラアブラムシ,Neocalaphis magnolicolens (Takahashi),species-21097,species_level_unqualified,species-21097,,原典見出しは亜種を限定しない,ホオノキの若葉の葉裏で主脈に沿って並び、コロニーはときに大きくなる。初夏の若葉上でみられる。,若葉の葉裏で主脈に沿って並ぶ。,note-1005211|note-1005212,apply_single,原PDF page-006右・冊子235頁を目視確認
12,7,236,left,イヌシデクロマダラアブラムシ,Neochromaphis carpinicola (Takahashi),species-21098,species_level_unqualified,species-21098,,原典見出しは亜種を限定しない,クマシデ類の小枝に寄生し、コロニーはやや大きい。,小枝に寄生しコロニーはやや大きい。,note-1005213,apply_single,原PDF page-007左・冊子236頁を目視確認
