audit_id,entity,record_id,insect_id,source_account,source_taxon,source_taxon_rank,subspecies_scope,action,expected_json,approved_json,source_reference,source_pdf_status,ocr_sha256,ocr_page,printed_page,taxonomy_source,taxonomy_otu_id,false_merge_commit,approved_parent_commit,decision,reviewed_on,review_note
aphid-p0-taxonomy-01,insect,species-21150,species-21150,25,Tuberculatus yokoyamai,species,species_level_unqualified,patch,"{""tribe_jp"":""ヒゲナガアブラムシ族"",""species"":""foeniculus""}","{""tribe_jp"":""マダラアブラムシ族"",""species"":""yokoyamai""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,13,249,https://aphid.speciesfile.org/otus/902665/overview,902665,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-02,insect,species-21193,species-21193,204,Eutrichosiphum pasaniae,species,species_level_unqualified,patch,"{""genus"":""Mollitrichosiphum"",""subgenus"":""Mollitrichosiphum"",""species"":""tenuicorpus"",""scientific_name"":""Mollitrichosiphum tenuicorpus""}","{""genus"":""Eutrichosiphum"",""subgenus"":"""",""species"":""pasaniae"",""scientific_name"":""Eutrichosiphum pasaniae""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,104,430,https://aphid.speciesfile.org/otus/905081/overview,905081,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-03,insect,species-21325,species-21325,70,Aulacorthum kerriae,species,species_level_unqualified,patch,"{""subfamily"":""Greenideinae"",""subfamily_jp"":""ケダアブラムシ亜科"",""genus"":""Mollitrichosiphum"",""subgenus"":""Metatrichosiphon"",""species"":""luchuanum"",""scientific_name"":""Mollitrichosiphum luchuanum""}","{""subfamily"":""Aphidinae"",""subfamily_jp"":""アブラムシ亜科"",""genus"":""Aulacorthum"",""subgenus"":""Aulacorthum"",""species"":""kerriae"",""scientific_name"":""Aulacorthum kerriae""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,36,294,https://aphid.speciesfile.org/otus/913907/overview,913907,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-04,insect,species-21326,species-21326,72,Aulacorthum linderae,species,species_level_unqualified,patch,"{""subfamily"":""Chaitophorinae"",""subfamily_jp"":""ケアブラムシ亜科"",""tribe"":""Chaitophorini"",""genus"":""Chaitophorus"",""subgenus"":""Cavariellinepicauda""}","{""subfamily"":""Aphidinae"",""subfamily_jp"":""アブラムシ亜科"",""tribe"":""Macrosiphini"",""genus"":""Aulacorthum"",""subgenus"":""Aulacorthum""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,37,296,https://aphid.speciesfile.org/otus/913911/overview,913911,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-05,insect,species-21344,species-21344,154,Brevicoryne brassicae,species,species_level_unqualified,patch,"{""subfamily_jp"":""アブラムシ亜科"",""genus"":""Brachycaudus"",""subgenus"":""Hyperomyzus""}","{""subfamily_jp"":""亜科"",""genus"":""Brevicoryne"",""subgenus"":""""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,78,378,https://aphid.speciesfile.org/otus/911255/overview,911255,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-06,insect,species-21364,species-21364,134,Cavariella japonica,species,species_level_unqualified,patch,"{""subfamily_jp"":""アブラムシ亜科"",""genus"":""Brachycaudus"",""subgenus"":""Aulacorthum"",""species"":""corniculum"",""scientific_name"":""Brachycaudus corniculum""}","{""subfamily_jp"":""亜科"",""genus"":""Cavariella"",""subgenus"":""Cavariella"",""species"":""japonica"",""scientific_name"":""Cavariella japonica""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,68,358,https://aphid.speciesfile.org/otus/914057/overview,914057,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-07,insect,species-21368,species-21368,135,Cavariella salicicola,species,species_level_unqualified,patch,"{""subfamily"":""Drepanosiphinae"",""subfamily_jp"":""マダラアブラムシ亜科"",""tribe"":""Saltusaphidini"",""genus"":""Brachysiphoniella"",""subgenus"":""Trichosiphum"",""scientific_name"":""Brachysiphoniella montana"",""synonyms"":""Subsaltusaphis saracola Higuchi""}","{""subfamily"":""Aphidinae"",""subfamily_jp"":""亜科"",""tribe"":""Macrosiphini"",""genus"":""Cavariella"",""subgenus"":""Cavariella"",""scientific_name"":""Cavariella salicicola"",""synonyms"":""""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,68,359,https://aphid.speciesfile.org/otus/914073/overview,914073,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-08,insect,species-21389,species-21389,150,Dysaphis tulipae,species,species_level_unqualified,patch,"{""subfamily"":""Chaitophorinae"",""subfamily_jp"":""ケアブラムシ亜科"",""tribe"":""Chaitophorini"",""genus"":""Chaitophorus"",""species"":""populialbae"",""scientific_name"":""Chaitophorus populialbae""}","{""subfamily"":""Aphidinae"",""subfamily_jp"":""亜科"",""tribe"":""Macrosiphini"",""genus"":""Dysaphis"",""species"":""tulipae"",""scientific_name"":""Dysaphis tulipae""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,76,374,https://aphid.speciesfile.org/otus/910842/overview,910842,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-09,insect,species-21413,species-21413,121,Kaochiaoja arthraxonis,species,species_level_unqualified,patch,"{""subfamily_jp"":""アブラムシ亜科"",""genus"":""Aleurosiphon"",""species"":""smilacifoliae"",""scientific_name"":""Aleurosiphon smilacifoliae""}","{""subfamily_jp"":""亜科"",""genus"":""Kaochiaoja"",""species"":""arthraxonis"",""scientific_name"":""Kaochiaoja arthraxonis""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,61,345,https://aphid.speciesfile.org/otus/911563/overview,911563,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-10,insect,species-21416,species-21416,151,Lipaphis erysimi,species,species_level_unqualified,patch,"{""genus"":""Liosomaphis"",""species"":""berberidis"",""scientific_name"":""Liosomaphis berberidis""}","{""genus"":""Lipaphis"",""species"":""erysimi"",""scientific_name"":""Lipaphis erysimi""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,76,375,https://aphid.speciesfile.org/otus/911583/overview,911583,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-taxonomy-11,insect,species-21419,species-21419,148,Macchiatiella itadori,species,species_level_unqualified,patch,"{""subfamily_jp"":""アブラムシ亜科"",""tribe"":""Pterocommatini"",""species"":""salijaponica"",""scientific_name"":""Pterocomma salijaponica""}","{""subfamily_jp"":""亜科"",""tribe"":""Macrosiphini"",""species"":""itadori"",""scientific_name"":""Macchiatiella itadori""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,75,372,https://aphid.speciesfile.org/otus/912798/overview,912798,1456d7e1676f345d83d0b4b72b2511b8a7039292,3dad4169f38ae55e3490aa8db8e8ea295d709ae5,restore_false_merge_identity,2026-07-12,Restore only fields overwritten by the false Japanese-name merge; preserve unrelated later edits. Unqualified binomial account stays at species rank.
aphid-p0-account23-metadata-01,hostplant,hostplant-PDFAUDIT-20260710-0001,species-21131,23,Tuberculatus fulviabdominalis sensu Moritsu 1983 = Tuberculatus indicus,species,species_level_unqualified,patch,"{""record_id"":""hostplant-PDFAUDIT-20260710-0001"",""insect_id"":""species-21131"",""plant_name"":""コナラ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":"""",""life_stage"":""幼虫"",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}","{""record_id"":""hostplant-PDFAUDIT-20260710-0001"",""insect_id"":""species-21131"",""plant_name"":""コナラ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":""葉裏"",""life_stage"":"""",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,12,247,https://aphidsonworldsplants.info/d_aphids_t/,902719,,,retain_reinterpreted_account_update_metadata,2026-07-12,"Account 23 states leaf underside and no larval stage. Blackman & Eastop treat the Japanese usage as T. indicus, citing Hille Ris Lambers 1974."
aphid-p0-account23-metadata-02,hostplant,hostplant-PDFAUDIT-20260710-0002,species-21131,23,Tuberculatus fulviabdominalis sensu Moritsu 1983 = Tuberculatus indicus,species,species_level_unqualified,patch,"{""record_id"":""hostplant-PDFAUDIT-20260710-0002"",""insect_id"":""species-21131"",""plant_name"":""カシワ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":"""",""life_stage"":""幼虫"",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}","{""record_id"":""hostplant-PDFAUDIT-20260710-0002"",""insect_id"":""species-21131"",""plant_name"":""カシワ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":""葉裏"",""life_stage"":"""",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,12,247,https://aphidsonworldsplants.info/d_aphids_t/,902719,,,retain_reinterpreted_account_update_metadata,2026-07-12,"Account 23 states leaf underside and no larval stage. Blackman & Eastop treat the Japanese usage as T. indicus, citing Hille Ris Lambers 1974."
aphid-p0-account23-metadata-03,hostplant,hostplant-PDFAUDIT-20260710-0003,species-21131,23,Tuberculatus fulviabdominalis sensu Moritsu 1983 = Tuberculatus indicus,species,species_level_unqualified,patch,"{""record_id"":""hostplant-PDFAUDIT-20260710-0003"",""insect_id"":""species-21131"",""plant_name"":""ミズナラ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":"""",""life_stage"":""幼虫"",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}","{""record_id"":""hostplant-PDFAUDIT-20260710-0003"",""insect_id"":""species-21131"",""plant_name"":""ミズナラ"",""plant_family"":""ブナ科"",""observation_type"":""文献"",""plant_part"":""葉裏"",""life_stage"":"""",""reference"":""日本原色アブラムシ図鑑"",""notes"":""掲載名: Tuberculatus fulviabdominalis / 日本・韓国の同名記録は現在 T. indicus の誤同定として扱われる""}",日本原色アブラムシ図鑑,not_available_ocr_candidate_only_no_new_fact,0302ac1f9ad483a9240b0e25e8a97d0cfc6313b0dc4a25ca726109769acc2482,12,247,https://aphidsonworldsplants.info/d_aphids_t/,902719,,,retain_reinterpreted_account_update_metadata,2026-07-12,"Account 23 states leaf underside and no larval stage. Blackman & Eastop treat the Japanese usage as T. indicus, citing Hille Ris Lambers 1974."
