canonical_id,duplicate_id,official_url,status,evidence_note
species-21863,species-21864,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 11の同一レコードに現行名 Hirticlytus comosus (Matsushita, 1941) と旧組合せ Anaglyptus comosus Matsushita, 1941 を併記。duplicate側 hostplants=0, general_notes=0。"
species-21894,species-21895,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 32の同一レコードに現行名 Poecilium maaki viarius (Danilevsky, 1988) と旧組合せ Phymatodes (Poecilium) maaki viarius Danilevsky, 1988 を併記。duplicate側 hostplants=0, general_notes=0。"
species-21896,species-21897,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 33の同一レコードに現行名 Poecilium quadrimaculatus (Gressitt, 1935) と旧組合せ Phymatodes quadrimaculatus Gressitt, 1935 を併記。duplicate側 hostplants=0, general_notes=0。"
species-21933,species-21934,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 53の同一レコードに現行名 Neocerambyx raddei Blessig, 1872 と旧組合せ Massicus raddei (Blessig, 1872) を併記。duplicate側 hostplants=0, general_notes=0。"
species-21970,species-21971,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 75の同一レコードに現行名 Chlorophorus yedoensis (Kanô, 1933) と旧組合せ Clytus yedoensis Kanô, 1933 を併記。duplicate側 hostplants=0, general_notes=0。"
species-21988,species-21989,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 90の同一レコードに現行名 Humeromaculatus (Humeromaculatus) japonicus (Chevrolat, 1863) と旧組合せ Chlorophorus japonicus (Chevrolat, 1863) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22002,species-22003,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 93の同一レコードに現行名 Humeromaculatus (Humeromaculatus) simillimus (Kraatz, 1879) と旧組合せ Chlorophorus simillimus (Kraatz, 1879) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22016,species-22017,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 101-1の同一レコードに現行名 Rhabdoclytus acutivittis acutivittis (Kraatz, 1879) と旧組合せ Hayashiclytus acutivittis acutivittis (Kraatz, 1879) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22047,species-22048,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 119-1の同一レコードに現行名 Xylotrechus (Xylotrechus) grayii grayii (White, 1855) と旧組合せ Spinotrechus grayii grayii (White, 1855) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22065,species-22066,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 129の同一レコードに現行名 Trichoferus campestris (Faldermann, 1835) と旧組合せ Hesperophanes (Trichoferus) campestris (Faldermann, 1835) を併記。duplicate側 hostplants=0, general_notes=0。"
species-22070,species-22071,https://japanesebeetles.jimdofree.com/%E7%9B%AE%E9%8C%B2/131-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E3%83%A0%E3%82%B7%E7%A7%91/131-2-%E3%82%AB%E3%83%9F%E3%82%AD%E3%83%AA%E4%BA%9C%E7%A7%91/,confirmed,"公式2026目録record 132の同一レコードに現行名 Caenoptera pinivorus (Takakuwa & Ikeda, 1980) と旧組合せ Molorchus pinivorus Takakuwa & Ikeda, 1980 を併記。duplicate側 hostplants=0, general_notes=0。"
