insect_id,current_japanese_name,current_scientific_name,source_account_id,source_pdf_page,source_printed_page,source_japanese_name_ocr,source_scientific_name_ocr,match_axis,science_score,name_action,name_decision,host_row_ids,host_action_ids,note_row_ids,note_action_ids,verification_status,evidence_note
species-20167,ギフチョウ,"Luehdorfia japonica Leech, 1889",BTG-0001,11,1,ギフチョウ,"Laehdorfia japonica Leech, 1889",scientific_fuzzy,0.9580,,keep,hostplant-004736|hostplant-004737|hostplant-004738|hostplant-004739|hostplant-004740|hostplant-004741|hostplant-004742|hostplant-004743|hostplant-004744|hostplant-004745|hostplant-004746|hostplant-004747|hostplant-004748,,note-1005029,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20168,ヒメギフチョウ,"Luehdorfia puziloi Erschoff, 1872",BTG-0002,11,1,ヒメギフチョウ,"Luehdorfia puziloi （Erschofi, 1872）",scientific_fuzzy,1.0000,,keep,hostplant-004749|hostplant-004750|hostplant-004751|hostplant-004752|hostplant-004753,,note-1004920,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20169,ホソオチョウ,"Sericinus montela Gray, 1853",BTG-0003,11,2,ホソオチョウ,"Sericinus montela Gray, 1852",scientific_fuzzy,1.0000,,keep,hostplant-004754,,note-1005030,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20170,ウスバアゲハ,"Parnassius citrinarius Motschulsky, 1866",BTG-0004,12,3,ウスバアゲハ,"Parnassius citrinarius Motschulsky, 1866",scientific_fuzzy,1.0000,,keep,hostplant-004755|hostplant-004756|hostplant-004757|hostplant-004758|hostplant-004759|hostplant-004760|hostplant-004761,,note-1004921,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20171,ヒメウスパアゲハ,Parnassius hoenei,BTG-0005,12,3,ヒメウスバアゲハ,"Parnassias hoenei Schweitzer, 1912",manual_scientific_original_image,0.9580,BTG-NAME-20171,update,hostplant-004762|hostplant-004763|hostplant-004764|hostplant-004765,,note-1005031,,original_image_verified,原本見出しの和名と学名を画像で照合。
species-20172,キイロウスパアゲハ,"Parnassius eversmanni Ménétriès, 1851",BTG-0006,12,4,キイロウスバアゲハ,"Parnassius euersmanni Menetries, 1850",manual_scientific_original_image,0.9420,BTG-NAME-20172,update,hostplant-004766,,note-1005032,,original_image_verified,原本見出しの和名と学名を画像で照合。
species-20173,ジャコウアゲハ,"Byasa alcinous Klug, 1836",BTG-0007,14,5,ジャコウアゲハ,Byasa alcinous,scientific_fuzzy,1.0000,,keep,hostplant-004767|hostplant-004768|hostplant-004769|hostplant-004770|hostplant-004771|hostplant-004772,,note-1004922,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20174,ベニモンアゲハ,"Pachliopta aristolochiae Fabricius, 1775",BTG-0008,14,6,ベニモンアゲハ,Pachliopta aristolochiae,scientific_fuzzy,1.0000,,keep,hostplant-004773|hostplant-004774|hostplant-004775,,note-1004923,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20175,キシタアゲハ,"Troides aeacus C. Felder et R. Felder, 1860",BTG-0009,14,6,キシタアゲハ,"Troides aeacus （C.& R. Felder, 1860）",scientific_fuzzy,1.0000,,keep,hostplant-004776,,note-1005033,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20176,アオスジアゲハ,"Graphium sarpedon Linnaeus, 1758",BTG-0010,16,7,アオスジアゲハ,Graphium sarpecon,scientific_fuzzy,0.9275,,keep,hostplant-004777|hostplant-004778|hostplant-004779|hostplant-004780|hostplant-004781|hostplant-004782|hostplant-004783|hostplant-004784|hostplant-004785|hostplant-004786|hostplant-004787|hostplant-004788|hostplant-004789|hostplant-004790|hostplant-004791|hostplant-913428|hostplant-913429|hostplant-913430|hostplant-913431|hostplant-913432|hostplant-913433|hostplant-913434|hostplant-913435,,note-1005140|note-1006115|note-1006116,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20177,ミカドアゲハ,"Graphium doson C. Felder et R. Felder, 1864",BTG-0011,16,7,ミカドアゲハ,"Graphium doson （C.& R. Felder, 1864）",scientific_fuzzy,1.0000,,keep,hostplant-004792|hostplant-004793|hostplant-004794|hostplant-004795|hostplant-004796|hostplant-004797|hostplant-004798|hostplant-004799|hostplant-004800,,note-1005141,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20178,コモンタイマイ,"Graphium agamemnon Linnaeus, 1758",BTG-0012,16,8,コモンタイマイ,Graphium agamemnon,scientific_fuzzy,1.0000,,keep,hostplant-004801|hostplant-004802,,note-1005034,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20179,アゲハ,"Papilio xuthus Linnaeus, 1767",BTG-0013,17,9,アゲハ,"Papilio xthus Linnaeus, 1767",scientific_fuzzy,0.9033,,keep,hostplant-004803|hostplant-004804|hostplant-004805|hostplant-004806|hostplant-004807|hostplant-004808|hostplant-004809|hostplant-004810|hostplant-004811|hostplant-004812|hostplant-004813|hostplant-004814|hostplant-004815|hostplant-004816|hostplant-004817|hostplant-004818|hostplant-004819|hostplant-004820|hostplant-004821|hostplant-004822|hostplant-004823|hostplant-004824|hostplant-004825|hostplant-004826|hostplant-004827|hostplant-004828|hostplant-004829|hostplant-004830|hostplant-004831|hostplant-004832|hostplant-004833|hostplant-004834|hostplant-004835|hostplant-004836|hostplant-004837|hostplant-004838|hostplant-004839|hostplant-004840|hostplant-004841|hostplant-004842|hostplant-004843|hostplant-004844|hostplant-004845|hostplant-004846|hostplant-004847|hostplant-004848|hostplant-004849|hostplant-004850|hostplant-004851,,note-1005035,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20180,キアゲハ,"Papilio machaon Linnaeus, 1758",BTG-0014,17,9,キアゲハ,Papilio machaon Linnaeus，,scientific_fuzzy,1.0000,,keep,hostplant-004852|hostplant-004853|hostplant-004854|hostplant-004855|hostplant-004856|hostplant-004857|hostplant-004858|hostplant-004859|hostplant-004860|hostplant-004861|hostplant-004862|hostplant-004863|hostplant-004864|hostplant-004865|hostplant-004866|hostplant-004867|hostplant-004868|hostplant-004869|hostplant-004870|hostplant-004871|hostplant-004872|hostplant-004873|hostplant-004874|hostplant-004875|hostplant-004876|hostplant-004877|hostplant-004878|hostplant-004879|hostplant-004880|hostplant-004881|hostplant-004882|hostplant-004883|hostplant-004884|hostplant-004885|hostplant-004886|hostplant-004887|hostplant-004888|hostplant-004889|hostplant-004890|hostplant-004891|hostplant-004892|hostplant-004893|hostplant-004894|hostplant-004895|hostplant-004896|hostplant-004897|hostplant-004898|hostplant-004899|hostplant-004900|hostplant-004901|hostplant-004902|hostplant-004903|hostplant-004904,,note-1004924,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20181,オナシアゲハ,"Papilio demoleus Linnaeus, 1758",BTG-0015,17,10,オナシアゲハ,Papilio demoleus Linnaeus，,scientific_fuzzy,1.0000,,keep,hostplant-004905|hostplant-004906,,note-1005036,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
species-20182,ナガサキアゲハ,"Papilio memnon Linnaeus, 1758",BTG-0016,19,11,ナガサキアゲハ,Papiio memnon,scientific_fuzzy,0.9400,,keep,hostplant-004907|hostplant-004908|hostplant-004909|hostplant-004910|hostplant-004911|hostplant-004912|hostplant-004913|hostplant-004914|hostplant-004915|hostplant-004916|hostplant-004917|hostplant-004918|hostplant-004919|hostplant-004920|hostplant-004921,,note-1004925,,ocr_candidate_plus_structural_match,全274見出し台帳との構造照合。低信頼別属名はhold。
