insect_id,japanese_name,duplicate_record_id,pdf_page,printed_page_spread,keep_current_long_content,delete_short_content,keep_after_source_correction,recommendation
species-10009,アオムネスジタマムシ,note-000024,57,112-113,5〜8月に発生し、マテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。奄美大島以西の島々に産し、台湾・フィリピン・セレベスまで広く分布する。,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,5〜8月に発生し、マテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。奄美大島以西の島々に産し、台湾・フィリピン・セレベスまで広く分布する。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10016,クロホシタマムシ,note-000032,59,116-117,5月下旬〜8月上旬に現れ、ミズナラやクリの枯れ枝に集まる。関西以西ではほとんど採集されていない。原産地はシベリア東部のアムール。,成虫はミズナラやクリの枯れ枝に集まる。,5月下旬〜8月上旬に現れ、ミズナラやクリの枯れ枝に集まる。関西以西ではほとんど採集されていない。原産地はシベリア東部のアムール。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10045,ツシマムツボシタマムシ,note-000079,64,126-127,4月末〜6月頃に平野部から中山間部に現れ、クリやアベマキの枯れ枝や伐採木に集まる。,成虫はクリやアベマキの枯れ枝や伐採枝に集まる。,4月末〜6月頃に平野部から中山間部に現れ、クリやアベマキの枯れ枝や伐採木に集まる。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10070,アマミナカボソタマムシ,note-000109,68,134-135,成虫は4〜7月に現れるが稀で、九州（熊本県、大分県）と奄美大島から僅かな個体が記録されただけ。大分県の久住高原ではエゴノキのスウィーピングで得られている。原産地は奄美大島高田山。,大分県ではエゴノキのスウィーピングで得られている。,成虫は4〜7月に現れるが稀で、九州（熊本県、大分県）と奄美大島から僅かな個体が記録されただけ。大分県の久住高原ではエゴノキのスウィーピングで得られている。原産地は奄美大島高田山。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10090,キンモンナガタマムシ,note-000140,71,140-141,5〜8月に現れるが少ない。ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。琉球では4〜5月ごろ現れ、九州以北では6〜8月ごろ見られる。,ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。,5〜8月に現れるが少ない。ハゼノキのスウィーピングで得られているほか、大分県ではタブノキの衰弱木に集まることが観察された。琉球では4〜5月ごろ現れ、九州以北では6〜8月ごろ見られる。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10096,ツヤケシナガタマムシ,note-000152,72,142-143,平野部から山間部に現れ、カキ類を食害する。河原の議木ヤナギ類の生木から採集される個体は全体にやや光沢が強く、前胸背板の側線は金緑赤色を帯びることなどからカキを寄主とする個体群とは明らかに異なり、ヒメクロツヤナガタマムシとして記載されたが、この違いは寄主植物の違いによる変異と考えられ異名同種とされた。,カキ類を食害する。河原の湿木ヤナギ類の生葉から採集される個体群は別種の可能性がある。,平野部から山間部に現れ、カキ類を食害する。河原の灌木ヤナギ類の生葉から採集される個体は全体にやや光沢が強く、前胸背板の側縁は金緑赤色を帯びる。,長い生態行を1行だけ残し、短い重複行を削除。異名判断と主観的な疑問は公開せず、出現時期行は保持。
species-10100,アレスミカンナガタマムシ,note-000159,72,142-143,ミカンの害虫として知られる。原産地は沖縄島で、台湾からインドシナ地域まで分布する。九州〜奄美大島産は上翅が朱色を帯びた黒色で前胸背板は青緑色を帯び、亜種sacchari Obenbergerとされたが現在は異名同種として処理されている。,ミカンの害虫として知られる。,ミカンの害虫として知られる。原産地は沖縄島で、台湾からインドシナ地域まで分布する。九州〜奄美大島産は上翅が朱色を帯びた黒色で前胸背板は青緑色を帯び、亜種sacchari Obenbergerとされたが現在は異名同種として処理されている。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10102,ツマキナガタマムシ,note-000162,72,142-143,成虫はハマセンダンの生木に飛来する。原名亜種は台湾産。日本産（日本亜種）は全体に赤みを帯びた唐金色を呈する。,成虫は、ハマセンダンの生葉に飛来する。,成虫は4〜8月に現れ、ハマセンダンの生葉に飛来する。原名亜種は台湾産。日本産（日本亜種）は全体に赤みを帯びた唐金色を呈する。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10105,ネルソンダイミョウナガタマムシ,note-000167,73,144-145,中山間部に現れ、ツツジ類のひこばえやそだに集まる。ダイミョウナガタマムシによく似るが、体形はより細身で大型になる。,ツツジ類のひこばえやそだに集まる。,中山間部に現れ、ツツジ類のひこばえやそだに集まる。ダイミョウナガタマムシによく似るが、体形はより細身で大型になる。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10109,カクムネナガタマムシ,note-000174,73,144-145,成虫は6〜7月に現れるが少ない。奄美大島ではトキワガキやマメガキから羽化脱出している。,奄美大島ではトキワガキやマメガキから羽化脱出している。,成虫は6〜7月に現れるが少ない。奄美大島ではトキワガキやマメガキから羽化脱出している。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10125,シバタナガタマムシ,note-000199,75,148-149,4〜7月に現れ、シイ類を加害する。原産地は奄美大島八津野。時に、全体に白色粉を付けた個体が散見される。,シイ類を加害する。,4〜7月に現れ、シイ類を加害する。原産地は奄美大島八津野。時に、全体に白色粉を付けた個体が散見される。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
species-10138,クズノチビタマムシ,note-000219,83,164-165,3〜6月にクズの葉上で普通に見つかるが、東北地方北部から北海道では稀。日本産に基づいて記載されたが、中国からインドシナ地域に広く分布する。,成虫はクズの葉上で普通に見つかる。,5〜6月にクズの葉上で普通に見つかるが、東北地方北部から北海道では稀。日本産に基づいて記載されたが、中国からインドシナ地域に広く分布する。,長い生態行を1行だけ残し、短い重複行を削除。出現時期行は保持。
