insect_id,japanese_name,scientific_name,pdf_page,printed_page_spread,original_host_field,ecology_summary,classification,confirmed_additional_host_candidate,recommendation
species-10017,キュウシュウクロホシタマムシ,"Lamprodila (Palmar) davidis (Fairmaire, 1887)",59,116-117,寄主植物：不明（原PDF画像確認）,6〜8月に発生し、九州の海岸部および屋久島と琉球列島で記録されているが少ない。原産地はベトナム北部で、日本産は日本亜種とされる。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10025,キンモンフタオタマムシ,"Tokaranodicerca nishidai (Tôyama, 1986)",60,118-119,寄主植物：不明（原PDF画像確認）,7月に発生し、シマグワの古木の幹に飛来する個体が採集される。トカラ列島（中之島）の固有種。種小名は発見者である西田信夫氏に献名された。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10026,アマミキンモンフタオタマムシ,"Tokaranodicerca shimonoi Hattori, 2005",60,118-119,寄主植物：不明（原PDF画像確認）,前種と同様に大きなシマグワの幹に飛来する個体が採集される。種小名は第一の発見者である下野賢之氏に献名された。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10057,ホソクリタマムシ,"Toxoscelus matobai Tôyama, 1985",66,130-131,寄主植物：不明（原PDF画像確認）,7月にブナ帯のスウィーピングで採集されるが少ない。原産地は和歌山県護摩壇山。種小名は発見者である的場績氏に献名された。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10058,カラカネクリタマムシ,"Toxoscelus sasakii Y. Kurosawa, 1957",66,130-131,寄主植物：不明（原PDF画像確認）,7〜8月に現れ、シイ類のスウィーピングで採集されるが非常に少ない。原産地は鹿児島県霧島山栗野岳。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10064,ヤエヤマナカボソタマムシ,"Coraebus fukamachii Akiyama, 1987",67,132-133,寄主植物：不明（原PDF画像確認）,原産地の石垣島オモト岳で5月に採集された1雄個体が唯一の記録である。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10070,アマミナカボソタマムシ,"Coraebus amamianus Y. Kurosawa, 1985",68,134-135,寄主植物：不明（原PDF画像確認）,成虫は4〜7月に現れるが稀で、九州（熊本県、大分県）と奄美大島から僅かな個体が記録されただけ。大分県の久住高原ではエゴノキのスウィーピングで得られている。原産地は奄美大島高田山。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10077,キタニセナガタマムシ,"Dorochoviella kunashirensis Jendek, 2006",69,136-137,寄主植物：不明（原PDF画像確認）,国後島産の記載標本1個体のみが知られ、詳細は不明である。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10081,オオムネアカナガタマムシ,"Agrilus sinensis Thomson, 1879",70,138-139,寄主植物：不明（原PDF画像確認）,日本からは栃木県日光からの1例が記録されているが、その後はまったく記録がない。原産地は中国の上海。,host_unknown_no_confirmed_host,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
species-10086,ホソクロナガタマムシ,"Agrilus kawarai Y. Kurosawa, 1963",71,140-141,寄主植物：不明（原PDF画像確認）,7〜8月に現れるが稀。岡山県では、フジキやユクノキに飛来した個体が採集されている。原産地は静岡県聖岳。,adult_association_only_host_unknown,NO,寄主植物は追加しない。植物上での採集・飛来記録は生態noteとしてのみ保持。
