audit_id,entity,action,record_ids,insect_id,note_type,match_content,field,expected_value,approved_value,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on,note_page,note_year
BUP-001,hostplant,delete_host_records,hostplant-909159; hostplant-909160; hostplant-909161; hostplant-909162; hostplant-909163; hostplant-909169; hostplant-909170; hostplant-909171; hostplant-909172; hostplant-909173; hostplant-909177; hostplant-909182; hostplant-909184; hostplant-909185; hostplant-909186; hostplant-909187; hostplant-909190; hostplant-909191; hostplant-909268; hostplant-909269; hostplant-909273; hostplant-909276; hostplant-909277; hostplant-909278; hostplant-909279; hostplant-909280; hostplant-909282; hostplant-909283; hostplant-909284; hostplant-909285; hostplant-909286; hostplant-909287; hostplant-909288; hostplant-909289; hostplant-909290; hostplant-909291; hostplant-909292; hostplant-909293; hostplant-909294; hostplant-909295; hostplant-909296; hostplant-909297; hostplant-909298; hostplant-909299; hostplant-909300; hostplant-909301; hostplant-909302; hostplant-909303; hostplant-909304; hostplant-909305; hostplant-909306; hostplant-909307; hostplant-909308; hostplant-909309; hostplant-909310; hostplant-909311; hostplant-909312; hostplant-909313; hostplant-909314; hostplant-909315; hostplant-909316; hostplant-909317; hostplant-909318; hostplant-909319; hostplant-909320; hostplant-909321; hostplant-909322; hostplant-909323; hostplant-909324,species-10007,,,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,PDF56（冊子110–111頁）の寄主欄はエノキ、リュウキュウエノキ、ケヤキ、サクラ類、カシ類、カキ、クワ、ハリエンジュの8項目のみ。909系69行は別種欄の列境界を越えた誤集約。,exclude_ocr_misaggregation,2026-07-11,,
BUP-001B,hostplant,update_host_field,hostplant-004453,species-10007,,,plant_name,サクラ,サクラ類,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,原文の寄主欄はサクラ類。既存の単数形を原文どおり正規化する。,normalize_exact_source_host,2026-07-11,,
BUP-001C,hostplant,update_host_field,hostplant-004454,species-10007,,,plant_name,カシ,カシ類,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,原文の寄主欄はカシ類。既存の単数形を原文どおり正規化する。,normalize_exact_source_host,2026-07-11,,
BUP-001D,hostplant,update_host_field,hostplant-004457,species-10007,,,plant_family,,マメ科,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,56,110-111,原文のハリエンジュを保持し、分類学的に確定する科（マメ科）の欠落を補う。,normalize_exact_source_host,2026-07-11,,
BUP-002,general_note,move_note_insect,,species-10007,生態情報,6〜7月に現れるが産地は非常に局所的。ヤマボウシの衰弱木を食害し、その生葉や花を後食する。原産地は広島県道後山。近年は本州の各地からも記録されるようになった（北限は岩手県）が、食樹のヤマボウシが庭木として移植され、同時に本種も移動した可能性がある。種小名は石原保博士に献名された。,,,species-10072,,,,,,日本産タマムシ大図鑑,6〜7月に現れるが産地は非常に局所的。ヤマボウシの衰弱木を食害し、その生葉や花を後食する。原産地は広島県道後山。近年は本州の各地からも記録されるようになった（北限は岩手県）。,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,68,134-135,PDF68（冊子134–135頁）でCoraebus ishiharai サビナカボソタマムシの種解説と確認。移動要因の仮説と献名説明は公開生態情報から除外。,move_column_spill_and_publish_objective_sentences,2026-07-11,,
BUP-003,hostplant,delete_host_records,hostplant-004459,species-10008,,,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,57,112-113,オガサワラタマムシの寄主欄はムニンエノキのみ。シマシャリンバイは次のツマベニタマムシの欄。,exclude_column_spill,2026-07-11,,
BUP-004A,hostplant,upsert_host_relation,hostplant-004659,species-10119,,,plant_name,シデ,シデ類,シデ類,カバノキ科,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,74,146-147,原文の寄主欄はタブノキ、シデ類、カシ類。誤削除状態なら同じrecord_idで復元する。,include_corrected_source_host,2026-07-11,,
BUP-004B,hostplant,update_host_field,hostplant-004660,species-10119,,,plant_name,カシ,カシ類,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,74,146-147,原文の寄主欄はタブノキ、シデ類、カシ類。既存のカシを原文どおりカシ類へ正規化する。,replace_source_normalization,2026-07-11,,
BUP-004C,hostplant,delete_host_records,hostplant-909197; hostplant-909198,species-10119,,,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,74,146-147,909197シイ類はシデ類のOCR誤読。909198カシ類は正規化する004660と同一原典の重複。,exclude_ocr_error_and_duplicate,2026-07-11,,
BUP-005,hostplant,delete_host_records,hostplant-909194,species-10106,,,,,,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,73,144-145,hostplant-004637と同一のシャシャンボ記録であり、同一出典・昆虫・植物の重複。,exclude_duplicate,2026-07-11,,
BUP-013A,hostplant,update_host_field,hostplant-004509,species-10031,,,observation_type,,後食,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,61,120-121,原文は成虫がブナの生葉を後食すると記載。寄主欄はモミ、マツ類。,include_adult_feeding_metadata,2026-07-11,,
BUP-013B,hostplant,update_host_field,hostplant-004509,species-10031,,,life_stage,,成虫,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,61,120-121,原文は成虫がブナの生葉を後食すると記載。寄主欄はモミ、マツ類。,include_adult_feeding_metadata,2026-07-11,,
BUP-014A,hostplant,update_host_field,hostplant-004721,species-10159,,,observation_type,,採集植物,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,86,170-171,原文は成虫をアマシバのスウィーピングで採集。明示的寄主欄はリュウキュウハイノキ。,include_adult_collection_metadata,2026-07-11,,
BUP-014B,hostplant,update_host_field,hostplant-004721,species-10159,,,life_stage,,成虫,,,,,,日本産タマムシ大図鑑,,日本産タマムシ大図鑑.pdf,7893e51f670e7a42e6d3df3bb5b224f7ef547112e6e7cdb1954b1f254a673415,86,170-171,原文は成虫をアマシバのスウィーピングで採集。明示的寄主欄はリュウキュウハイノキ。,include_adult_collection_metadata,2026-07-11,,
