insect_id,japanese_name,scientific_name,pdf_page,printed_page_spread,mapping_method,score,score_margin,source_note_rows
species-10001,キボシフナガタタマムシ,"Acmaeodera (Cobosiella) luzonica Nonfried, 1895",55,108-109,numbered_account_exact_name,,,1
species-10002,モンキタマムシ,"Ptosima chinensis Marseul, 1867",55,108-109,numbered_account_exact_name,,,2
species-10003,ケシツブタマムシ,"Mastogenius insperatus Y. Kurosawa, 1972",55,108-109,numbered_account_exact_name,,,2
species-10004,ミスジツブタマムシ,"Paratrachys hederae E. Saunders, 1873",55,108-109,numbered_account_exact_name,,,2
species-10005,ダイトウツブタマムシ,"Paratrachys (Paratrachys) mixtipubescens Y. Kurosawa, 1985",55,108-109,numbered_account_exact_name,,,2
species-10006,オオシマツブタマムシ,Paratrachys princeps,56,110-111,numbered_account_exact_name,,,2
species-10007,タマムシ,Chrysochroa fulgidissima,56,110-111,manual_account_check,,,2
species-10008,オガサワラタマムシ,"Chrysochroa holstii Waterhouse & Gahan, 1890",56,110-111,numbered_account_exact_name,,,2
species-10009,アオムネスジタマムシ,"Chrysodema (Chrysodema) dalmanni (Mannerheim, 1837)",57,112-113,numbered_account_exact_name,,,3
species-10010,アヤムネスジタマムシ,"Chrysodema (Chrysodema) lewisii E. Saunders, 1873",57,112-113,manual_account_check,,,1
species-10011,ツマベニタマムシ,Tamamushia virida,57,112-113,numbered_account_exact_name,,,2
species-10012,ウバタマムシ,Chalcophora japonica,57,112-113,numbered_account_exact_name,,,2
species-10013,サツマウバタマムシ,Chalcophora yunnana,58,114-115,numbered_account_exact_name,,,2
species-10014,アオマダラタマムシ,"Nipponobuprestis (Nipponobuprestis) amabilis (Snellen van Vollenhoven, 1864)",58,114-115,note_ocr_trigram,211,198,2
species-10015,クロマダラタマムシ,"Nipponobuprestis (Nipponobuprestisia) querceti (E. Saunders, 1873)",58,114-115,numbered_account_exact_name,,,2
species-10016,クロホシタマムシ,"Lamprodila (Palmar) virgata (Motschulsky, 1859)",59,116-117,numbered_account_exact_name,,,3
species-10017,キュウシュウクロホシタマムシ,"Lamprodila (Palmar) davidis (Fairmaire, 1887)",59,116-117,manual_account_check,,,2
species-10018,マスダクロホシタマムシ,"Lamprodila (Palmar) vivata (Lewis, 1893)",59,116-117,numbered_account_exact_name,,,2
species-10019,キンヘリタマムシ,Lamprodila pretiosa,59,116-117,numbered_account_exact_name,,,2
species-10020,ハビロキンヘリタマムシ,"Lamprodila (Lamprodila) nipponensis (Y. Kurosawa, 1953)",59,116-117,numbered_account_exact_name,,,2
species-10021,エサキキンヘリタマムシ,"Lamprodila (Lamprodila) decipiens (Gebler, 1847)",59,116-117,numbered_account_exact_name,,,2
species-10022,クロコモンタマムシ,"Poecilonota variolosa chinensis Théry, 1926",60,118-119,numbered_account_exact_name,,,2
species-10023,フタオタマムシ,"Dicerca furcata (Thunberg, 1787)",60,118-119,numbered_account_exact_name,,,2
species-10024,トゲフタオタマムシ,"Dicerca tabialis Lewis, 1893",60,118-119,numbered_account_exact_name,,,2
species-10025,キンモンフタオタマムシ,"Tokaranodicerca nishidai (Tôyama, 1986)",60,118-119,numbered_account_exact_name,,,2
species-10026,アマミキンモンフタオタマムシ,"Tokaranodicerca shimonoi Hattori, 2005",60,118-119,numbered_account_exact_name,,,1
species-10027,エサキクロタマムシ,"Buprestis (Ancylocheira) esakii Y. Kurosawa, 1954",61,120-121,numbered_account_exact_name,,,2
species-10028,クロタマムシ,Buprestis haemorrhoidalis,61,120-121,numbered_account_exact_name,,,2
species-10029,アカヘリミドリタマムシ,Buprestis splendens,61,120-121,numbered_account_exact_name,,,2
species-10030,エゾアオタマムシ,"Eurythyrea eoa Semenov, 1895",61,120-121,manual_account_check,,,2
species-10031,アオタマムシ,"Eurythyrea tenuistriata Lewis, 1893",61,120-121,numbered_account_exact_name,,,2
species-10032,ツメアカナガヒラタタマムシ,"Melanophila obscurata Lewis, 1893",62,122-123,numbered_account_exact_name,,,2
species-10033,イリエヒメマルタマムシ,"Philanthaxia iriei Y. Kurosawa, 1985",62,122-123,numbered_account_exact_name,,,2
species-10034,ツヤヒメマルタマムシ,"Kurosawaia yanoi (Y. Kurosawa, 1963)",62,122-123,numbered_account_exact_name,,,2
species-10035,クロヒメヒラタタマムシ,"Anthaxia (Melanthaxia) reticulata Y.Kurosawa, 1860",62,122-123,numbered_account_exact_name,,,2
species-10036,フチトリヒメヒラタタマムシ,"Anthaxia (Haplanthaxia) rubromarginata Miwa & Chûjô, 1935",62,122-123,numbered_account_exact_name,,,2
species-10037,ヒメヒラタタマムシ,"Anthaxia (Haplanthaxia) proteus E. Saunders, 1873",62,122-123,numbered_account_exact_name,,,2
species-10038,アマミヒメヒラタタマムシ,"Anthaxia (Haplanthaxia) arakii Y. Kurosawa, 1956",63,124-125,numbered_account_exact_name,,,2
species-10039,オキナワヒメヒラタタマムシ,"Anthaxia (Haplanthaxia) ihanatumi Chûjô, 1970",63,124-125,numbered_account_exact_name,,,2
species-10040,ヤエヤマヒメヒラタタマムシ,"Anthaxia (Haplanthaxia) moya Chûjô, 1970",63,124-125,numbered_account_exact_name,,,2
species-10041,ムツボシタマムシ,"Chrysobothris (Chrysobothris) succedanea E. Saunders, 1873",63,124-125,numbered_account_exact_name,,,2
species-10042,アムールムツボシタマムシ,"Chrysobothris amurensis Pic, 1904",63,124-125,numbered_account_exact_name,,,2
species-10043,チョウセンムツボシタマムシ,"Chrysobothris (Chrysobothris) pulchripes Fairmaire, 1887",64,126-127,numbered_account_exact_name,,,2
species-10044,ヤマムツボシタマムシ,"Chrysobothris (Chrysobothris) igai Y. Kurosawa, 1948",64,126-127,numbered_account_exact_name,,,2
species-10045,ツシマムツボシタマムシ,"Chrysobothris (Chrysobothris) samurai Obenberger, 1935",64,126-127,numbered_account_exact_name,,,3
species-10047,オキナワムツボシタマムシ,Chrysobothris saliaris,64,126-127,numbered_account_exact_name,,,2
species-10048,オガサワラムツボシタマムシ,Chrysobothris boninensis,64,126-127,numbered_account_exact_name,,,2
species-10049,カクムネムツボシタマムシ,"Chrysobothris chrysostigma (Linnaeus, 1758)",64,126-127,manual_account_check,,,1
species-10050,オオムツボシタマムシ,"Chrysobothris (Chrysobothris) ohbayashii Y. Kurosawa, 1948",64,126-127,numbered_account_exact_name,,,2
species-10051,オオムネアカチビナカボソタマムシ,"Nalanda lagerstraemiae Ohmomo & Akiyama, 1989",65,128-129,note_ocr_trigram,53,34,2
species-10052,ムネアカチビナカボソタマムシ,Nalanda rutilicollis,65,128-129,numbered_account_exact_name,,,2
species-10053,クロチビナカボソタマムシ,"Nalanda chinensis (Obenberger, 1927)",65,128-129,note_ocr_trigram,79,32,2
species-10054,カラカネチビナカボソタマムシ,"Nalanda ohbayashii Y. Kurosawa, 1957",65,128-129,numbered_account_exact_name,,,2
species-10055,ヤナギチビナカボソタマムシ,"Nalanda primoriensis Alexeev, 1979",65,128-129,manual_account_check,,,2
species-10056,クリタマムシ,Toxoscelus auriceps,66,130-131,note_ocr_trigram,237,50,2
species-10057,ホソクリタマムシ,"Toxoscelus matobai Tôyama, 1985",66,130-131,numbered_account_exact_name,,,2
species-10058,カラカネクリタマムシ,"Toxoscelus sasakii Y. Kurosawa, 1957",66,130-131,numbered_account_exact_name,,,2
species-10059,リュウキュウクリタマムシ,"Toxoscelus nakajimai Ohmomo, 2002",66,130-131,numbered_account_exact_name,,,1
species-10060,アマミクリタマムシ,"Toxoscelus amamiensis Y. Kurosawa, 1963",66,130-131,numbered_account_exact_name,,,2
species-10062,ヤエヤマクリタマムシ,Toxoscelus miwai,67,132-133,numbered_account_exact_name,,,2
species-10063,ヒメナカボソタマムシ,Coraebus iriei,67,132-133,numbered_account_exact_name,,,2
species-10065,シロオビナカボソタマムシ,"Coraebus quadriundulatus Motschulsky, 1866",67,132-133,manual_account_check,,,2
species-10066,ルリナカボソタマムシ,"Coraebus niponicus Lewis, 1894",67,132-133,numbered_account_exact_name,,,2
species-10067,シリグロナカボソタマムシ,"Coraebus nigromaculatus Y. Kurosawa, 1953",67,132-133,note_ocr_trigram,84,48,2
species-10068,ミヤマナカボソタマムシ,"Coraebus daisenesis Miwa, 1940",67,132-133,numbered_account_exact_name,,,2
species-10069,オキナワナカボソタマムシ,"Coraebus loochooensis Kano, 1929",68,134-135,numbered_account_exact_name,,,2
species-10070,アマミナカボソタマムシ,"Coraebus amamianus Y. Kurosawa, 1985",68,134-135,numbered_account_exact_name,,,3
species-10071,ルイスナカボソタマムシ,Coraebus rusticanus,68,134-135,numbered_account_exact_name,,,2
species-10072,サビナカボソタマムシ,"Coraebus ishiharai Y. Kurosawa, 1953",68,134-135,manual_account_check,,,1
species-10073,ホソナカボソタマムシ,"Coraebus sakagutii Y. Kurosawa, 1963",68,134-135,note_ocr_trigram,79,54,2
species-10074,カラカネナカボソタマムシ,Coraebus ignotus,68,134-135,numbered_account_exact_name,,,2
species-10075,ミドリナカボソタマムシ,"Coraebus hastanus Gory & Laporte, 1839",69,136-137,note_ocr_trigram,72,53,2
species-10076,タイワンナカボソタマムシ,Coraebus formosanus,69,136-137,numbered_account_exact_name,,,2
species-10078,ヒシモンナガタマムシ,"Agrilus discalis E. Saunders, 1873",70,138-139,numbered_account_exact_name,,,2
species-10079,クロナガタマムシ,"Agrilus cyaneoniger E. Saunders, 1873",70,138-139,numbered_account_exact_name,,,2
species-10080,アオナガタマムシ,"Agrilus planipennis Fairmaire, 1888",70,138-139,numbered_account_exact_name,,,2
species-10081,オオムネアカナガタマムシ,"Agrilus sinensis Thomson, 1879",70,138-139,numbered_account_exact_name,,,1
species-10082,オキナワナガタマムシ,Agrilus okinawensis,70,138-139,numbered_account_exact_name,,,2
species-10083,シラホシナガタマムシ,"Agrilus decoloratus Kerremans, 1892",70,138-139,numbered_account_exact_name,,,2
species-10084,トオヤマシラホシナガタマムシ,"Agrilus ventricosus Fairmaire, 1888",70,138-139,numbered_account_exact_name,,,2
species-10085,フライシャーナガタマムシ,"Agrilus fleischeri Obenberger, 1925",70,138-139,numbered_account_exact_name,,,2
species-10086,ホソクロナガタマムシ,"Agrilus kawarai Y. Kurosawa, 1963",71,140-141,numbered_account_exact_name,,,2
