insect_id,source_japanese_name,pdf_page,proposed_current_taxa,resolved_target_ids,target_row_status,source_host_plants,source_ecology_summary,classification,proposal
species-10004,ミスジツブタマムシ,55,ミスジツブタマムシ,species-10004,source_row_only_no_copy_needed,オオイタビ; イタビカズラ,幼虫はオオイタビ、イヌビワなどのクワ科イチジク属植物の潜葉虫として生葉に潜り込み、内部組織を食害する。成虫はこれらの葉上に3〜6月頃に現れる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ミスジツブタマムシへ共有候補。
species-10006,オオシマツブタマムシ,56,オオシマツブタマムシ 基亜種; オオシマツブタマムシ 沖縄石垣亜種; オオシマツブタマムシ 与那国島亜種,,target_rows_absent_fail_closed,オオイタビ; イタビカズラ; ヒメイタビ,幼虫はイチジク属植物の潜葉虫で、成虫はこれらの葉上に3〜6月頃に現れる。沖縄島産・石垣島産・与那国島産はそれぞれ別亜種とされる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、オオシマツブタマムシ 基亜種; オオシマツブタマムシ 沖縄石垣亜種; オオシマツブタマムシ 与那国島亜種へ共有候補。
species-10007,タマムシ,56,ヤマトタマムシ 基亜種; ヤマトタマムシ 男女群島亜種; ヤマトタマムシ 奄美・沖縄亜種; ヤマトタマムシ 対馬亜種,,target_rows_absent_fail_closed,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,南東北地方以南に産し、6〜8月にエノキ、ケヤキ、サクラ類などの林木の太めの枯れ枝に集まる。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ヤマトタマムシ 基亜種; ヤマトタマムシ 男女群島亜種; ヤマトタマムシ 奄美・沖縄亜種; ヤマトタマムシ 対馬亜種へ共有候補。
species-10011,ツマベニタマムシ,57,ツマベニタマムシ 基亜種; ツマベニタマムシ 聟島亜種,,target_rows_absent_fail_closed,シマシャリンバイ,5〜7月に発生し、アデクやシマシャリンバイに集まる。小笠原諸島の固有種で、父島と母島には原名亜種が分布し、聟島には全体が黒紫色となる聟島亜種が分布する。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ツマベニタマムシ 基亜種; ツマベニタマムシ 聟島亜種へ共有候補。
species-10012,ウバタマムシ,57,ウバタマムシ 基亜種; ウバタマムシ 久米島亜種; ウバタマムシ 八重山・台湾亜種; ウバタマムシ 奄美・沖縄亜種; ウバタマムシ トカラ宝島亜種,,target_rows_absent_fail_closed,アカマツ; クロマツ; リュウキュウマツ,成虫は、羽化後そのまま材中で越冬して4月頃に野外に現れるが、2〜3月頃の暖かい日に発見されることもある。マツ類を食害する。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、ウバタマムシ 基亜種; ウバタマムシ 久米島亜種; ウバタマムシ 八重山・台湾亜種; ウバタマムシ 奄美・沖縄亜種; ウバタマムシ トカラ宝島亜種へ共有候補。
species-10013,サツマウバタマムシ,58,サツマウバタマムシ 沖縄・八重山亜種; サツマウバタマムシ 奄美亜種; サツマウバタマムシ 吐噶喇亜種; サツマウバタマムシ 本土亜種,,target_rows_absent_fail_closed,アカマツ; クロマツ; リュウキュウマツ,4〜8月に発生し、マツ類を食する。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、サツマウバタマムシ 沖縄・八重山亜種; サツマウバタマムシ 奄美亜種; サツマウバタマムシ 吐噶喇亜種; サツマウバタマムシ 本土亜種へ共有候補。
species-10017,キュウシュウクロホシタマムシ,59,キュウシュウクロホシタマムシ,species-10017,source_row_only_no_copy_needed,,6〜8月に発生し、九州の海岸部および屋久島と琉球列島で記録されているが少ない。原産地はベトナム北部で、日本産は日本亜種とされる。,locality-identifiable subspecies,原典は日本産個体群・日本亜種の産地文脈に限定されるため、対応する現行日本産分類群だけへ共有。
species-10019,キンヘリタマムシ,59,キンヘリタマムシ 北日本亜種; キンヘリタマムシ 九州亜種,,target_rows_absent_fail_closed,ハルニレ,6〜8月に現れ、ハルニレの枯れ枝や伐採木に集まる。シベリア東部から朝鮮半島を経て九州に分布する個体は九州・大陸亜種で、北海道と本州北部に分布する北日本亜種と区別される。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、キンヘリタマムシ 北日本亜種; キンヘリタマムシ 九州亜種へ共有候補。
species-10021,エサキキンヘリタマムシ,59,エサキキンヘリタマムシ,species-10021,source_row_only_no_copy_needed,ヤマハンノキ; ミヤマハンノキ; ミネヤナギ; ネコヤナギ,成虫は6〜8月にミヤマハンノキ、ヤマハンノキ、ミネヤナギ、ネコヤナギなどの生葉に集まり、同木の葉を食害する。日本産亜種の原産地は長野県上高地。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、エサキキンヘリタマムシへ共有候補。
species-10028,クロタマムシ,61,クロタマムシ 琉球亜種; クロタマムシ 対馬・朝鮮亜種; クロタマムシ 本土亜種,,target_rows_absent_fail_closed,リュウキュウマツ; アカマツ; モミ,5〜9月に現れ、マツ類やモミの枯れ木に集まる。琉球亜種は奄美大島名瀬市産に基づいて記載され、亜種名は荒木東氏に献名された。,species-level shared,原典の種解説本文が亜種節より前に置かれ、亜種限定の明記がないため、クロタマムシ 琉球亜種; クロタマムシ 対馬・朝鮮亜種; クロタマムシ 本土亜種へ共有候補。
