record_id,insect_id,japanese_name,current_plant_name,pdf_page,printed_page_spread,source_host_summary,finding,recommendation
hostplant-909159,species-10007,タマムシ,サクラ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909160,species-10007,タマムシ,カシ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909161,species-10007,タマムシ,スダジイ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909162,species-10007,タマムシ,マテバシイ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909163,species-10007,タマムシ,ウバメガシ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909169,species-10007,タマムシ,ツブラジイ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909170,species-10007,タマムシ,ミカン類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909171,species-10007,タマムシ,マツ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909172,species-10007,タマムシ,トウヒ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909173,species-10007,タマムシ,アオトド,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909177,species-10007,タマムシ,シイ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909182,species-10007,タマムシ,ヤマボウシ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909184,species-10007,タマムシ,オオイタビ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909185,species-10007,タマムシ,イチジク,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909186,species-10007,タマムシ,イヌビワ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909187,species-10007,タマムシ,イタビカズラ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909190,species-10007,タマムシ,カラスザンショウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909191,species-10007,タマムシ,イヌザンショウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909268,species-10007,タマムシ,ウツギ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909269,species-10007,タマムシ,ヒメウツギ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909273,species-10007,タマムシ,ホウロクイチゴ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909276,species-10007,タマムシ,ハゼノキ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909277,species-10007,タマムシ,ウルシ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909278,species-10007,タマムシ,ヌルデ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909279,species-10007,タマムシ,ツタウルシ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909280,species-10007,タマムシ,ハリエンジュ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909282,species-10007,タマムシ,アコウ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909283,species-10007,タマムシ,クワ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909284,species-10007,タマムシ,カラマツ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909285,species-10007,タマムシ,エゾマツ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909286,species-10007,タマムシ,アカエゾマツ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909287,species-10007,タマムシ,アカマツ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909288,species-10007,タマムシ,クロマツ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909289,species-10007,タマムシ,モミ類,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909290,species-10007,タマムシ,コナラ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
hostplant-909291,species-10007,タマムシ,ミズナラ,56,110-111,エノキ; リュウキュウエノキ; ケヤキ; サクラ類; カシ類; カキ; クワ; ハリエンジュ,OCR再抽出時のフォールバック誤集約。既存hostplant-004450〜004457が原典8項目を概ね保持。,このrecord_idを削除
