source_account_id,printed_page,pdf_page,source_japanese_name,source_scientific_name,mapping_status,mapping_evidence,current_insect_ids,source_food_text,accepted_host_memberships,source_emergence_text,approved_emergence_notes,source_habitat_text,source_larval_text,approved_ecology_notes,mutation_count,verification_status
H6-001,33,35,ヒメカミナリハムシ,Altica caerulescens (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H003,エノキグサ、アオミズ。,species-H003:エノキグサ;species-H003:アオミズ,3〜11月；年2化?；成虫越冬。,species-H003:3〜11月,低地〜丘陵地；畑地、路傍、畦畔、河川敷など。,エノキグサの葉面に10卵ほどを固めて産卵し、表面に一条の糞を塗りつける；幼虫は5〜9月にみられ、葉を食害して、3齢で老熟すれば地中で蛹化する。晩秋に多くの成虫が現れる。,species-H003:生息地：低地〜丘陵地；畑地、路傍、畦畔、河川敷など。幼生期：エノキグサの葉面に10卵ほどを固めて産卵し、表面に一条の糞を塗りつける；幼虫は5〜9月にみられ、葉を食害して、3齢で老熟すれば地中で蛹化する；晩秋に多くの成虫が現れる。,4,original_pdf_page_verified
H6-002,33,35,ミズタマソウカミナリハムシ,Altica circaeae Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H004,ミズタマソウ。,species-H004:ミズタマソウ,4〜10月；年1化；成虫越冬。,species-H004:4〜10月,低地〜低山地；林床、路傍、沢沿い。,ヒメカミナリハムシと同様であるが、5〜6月にみられる。,species-H004:生息地：低地〜低山地；林床、路傍、沢沿い。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；5〜6月にみられる。,2,original_pdf_page_verified
H6-003,33,35,アザミカミナリハムシ,Altica cirsicola Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H005,アザミ類。,species-H005:アザミ,4〜10月；年1化、成虫越冬。,species-H005:4〜10月,低地〜山地；路傍、草地、湿地など。,ヒメカミナリハムシと同様であるが、4〜7月に多い。,species-H005:生息地：低地〜山地；路傍、草地、湿地など。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；4〜7月に多い。,3,original_pdf_page_verified
H6-004,34,36,カタスジカミナリハムシ,Altica coerulea (Olivier),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H002,タデ類 (台湾、スマトラ)。,species-H002:タデ,採集例は4〜5月である。,species-H002:4〜5月に採集記録,低地；草地、路傍。,不明。,species-H002:生息地：低地；草地、路傍。,3,original_pdf_page_verified
H6-005,34,36,カミナリハムシ,Altica cyanea (Weber),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H001,チョウジタデ、オオマツヨイグサ、キカシグサなど。,species-H001:チョウジタデ;species-H001:オオマツヨイグサ;species-H001:キカシグサ,5〜11月；年1化、成虫越冬。,species-H001:5〜11月,平地〜低山地；路傍、畦畔、湿地など。,ヒメカミナリハムシと同様。,species-H001:生息地：平地〜低山地；路傍、畦畔、湿地など。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する。,5,original_pdf_page_verified
H6-006,34,36,イチゴカミナリハムシ,Altica fragariae (Nakane),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H006,オランダイチゴ、ヘビイチゴなど。,species-H006:オランダイチゴ;species-H006:ヘビイチゴ,3〜11月；多化性、四国では6〜7月に1化、8〜9月に2化、10〜11月に3化の成虫が現れる (小林、1955)；成虫越冬。,species-H006:3〜11月,低地〜丘陵地；畑地、畦畔、路傍、草地。,ヒメカミナリハムシと同様。,species-H006:生息地：低地〜丘陵地；畑地、畦畔、路傍、草地。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する。,4,original_pdf_page_verified
H6-007,34,36,ワレモコウカミナリハムシ,Altica sanguinosorbae Ohno,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H015,ワレモコウ.,species-H015:ワレモコウ,7〜10月；年1化.,species-H015:7〜10月,山地；草原。,不明。,species-H015:生息地：山地；草原。,3,original_pdf_page_verified
H6-008,34,36,キタカミナリハムシ,Altica japonica Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H007,チョウジタデ、オオマツヨイグサ。,species-H007:チョウジタデ;species-H007:オオマツヨイグサ,4〜11月；年2化?、成虫越冬。,species-H007:4〜11月,低地〜丘陵地；畦畔、河川敷、湿地。,ヒメカミナリハムシと同様で、幼虫は6月、9月上旬にみられる。,species-H007:生息地：低地〜丘陵地；畦畔、河川敷、湿地。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；幼虫は6月、9月上旬にみられる。,4,original_pdf_page_verified
H6-009,35,37,クロサワカミナリハムシ,Altica kurosawai Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H010,ゲンノショウコ類。,species-H010:ゲンノショウコ,4〜9月；年1化、成虫越冬。,species-H010:4〜9月,平地〜山地；路傍、畦畔、草地、河川敷など。,ヒメカミナリハムシと同様。,species-H010:生息地：平地〜山地；路傍、畦畔、草地、河川敷など。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する。,3,original_pdf_page_verified
H6-010,35,37,スジカミナリハムシ,Altica latericosta latericosta (Jacoby),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H011,ヤナギ類。,species-H011:ヤナギ,4〜9月；年1化、成虫越冬。,species-H011:4〜9月,平地；湿地、川沿い。,ヒメカミナリハムシと同様。5〜7月にみられる。,species-H011:生息地：平地；湿地、川沿い。幼生期：葉面に卵塊を産み、表面に糞を塗る。幼虫は葉を食べ、3齢で老熟すると地中で蛹化する；。5〜7月にみられる。冬季に多数の個体が集まり、集団で越冬する例がある。,3,original_pdf_page_verified
