audit_id,insect_id,current_japanese_name,source_japanese_name,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,source_pdf_page,source_printed_page,source_ocr_line,plant_name,plant_family,match_method,decision,reviewed_on,review_note
kamikiri-host-index-p175-l15880-species-22693,species-22693,コゲチャサビカミキリ,コゲチャサビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683,15880,ソテツ,ソテツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15883-species-21916,species-21916,テツイロヒメカミキリ,テツイロヒメカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683,15883,イチョウ,イチョウ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683）で植物見出しと掲載和名を目視確認。原典は植栽記録。
kamikiri-host-index-p175-l15883-species-22739,species-22739,イチョウヒゲビロウドカミキリ,イチョウヒゲビロウドカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683,15883,イチョウ,イチョウ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683）で植物見出しと掲載和名を目視確認。原典は植栽記録。
KDB175183-0001,1-1,ウスバカミキリ 基亜種,ウスバカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_derived_base_name,needs_review,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。
KDB175183-0002,13-1,ノコギリカミキリ 基亜種,ノコギリカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_derived_base_name,include,2026-07-11,索引画像で「ノコギリカミキリ Prionus insularis insularis」を確認。種解説（冊子p.342-343）と現行同種群を照合し、名義亜種または原典で別名の近縁群から区別された当該分類群として現行IDへ帰属可能。
kamikiri-host-index-p175-l15888-species-21877,species-21877,ミドリカミキリ,ミドリカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
KDB175183-0005,species-21900,スギカミキリ 基亜種,アオヒメスギカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_derived_base_name,exclude_ocr_or_boundary,2026-07-11,索引画像では改行前後を合わせた種名が「アオヒメスギカミキリ Palaeocallidium chlorizans」。改行後半の「スギカミキリ」だけを抽出したOCR誤りで、Semanotus japonicus ではない。
kamikiri-host-index-p175-l15888-species-22007,species-22007,ヤマトシロオビトラカミキリ,ヤマトシロオビトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22027,species-22027,オオトラカミキリ,オオトラカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
kamikiri-host-index-p175-l15888-species-22064,species-22064,イエカミキリ,イエカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,モミ,マツ科,exact_japanese_name,include,2026-07-11,PDF原本の寄主植物一覧（冊子p.683-684）で植物見出しと掲載和名を目視確認。
