share_audit_id,source_audit_id,classification,source_species_group,source_japanese_name,source_mapped_insect_id,target_insect_ids,target_japanese_names,proposed_record_ids,excluded_target_insect_ids,plant_name,plant_family,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,source_pdf_page,source_printed_page,source_ocr_line,decision,reviewed_on,source_review_note,shared_rationale,excluded_rationale
shared-KDB175183-0001,KDB175183-0001,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-1c4660aa6d7e;host-kamikiri-shared-7e8670b8aab9,1-3;1-4,モミ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0003,KDB175183-0003,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-2ccfac5fab28;host-kamikiri-shared-6cebd21cba6e,species-22252;species-22254,モミ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,175,683-684,15888,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0007,KDB175183-0007,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-2031b194b75c;host-kamikiri-shared-0ccb3c1a9d21,species-22252;species-22254,ウラジロモミ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15944,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0008,KDB175183-0008,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-e09c353b86d6;host-kamikiri-shared-419660373dc0,species-22252;species-22254,オオシラビソ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,684,15963,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。 植物見出しOCR「オオシラビン」を画像から「オオシラビソ」に補正。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0010,KDB175183-0010,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-887d171bf6f6;host-kamikiri-shared-d33575c4a028,1-3;1-4,トドマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,685,15988,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0012,KDB175183-0012,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-08a70b37137c;host-kamikiri-shared-974a2b1d3d44,species-22252;species-22254,トドマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,685,15988,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0016,KDB175183-0016,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-d3249f691ed0;host-kamikiri-shared-769dfc6cbcf2,1-3;1-4,モミ類,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,176,685,16031,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0024,KDB175183-0024,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-9a551296921b;host-kamikiri-shared-81c680843922,species-22252;species-22254,チョウセンカラマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,177,686,16103,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0028,KDB175183-0028,historical_subspecies_concept_shared,Aegosoma sinicum,ウスバカミキリ,1-1,1-1;1-2,ウスバカミキリ 基亜種;ウスバカミキリ 奄美沖縄亜種,host-kamikiri-shared-08a04a58e3d3;host-kamikiri-shared-abccc13aa925,1-3;1-4,エゾマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,177,687,16135,include_shared,2026-07-11,索引画像で「ウスバカミキリ Megopis sinica sinica」を確認。種解説（冊子p.340-341）と現行同種群を照合したが、種解説の名義亜種範囲は奄美・沖縄個体群を含むが、現行CSVでは2018年記載の奄美沖縄亜種 adachii が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
shared-KDB175183-0029,KDB175183-0029,historical_subspecies_concept_shared,Leptura ochraceofasciata,ヨツスジハナカミキリ,species-22251,species-22251;species-22253,ヨツスジハナカミキリ 基亜種;ヨツスジハナカミキリ 五島列島亜種,host-kamikiri-shared-fbf7dcb210b6;host-kamikiri-shared-6e06cd2089c6,species-22252;species-22254,エゾマツ,マツ科,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,177,687,16135,include_shared,2026-07-11,索引画像で「ヨツスジハナカミキリ Leptura ochraceofasciata ochraceofasciata」を確認。種解説（冊子p.406-407）と現行同種群を照合したが、種解説の名義亜種分布は五島列島を含むが、現行CSVでは2018年記載の五島列島亜種が分離済み。索引レコードに産地がなく現行基亜種へ配分不能。,原典は名義亜種を明記するが、2007年時点の名義亜種概念に後年分離された地域亜種を含むため、その歴史的概念範囲内だけへ共有する。,2007年時点の名義亜種概念外の現行亜種は共有対象外。
