"action_id","action","insect_id","current_japanese_name","record_id","plant_name","plant_family","observation_type","plant_part","life_stage","note_type","content","canonical_reference","pdf_file","source_pdf_sha256","pdf_page","printed_page","source_heading","source_taxon","scope_classification","reviewed_on","evidence_note"
"KUA-001","add_note","species-22417","カクムネヒメハナカミキリ","note-kamikiri-unresolved-001","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","22","376-377","カクムネヒメハナカミキリ","Pidonia (Pidonia) orientalis Matsushita, 1933","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-002","add_host","species-22272","ヘリグロホソハナカミキリ 基亜種","host-kamikiri-unresolved-002","ハイノキ属","ハイノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","30","392-393","ヘリグロホソハナカミキリ","Ohbayashia nigromarginata (Hayashi)","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-003","add_host","species-22273","ヘリグロホソハナカミキリ 九州亜種","host-kamikiri-unresolved-003","ハイノキ属","ハイノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","30","392-393","ヘリグロホソハナカミキリ","Ohbayashia nigromarginata (Hayashi)","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-004","add_host","species-22304","ブチヒゲハナカミキリ","host-kamikiri-unresolved-004","シラビソ","マツ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","34","400-401","ブチヒゲハナカミキリ","Stictoleptura variicornis (Dalman, 1817)","historical_species_to_only_current_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-005","add_note","species-22304","ブチヒゲハナカミキリ","note-kamikiri-unresolved-005","","","","","","生態情報","成虫はノリウツギなどの花に集まり、マツ類の枯死木に飛来する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","34","400-401","ブチヒゲハナカミキリ","Stictoleptura variicornis (Dalman, 1817)","historical_species_to_only_current_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-006","add_note","species-22309","タケウチホソハナカミキリ","note-kamikiri-unresolved-006","","","","","","出現時期","7〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","タケウチホソハナカミキリ","Strangalia takeuchii Matsushita et Tamanuki, 1935","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-007","add_note","species-22309","タケウチホソハナカミキリ","note-kamikiri-unresolved-007","","","","","","生態情報","成虫はシシウド、ノリウツギ、リョウブなどの花に集まる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","タケウチホソハナカミキリ","Strangalia takeuchii Matsushita et Tamanuki, 1935","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-008","add_host","species-22306","オオシマホソハナカミキリ 基亜種","host-kamikiri-unresolved-008","リュウキュウマツ","マツ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-009","add_host","species-22306","オオシマホソハナカミキリ 基亜種","host-kamikiri-unresolved-009","アマシバ","ハイノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-010","add_note","species-22306","オオシマホソハナカミキリ 基亜種","note-kamikiri-unresolved-010","","","","","","出現時期","6〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-011","add_host","species-22307","オオシマホソハナカミキリ 沖縄本島亜種","host-kamikiri-unresolved-011","リュウキュウマツ","マツ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-012","add_host","species-22307","オオシマホソハナカミキリ 沖縄本島亜種","host-kamikiri-unresolved-012","アマシバ","ハイノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-013","add_note","species-22307","オオシマホソハナカミキリ 沖縄本島亜種","note-kamikiri-unresolved-013","","","","","","出現時期","6〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","オオシマホソハナカミキリ","Strangalia gracilis Gressitt, 1934","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-014","add_note","species-22234","ホソハナカミキリ","note-kamikiri-unresolved-014","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","43","418-419","ホソハナカミキリ","Leptostrangalia hosohana (Ohbayashi, 1952)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-015","add_host","species-22318","アマミホソコバネカミキリ 基亜種","host-kamikiri-unresolved-015","シイ類","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","アマミホソコバネカミキリ","Necydalis (Necydalis) moriyai Kusama, 1970","exact_historical_species_geographic_scope","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-016","add_note","species-22318","アマミホソコバネカミキリ 基亜種","note-kamikiri-unresolved-016","","","","","","出現時期","6〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","アマミホソコバネカミキリ","Necydalis (Necydalis) moriyai Kusama, 1970","exact_historical_species_geographic_scope","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-017","add_note","species-22318","アマミホソコバネカミキリ 基亜種","note-kamikiri-unresolved-017","","","","","","生態情報","林縁や吹き上げを飛翔する個体が見られ、アグチやイジュなどの花を訪れる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","アマミホソコバネカミキリ","Necydalis (Necydalis) moriyai Kusama, 1970","exact_historical_species_geographic_scope","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-018","add_host","species-21902","ホソガタヒメカミキリ 基亜種","host-kamikiri-unresolved-018","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-019","add_note","species-21902","ホソガタヒメカミキリ 基亜種","note-kamikiri-unresolved-019","","","","","","出現時期","5〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-020","add_note","species-21902","ホソガタヒメカミキリ 基亜種","note-kamikiri-unresolved-020","","","","","","生態情報","成虫は夜間に広葉樹の伐採木上で見られ、灯火にもよく飛来する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-021","add_host","species-21903","ホソガタヒメカミキリ 先島亜種","host-kamikiri-unresolved-021","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","ホソガタヒメカミキリ","Ceresium elongatum Matsushita, 1933","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
