"account_audit_id","source","pdf_file","source_pdf_sha256","pdf_page","printed_page","ocr_line_start","ocr_line_end","heading_raw","heading_japanese","heading_scientific_raw","host_field_status","host_candidates","emergence_candidates","ecology_candidate_count","boundary_flags","possible_ids","coverage_class","review_state","decision","target_insect_ids","related_action_ids","reviewed_on","review_note"
"KUA-ACCOUNT-001","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","1","334-335","33","37","ホソカミキリ Distenia gracilis （BLESSIG）","ホソカミキリ","Distenia gracilis","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-002","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","1","334-335","38","50","ホソカミキリ Distenin graciis gruelis （BLESSIC, 1872）","ホソカミキリ","Distenin graciis gruelis","candidate_present","各種の広葉樹;マツ利の勘皮下;材部","6〜9月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-003","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","2","336-337","51","62","ヤクシマホンカミキリ Disterid gracilis yakushinana YoKoYAMA， 1966","ヤクシマホンカミキリ","Disterid gracilis yakushinana","candidate_present","各種広葉勘;マツ科の構皮下;材部","6〜8月","0","unparsed_species_like_heading_inside_block","","not_visually_verified","inventory_screened_only","hold_boundary_ambiguous","","","2026-07-11","抽出境界フラグがあるため、原PDFで前後見出しを再確認するまで反映しない。"
"KUA-ACCOUNT-004","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","2","336-337","63","70","オオクボカミキリ Tengins ahhubai MATSUSHITA,1938","オオクボカミキリ","Tengins ahhubai","candidate_present","各種広業枯社のおもに削皮","5〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-005","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","2","336-337","71","101","キュウシュウオオクボカミキリ Tengius kuraswei MAKIHARA,1986","キュウシュウオオクボカミキリ","Tengius kuraswei","candidate_present","各種広社枝のおもに鶴皮","6〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-006","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","4","340-341","252","256","ヤクシマトゲウスパカミキリ Mesopis （Spinimegnpis） formasan yakushinand FuJITA， 1980","ヤクシマトゲウスパカミキリ","Mesopis （Spinimegnpis） formasan yakushinand","","","7月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-007","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","4","340-341","305","318","ヤエヤマウスバカミキリ Megonis （Aerosouc） sinice vliclicoruis GRFSSITI,1951","ヤエヤマウスバカミキリ","Megonis （Aerosouc） sinice vliclicoruis","candidate_present","各種広業間","4〜6月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-008","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","6","344-345","409","414","クロコバネカミキリ Pseplacts remiger insilaris HAYASHI， 1961","クロコバネカミキリ","Pseplacts remiger insilaris","","","6〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-009","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","9","350-351","725","748","ホントドマツカミキリ Tetropidt graciticum HAYASHi, 1983","ホントドマツカミキリ","Tetropidt graciticum","","","7〜81","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-010","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","15","362-363","1248","1263","アカイロニゼハムシハナカミキリ Lemule nishinurai SEKi, 1944","アカイロニゼハムシハナカミキリ","Lemule nishinurai","candidate_present","ヌルデ;ミズキへの成虫の来集も観察されている","5〜7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
