audit_id,insect_id,current_japanese_name,source_japanese_name,canonical_reference,pdf_file,source_pdf_sha256,ocr_sha256,pdf_page,printed_page,emergence,host_plants,ecology,source_taxon,legacy_japanese_name,legacy_scientific_name,legacy_route_name,decision,reviewed_on,review_note,merge_into_insect_id
kamikiri-2007-sybra-ordinata-ordinata,species-22625,アヤモンチビカミキリ 基亜種,アヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,103,539,3〜10月,アコウ|クワ科;ガジュマル|クワ科;イヌビワ|クワ科;トベラ|トベラ科;カラスザンショウ|ミカン科,成虫はクワ科植物の枯枝に多く見られる。早春にもよく見かけることから、成虫越冬すると考えられている。,Sybra (Sybra) ordinata ordinata,,,,include,2026-07-11,種群共通の生態記述は冊子p.539にある。,
kamikiri-2007-sybra-ordinata-tokara,species-22632,アヤモンチビカミキリ 吐噶喇亜種,トカラアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,103,539,4〜9月,アコウ|クワ科;ガジュマル|クワ科,成虫はクワ科植物の枯枝に多く見られる。早春にもよく見かけることから、成虫越冬すると考えられている。,Sybra (Sybra) ordinata tokara,,,,include,2026-07-11,原典名と現行和名の地名表記を照合した。,
kamikiri-2007-sybra-ordinata-subtesselata,species-22631,アヤモンチビカミキリ 奄美亜種,アマミアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,103-104,539-540,3〜10月,アコウ|クワ科;ガジュマル|クワ科;ヤマグワ|クワ科;イヌビワ|クワ科;アカメガシワ|トウダイグサ科;ハゼノキ|ウルシ科,成虫はクワ科植物の枯枝に多く見られる。早春にもよく見かけることから、成虫越冬すると考えられている。,Sybra (Sybra) ordinata subtesselata,,,,include,2026-07-11,寄主欄が冊子p.539からp.540へ続くため両ページを目視確認した。,
kamikiri-2007-sybra-ordinata-okinoerabuensis,species-22630,アヤモンチビカミキリ 沖永良部島亜種,オキノエラブアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,104,540,4〜10月,アコウ|クワ科;ガジュマル|クワ科;イヌビワ|クワ科;ヤマグワ|クワ科,成虫はクワ科植物の枯枝に多く見られる。早春にもよく見かけることから、成虫越冬すると考えられている。,Sybra (Sybra) ordinata okinoerabuensis,,,,include,2026-07-11,原典名と現行和名の地名表記を照合した。,
kamikiri-2007-sybra-ordinata-loochooana,species-22628,アヤモンチビカミキリ 沖縄亜種,オキナワアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,104,540,3〜12月,アコウ|クワ科;ガジュマル|クワ科;イヌビワ|クワ科;ヤマグワ|クワ科;アカメガシワ|トウダイグサ科;ウラジロエノキ|アサ科,成虫はクワ科植物の枯枝に多く見られる。早春にもよく見かけることから、成虫越冬すると考えられている。,Sybra (Sybra) ordinata loochooana,,,,include,2026-07-11,原典のウラジロエノキはニレ科表記だが現行サイトの分類に合わせてアサ科とした。,
kamikiri-2007-sybra-flavostriata-flavostriata,species-22626,ヤエヤマアヤモンチビカミキリ 基亜種,ヤエヤマアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,104,540,1〜12月,アコウ|クワ科;ガジュマル|クワ科;イヌビワ|クワ科;ヤマグワ|クワ科;アカメガシワ|トウダイグサ科;ヤエヤマコクタン|カキノキ科,成虫はクワ科植物の枯枝に多く見られ、一年を通して確認できる。,Sybra (Sybra) flavostriata flavostriata,,,,include,2026-07-11,原典では別種扱いだが現行目録ではSybra ordinataの亜種として対応する。,
kamikiri-2007-sybra-flavostriata-miyakojimana,species-22629,ミヤコアヤモンチビカミキリ,ミヤコアヤモンチビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,104,540-541,1〜12月,アコウ|クワ科;ガジュマル|クワ科;ヤマグワ|クワ科;オオハマボウ|アオイ科;クロヨナ|マメ科,成虫はクワ科植物の枯枝に多く見られ、一年を通して確認できる。,Sybra (Sybra) flavostriata miyakojimana,,,,include,2026-07-11,寄主欄が冊子p.540からp.541へ続くため両ページを目視確認した。,
kamikiri-a-001,species-22464,ムネツヤサビカミキリ,ムネツヤサビカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,7,347,7〜8月,エゾマツ|マツ科,成虫は灯火に飛来するが、あまり多くない。,"Arhopalus rusticus (Linnaeus, 1758)",,,,include,2026-07-11,p.346からp.347上段へ続く同一種の記述を目視確認。次種シカクムネサビカミキリの情報は含めていない。,
kamikiri-a-002,species-22474,トドマツカミキリ,トドマツカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,8-9,350,5〜8月,マツ科各種|マツ科,成虫は針葉樹の新しい伐採木などに見られる。,"Tetropium castaneum (Linnaeus, 1758)",,,,include,2026-07-11,見出しはp.349下段、記述本文は次のPDFページのp.350上段へ続く。ツヤナシトドマツカミキリの情報は除外。,
kamikiri-a-003,species-22477,カラマツカミキリ,カラマツカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,9,351,5〜8月,カラマツ|マツ科,成虫はカラマツの天然林の生木に見られ、樹皮下に潜むことがある。低標高地のカラマツ造林地でも確認されている。,"Tetropium morishimaorum Kusama & Takakuwa, 1984",,,,include,2026-07-11,p.350下段からp.351上段へ続く同一種の記述を目視確認。後続のホソトドマツカミキリを除外。,
kamikiri-a-004,species-22458,モモグロハナカミキリ,モモグロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,12,356,5〜8月,,花を訪れることもあるが、葉上に止まることが多い。蛹が1月中旬から採集された例がある。室内ではユキノシタ科アスチルベ属のトリアシショウマや園芸種の葉裏への産卵と、孵化幼虫による根際から根茎中への食入が確認されている。寄主植物は未知とされる。,"Toxotinus reinii (Heyden, 1879)",,,,include,2026-07-11,対象ブロックは目視確認済みで隣種混入なし。Heydenの原記載（Deutsche Entomologische Zeitschrift 23:359）と現行カタログの訂正資料で1879年を確認し、現行CSVの1878年を訂正する。,
kamikiri-a-005,species-22445,キベリカタビロハナカミキリ,キベリカタビロハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,13,358,6〜8月,モミ|マツ科;オオシラビソ|マツ科;ツガ|マツ科;トウヒ|マツ科;カラマツ|マツ科,シシウド、ノリウツギ、アマニュウ、リョウブなどの花に集まり、寄主植物の立枯木や伐採木に飛来する。新成虫が土中から出ることと、根際の樹皮部に幼虫がいることが観察されている。,"Pachyta erebia Bates, 1884",,,,include,2026-07-11,現行分類のProrhagium erebiaに対応する原典見出しを目視確認。後段の九州個体群・別種記載に関する分類学的説明から生態値を追加していない。,
kamikiri-a-006,species-22443,ピックニセハムシハナカミキリ,ピックニセハムシハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,15,363,5〜6月,,カエデ類やノリウツギなどの花に集まる。クリとミズキへの成虫の来集が観察されている。寄主植物は未知とされる。,"Lemula rufithorax Pic, 1901",,,,include,2026-07-11,クリ・ミズキは成虫の来集記録であり、寄主植物とは扱っていない。前後のニセハムシハナカミキリ類の情報を除外。,
kamikiri-a-007,species-22444,アカムネハナカミキリ,アカムネハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,16,365,7月,,低木層にクロツバラが優占する森林で、低木や下草に止まる個体が採集される。クロツバラの生木の根際への産卵が観察されている。寄主植物は未知とされる。,"Macropidonia ruficollis Pic, 1902",,,,include,2026-07-11,同じ段落後半の別種M. bicolorに関するアズキナシ・幼虫生態は除外。原典見出しは1902だが原記載号（Bulletin du Muséum 7:340）と現行カタログで1901年を確認し、現行CSVの1901年を保持する。,
kamikiri-a-008,species-22427,ナガバヒメハナカミキリ,ナガバヒメハナカミキリ,日本産カミキリムシ,日本産カミキリムシ_compressed.pdf,52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77,efb17b5912fbb2c144dab4d99924dbc341e8f64054be7909dd7818cad155bef2,18,368,5〜7月,シデ類|カバノキ科,低山地から山地の落葉広葉樹林に見られるが、ブナ帯では少ない。カエデ類、コゴメウツギ、ニシキウツギ、カンボクなどの花に集まり、シデ類への成虫の来集も観察されている。,"Pidonia (Pidonia) signifera (Bates, 1884)",,,,include,2026-07-11,現行分類のPseudopidonia signiferaに対応する原典ブロックを目視確認。次種ホクリクヒメハナカミキリを除外。,
