record_id,insect_id,japanese_name,note_type,reference_before,content_sha256,pdf_page,printed_page,review_decision,action_audit_id,source_scope,application_targets,excluded_targets,scope_decision_reason
note-200226,species-0001,モンフタオビコバネ,出現時期,日本産蛾類標準図鑑3,f17391ee28467b93c265c1f516783ec24979f2936f3a2489e509ec59d9082828,1,68,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0001,,修正対象ではないため、既存の適用範囲を変更しない。
note-200278,species-0002,ムモンコバネ,出現時期,日本産蛾類標準図鑑3,b911615f76d8cb738a21fd79424fbbd12d0bcfa7f6d0a568411764d0c301c5cc,1,68,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0002,,修正対象ではないため、既存の適用範囲を変更しない。
note-200228,species-0003,マエモンコバネ,出現時期,日本産蛾類標準図鑑3,5253453bf4b75f32e903fe1af51257550e1a78334d7a3418ab1caf159b097f12,1,69,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0003,,修正対象ではないため、既存の適用範囲を変更しない。
note-200230,species-0008,シロウマズアカヒロコバネ,出現時期,日本産蛾類標準図鑑3,e610f3af850fd30fb8bc6e7540682f40293dab310be36e4ee57f3ea935f6979a,2,70,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0008,,修正対象ではないため、既存の適用範囲を変更しない。
note-200232,species-0009,ヒメズアカヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,2,70,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0009,,修正対象ではないため、既存の適用範囲を変更しない。
note-200234,species-0010,ニセヒメズアカヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,2,70,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0010,,修正対象ではないため、既存の適用範囲を変更しない。
note-200236,species-0011,エチゴズアカヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,2,71,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0011,,修正対象ではないため、既存の適用範囲を変更しない。
note-200238,species-0012,フタフシズアカヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,2,71,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0012,,修正対象ではないため、既存の適用範囲を変更しない。
note-200240,species-0015,ホソクロズコバネ,出現時期,日本産蛾類標準図鑑3,5401715b95e54a0dc51f30f7c21cd186405d615dc2865db8b222ef351aed5b59,2,71,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0015,,修正対象ではないため、既存の適用範囲を変更しない。
note-200242,species-0016,ニッポンヒロコバネ,出現時期,日本産蛾類標準図鑑3,5253453bf4b75f32e903fe1af51257550e1a78334d7a3418ab1caf159b097f12,2,71,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0016,,修正対象ではないため、既存の適用範囲を変更しない。
note-200244,species-0017,キイヒロコバネ,出現時期,日本産蛾類標準図鑑3,1bc22d2f3d035240bc4f127af3523d76a99884ae519a49233c1f0c09f5fc9c78,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0017,,修正対象ではないため、既存の適用範囲を変更しない。
note-200246,species-0018,オワセヒロコバネ,出現時期,日本産蛾類標準図鑑3,685ba3f0a859febcb736d0fd1377d91596d084af28deb96b7ff4964ce41d99dc,3,73,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0018,,修正対象ではないため、既存の適用範囲を変更しない。
note-200248,species-0019,マツムラヒロコバネ,出現時期,日本産蛾類標準図鑑3,5253453bf4b75f32e903fe1af51257550e1a78334d7a3418ab1caf159b097f12,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0019,,修正対象ではないため、既存の適用範囲を変更しない。
note-200252,species-0020,サンダンキョウヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,4,74,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0020,,修正対象ではないため、既存の適用範囲を変更しない。
note-200254,species-0021,イシヅチヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,4,74,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0021,,修正対象ではないため、既存の適用範囲を変更しない。
note-200256,species-0022,ツルギヒロコバネ,出現時期,日本産蛾類標準図鑑3,9101dacd96da3b7d4265e2a467aef5184596b318bc59192ed9fba9674312ba1c,4,74,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0022,,修正対象ではないため、既存の適用範囲を変更しない。
note-200250,species-0023,カズサヒロコバネ,出現時期,日本産蛾類標準図鑑3,b7614df0e869600f1e07c32d35aaa4aeb3a00dc84256d90ec1051ca518e7cebd,4,74,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0023,,修正対象ではないため、既存の適用範囲を変更しない。
note-200258,species-0024,イッシキスイコバネ,出現時期,日本産蛾類標準図鑑3,3d046faf438953c69f77fc4c8074065485d0dcfe9a7e1d07e6de92b42603ad96,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0024,,修正対象ではないため、既存の適用範囲を変更しない。
note-200259,species-0025,シロテンスイコバネ,生態情報,日本産蛾類標準図鑑3,f11a9f41bd56d2dab4923f7dc4da34e7c427dc10ad10a697557a27575af662ad,4,75,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0025,,修正対象ではないため、既存の適用範囲を変更しない。
note-200261,species-0026,ムラサキマダラスイコバネ,出現時期,日本産蛾類標準図鑑3,ff0257d5b10bdc00d9d6c3570a002470eb42479d7d471d2c356df0520dc113f3,,,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0026,,修正対象ではないため、既存の適用範囲を変更しない。
note-200262,species-0027,キンマダラスイコバネ,出現時期,日本産蛾類標準図鑑3,72a43f177d933b1f8af24f1b514294c3f79cf6067b2ad959dd2f0f11dca8a077,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0027,,修正対象ではないため、既存の適用範囲を変更しない。
note-200263,species-0028,ハンノキスイコバネ,出現時期,日本産蛾類標準図鑑3,0cfa826b2a578ebc0d3101ccde9eb3415e1e875439d22c2f252232e336c04dbe,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0028,,修正対象ではないため、既存の適用範囲を変更しない。
note-200260,species-0029,ミズメスイコバネ,出現時期,日本産蛾類標準図鑑3,4ca32f0b2a63d8978c1a0e01d1eb97ed708155e8998b798dae3b99f870326313,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0029,,修正対象ではないため、既存の適用範囲を変更しない。
note-200264,species-0029,ミズメスイコバネ,出現時期,日本産蛾類標準図鑑3,6c13906223ec949aa8ab8fa197adcbd74000b7e3924a28619281b545f0c4fd34,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0029,,修正対象ではないため、既存の適用範囲を変更しない。
note-200265,species-0029,ミズメスイコバネ,出現時期,日本産蛾類標準図鑑3,9077c9429b222bf5fe0e2fff1e33b0ffb76c2118cfea798e173436ab427b868a,5,76,retain_no_clear_ocr_semantic_collapse_field_spill_or_truncation,,not_applicable_no_change,species-0029,,修正対象ではないため、既存の適用範囲を変更しない。
