audit_version,reviewed_on,reference,account_no,insect_id,japanese_name,source_scientific_name,current_scientific_name,mapping_status,pdf_page_start,printed_page_start,source_host_scope,source_host_text,host_count_before,host_count_after_planned,current_host_names_before,host_audit_status,source_ecology_text,current_notes_before,note_audit_status,visual_review_status,source_pdf_sha256
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,1,species-2112,マゲバヒメハマキ,"Kennelia xylinana (Kennel, 1900)","Kennelia xylinana (Kennel, 1900)",japanese_exact,17,16,domestic_hosts_recorded,クロウメモドキ Rhamnus japonica，イソノキ Frangula crenata (クロウメモドキ科)．,2,2,クロウメモドキ[野外（国内）] / イソノキ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜9 月．幼虫は新芽を綴ったり， 葉の縁を折り返したりする (奥， 2003； 宮野， 2015)．,出現時期:6-9月 / 生態情報:幼虫は新芽を綴ったり，葉の縁を折り返したりする(奥，2003；宮野，2015),verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,2,species-2125,キイロヒメハマキ,"Kennelia teliferana (Christoph, 1882), comb. nov.","Kennelia teliferana (Christoph, 1882)",japanese_exact,17,16,domestic_hosts_recorded,ツノハシバミ Corylus sieboldiana var. sieboldiana，ハシバミ Co. heterophylla var. thunbergii， アカシデ Carpinus laxiflora，サワシバ Ca. cordata，アサダ Ostrya japonica (カバノキ科)．,5,5,ツノハシバミ[野外（国内）] / ハシバミ[野外（国内）] / アカシデ[野外（国内）] / サワシバ[野外（国内）] / アサダ[野外（国内）],verified_complete_no_change,成虫発生時期は 7〜8 月．幼虫は葉を複数枚まとめて，葉巻状に巻く (奥，2003)．,出現時期:7-8月 / 生態情報:幼虫は葉を複数枚まとめて，葉巻状に巻く(奥，2003),verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,3,species-2151,ニレコヒメハマキ,"Epinotia ulmicola Kuznetzov, 1966","Epinotia ulmicola Kuznetzov, 1966",japanese_exact,18,17,domestic_hosts_recorded,ハルニレ Ulmus davidiana var. japonica， オヒョウ Ulmus laciniata， ケヤキ Zelkova serrata (ニ レ科)．,3,3,ハルニレ[野外（国内）] / オヒョウ[野外（国内）] / ケヤキ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜7 月．幼虫は寄主の葉を綴る．,出現時期:6-7月 / 生態情報:幼虫は寄主の葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,4,species-2154,フタシロモンヒメハマキ,"Epinotia trigonella (Linnaeus, 1758)","Epinotia trigonella (Linnaeus, 1758)",japanese_exact,18,17,domestic_unknown_foreign_hosts_recorded,日本では未知．ヨーロッパではカバノキ属 Betula spp. (カバノキ科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 9〜10 月．,出現時期:9-10月,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_18,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,5,species-2156,オオナガバヒメハマキ,"Epinotia maculana (Fabricius, 1775)","Epinotia maculana (Fabricius, 1775)",japanese_exact,18,17,domestic_unknown_foreign_hosts_recorded,日本では未知．ヨーロッパではヨーロッパヤマナラシ Populus nigra (ヤナギ科)．,0,1,,add_missing_foreign_hosts,成虫発生時期は 9〜11 月． 岩手県ではヤマナラシ P. tremula var. sieboldii のある地点に多い (奥， 2003)．幼虫は葉を綴る．,出現時期:9-11月 / 生態情報:岩手県ではヤマナラシP. tremula var. sieboldii のある地点に多い(奥，2003)．幼虫は葉を綴る,verified_complete_no_change,original_pdf_image_confirmed_300dpi_page_18,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,6,species-2158,ダケカンバヒメハマキ,"Epinotia brunnichana (Linnaeus, 1767)","Epinotia brunnichana (Linnaeus, 1767)",japanese_exact,19,18,domestic_hosts_recorded,ダケカンバ Betula ermanii (カバノキ科)．,1,1,ダケカンバ[野外（国内）],verified_complete_no_change,成虫発生時期は 7〜9 月．幼虫は葉を葉先から筒状に巻く．,出現時期:7-9月 / 生態情報:幼虫は葉を葉先から筒状に巻く,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,7,species-2159,セウスモンヒメハマキ,"Epinotia solandriana (Linnaeus, 1758)","Epinotia solandriana (Linnaeus, 1758)",japanese_exact,19,18,domestic_hosts_recorded,ヤマハンノキ Alnus hirsuta，ポロナイカンバ Betula middendorffii (カバノキ科)．,2,2,ヤマハンノキ[野外（国内）] / ポロナイカンバ[野外（国内）],verified_complete_no_change,成虫発生時期は 8〜10 月．幼虫は葉を縁から巻く．,出現時期:8-10月 / 生態情報:幼虫は葉を縁から巻く,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,8,species-2160,セシロモンヒメハマキ,"Epinotia salicicolana Kuznetzov, 1968","Epinotia salicicolana Kuznetzov, 1968",japanese_exact,19,18,domestic_hosts_recorded,ヤマナラシ Populus tremula var. sieboldii，バッコヤナギ Salix caprea，オノエヤナギ S. udensis (ヤナギ科)．,3,3,ヤマナラシ[野外（国内）] / バッコヤナギ[野外（国内）] / オノエヤナギ[野外（国内）],verified_complete_no_change,成虫発生時期は 8〜11 月．幼虫は葉を先から筒状に巻く．,出現時期:8-11月 / 生態情報:幼虫は葉を先から筒状に巻く,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,9,species-2161,ニレチャイロヒメハマキ,"Epinotia ulmi Kuznetzov, 1966","Epinotia ulmi Kuznetzov, 1966",japanese_exact,19,18,domestic_hosts_recorded,ハルニレ Ulmus davidiana var. japonica (ニレ科)．,1,1,ハルニレ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜8 月．幼虫は葉を巻く．,出現時期:6-8月 / 生態情報:幼虫は葉を巻く,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
hamakiga1-v1-2026-07-12,2026-07-12,日本のハマキガ1,10,species-2162,ニレマダラヒメハマキ,"Epinotia signatana (Douglas, 1845)","Epinotia signatana (Douglas, 1845)",japanese_exact,20,19,domestic_hosts_recorded,ハルニレ Ulmus davidiana var. japonica (ニレ科)，カスミザクラ Cerasus leveilleana，エド ヒガン C. itosakura var. itosakura f. ascendens，ソメイヨシノ C. × yedoensis，セイヨウリンゴ Malus domestica (バラ科)．,5,5,ハルニレ[野外（国内）] / カスミザクラ[野外（国内）] / エドヒガン[野外（国内）] / ソメイヨシノ[野外（国内）] / セイヨウリンゴ[野外（国内）],verified_complete_no_change,成虫発生時期は 6〜7 月．幼虫は寄主の葉を綴る．,出現時期:6-7月 / 生態情報:幼虫は寄主の葉を綴る,verified_complete_no_change,heading_level_text_audit_no_change,78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646
