audit_id,record_id,insect_id,japanese_name,reference,note_type,old_content,approved_content,pdf_file,pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on
H1-EDITORIAL-001,note-1000784,species-2122,クマノミズキヒメハマキ,日本のハマキガ1,生態情報,幼虫はクマノミズキの小花をボール状に綴ったり，葉を縁から葉巻状に巻いたりする．幼生期の形態は駒井ら(2011)に詳しい,幼虫はクマノミズキの小花をボール状に綴ったり，葉を縁から葉巻状に巻いたりする,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,75,74,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-002,note-1000751,species-2126,モッコクヒメハマキ,日本のハマキガ1,生態情報,近畿地方では年3〜4化する．幼虫はモッコクの新芽や新葉を綴ったり，合わせたりする．加害を受けた葉は褐変し，後に黒く枯れる．幼生期については，駒井ら(2011)に詳しい,近畿地方では年3〜4化する．幼虫はモッコクの新芽や新葉を綴ったり，合わせたりする．加害を受けた葉は褐変し，後に黒く枯れる,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,68,67,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-003,note-1000749,species-2128,アトウスバヒメハマキ,日本のハマキガ1,生態情報,幼虫はさまざまな広葉樹の新芽や新葉を綴る．幼生期については，駒井ら(2011)に詳しい,幼虫はさまざまな広葉樹の新芽や新葉を綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,68,67,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-004,note-1000753,species-2130,モトゲヒメハマキ,日本のハマキガ1,生態情報,幼虫はヌルデの新梢に潜る．秋にはヌルデシロアブラムシ Schlechtendalia chinensis の虫こぶ内を摂食している幼虫が発見されている(吉安，1986)．幼生期については，駒井ら(2011)に詳しい,幼虫はヌルデの新梢に潜る．秋にはヌルデシロアブラムシ Schlechtendalia chinensis の虫こぶ内を摂食している幼虫が発見されている(吉安，1986),"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,69,68,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-005,note-1000786,species-2132,カラマツヒメハマキ,日本のハマキガ1,生態情報,年2化．幼虫ははじめカラマツ針葉に潜り，後に葉を束ねて食害し，若齢幼虫で越冬．幼生期については，駒井ら(2011)に詳しい,年2化．幼虫ははじめカラマツ針葉に潜り，後に葉を束ねて食害し，若齢幼虫で越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,75,74,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-006,note-1000804,species-2141,イスノキヒメハマキ,日本のハマキガ1,生態情報,幼虫はイスノキの葉を綴る．年1化．幼虫越冬．幼生期については，駒井ら(2011)に詳しい,幼虫はイスノキの葉を綴る．年1化．幼虫越冬,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,78,77,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-007,note-1000807,species-2143,モトアカヒメハマキ,日本のハマキガ1,生態情報,幼虫はカシワの新梢に潜る．幼生期については，駒井ら(2011)に詳しい,幼虫はカシワの新梢に潜る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,79,78,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-008,note-1000811,species-2146,バンジロウヒメハマキ,日本のハマキガ1,生態情報,沖縄では周年発生している．幼虫は若葉を綴る．幼生期については，駒井ら(2011)に詳しい,沖縄では周年発生している．幼虫は若葉を綴る,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,80,79,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-009,note-1000528,species-2149,ヒロオビヒメハマキ,日本のハマキガ1,生態情報,幼虫は寄主の新梢に潜る．潜られた枝は伸長せず，虫こぶとなり，先端の葉は叢生状となる．幼生期については，駒井ら(2011)に詳しい,幼虫は寄主の新梢に潜る．潜られた枝は伸長せず，虫こぶとなり，先端の葉は叢生状となる,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,29,28,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
H1-EDITORIAL-010,note-1000463,species-2166,トドマツヒメハマキ,日本のハマキガ1,生態情報,幼虫は最初，芽に潜るが，中齢以降は2〜3本の葉を綴って筒をつくる．幼生期については，駒井ら(2011)に詳しい,幼虫は最初，芽に潜るが，中齢以降は2〜3本の葉を綴って筒をつくる,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,20,19,原PDF全216種解説監査台帳で該当生態欄を確認。,remove_editorial_further_reading_retain_ecology,2026-07-12
