audit_id,entity,action,record_ids,insect_id,note_type,match_content,field,expected_value,approved_value,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on,note_page,note_year
H1-001,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-004-01,species-2154,,,,,,カバノキ属,カバノキ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,18,17,原PDF画像の寄主植物欄で国外寄主「カバノキ属」を確認。ヨーロッパでの記録（Betula spp.）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-002,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-005-01,species-2156,,,,,,ヨーロッパヤマナラシ,ヤナギ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,18,17,原PDF画像の寄主植物欄で国外寄主「ヨーロッパヤマナラシ」を確認。ヨーロッパでの記録（Populus nigra）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-003,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-011-01,species-2163,,,,,,カエデ属,ムクロジ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,20,19,原PDF画像の寄主植物欄で国外寄主「カエデ属」を確認。ロシアでの記録（Acer）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-004,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-017-01,species-2170,,,,,,オヒョウ,ニレ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,21,20,原PDF画像の寄主植物欄で国外寄主「オヒョウ」を確認。ロシアでの記録（Ulmus laciniata）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-005,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-020-01,species-2173,,,,,,ヨーロッパモミ,マツ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,22,21,原PDF画像の寄主植物欄で国外寄主「ヨーロッパモミ」を確認。ヨーロッパでの記録（Abies alba）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-006,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-020-02,species-2173,,,,,,ドイツトウヒ,マツ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,22,21,原PDF画像の寄主植物欄で国外寄主「ドイツトウヒ」を確認。ヨーロッパでの記録（Picea abies）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-007,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-024-01,species-2164,,,,,,カバノキ属,カバノキ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,23,22,原PDF画像の寄主植物欄で国外寄主「カバノキ属」を確認。ヨーロッパでの記録（Betula）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-008,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-024-02,species-2164,,,,,,ハンノキ属,カバノキ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,23,22,原PDF画像の寄主植物欄で国外寄主「ハンノキ属」を確認。ヨーロッパでの記録（Alnus）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-009,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-027-01,species-2181,,,,,,オオハシバミ,カバノキ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,24,23,原PDF画像の寄主植物欄で国外寄主「オオハシバミ」を確認。ロシアでの記録（Corylus heterophylla var. heterophylla）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-010,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-028-01,species-2184,,,,,,ヤナギ類,ヤナギ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,24,23,原PDF画像の寄主植物欄で国外寄主「ヤナギ類」を確認。ヨーロッパでの記録（Salix）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
H1-011,hostplant,add_host_relation,hostplant-hamakiga1-foreign-20260712-028-02,species-2184,,,,,,ヨーロッパヤマナラシ,ヤナギ科,野外（国外）,,幼虫,日本のハマキガ1,,"日本のハマキガ 1　モグリヒメハマキガ族（鱗翅目,ハマキガ科,ヒメハマキガ亜科）.pdf",78f75fd532ace774cff181d573c96c04052e1c65dd77a352ec520d7cd33de646,24,23,原PDF画像の寄主植物欄で国外寄主「ヨーロッパヤマナラシ」を確認。ヨーロッパでの記録（Populus tremula var. tremula）,国内寄主と混同しないよう野外（国外）として追加。,2026-07-12,,
