audit_id,audit_batch,volume,plant_name,similar_taxa,approved_content,source,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,decision,exclusion_reason,reviewed_on,cleanup_field,cleanup_current_value,cleanup_intermediate_value,cleanup_replacement,review_note
wildplants-v1-identification-0001,volume1_comparison_candidates,1,ゴヨウマツ,キタゴヨウ,ゴヨウマツは冬芽の先がとがり、球果は長さ5～8 cm、径約3.5 cm、種子の翼は本体より短く折れやすい。キタゴヨウは冬芽の先が丸く、球果がやや大きく、種子の翼は本体と同長かそれより長い。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,20,38,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0002,volume1_comparison_candidates,1,イヌマキ,ラカンマキ、リュウキュウイヌマキ、トガリバマキ,ラカンマキはイヌマキより葉が短く狭く、長さ4～8 cm、幅4～8 mmである。リュウキュウイヌマキは雄花の穂に柄があり、葉先が通常鋭くとがり、葉身がわずかに湾曲する。トガリバマキは雄花の穂が1～3個である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,21,40,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0003,volume1_comparison_candidates,1,クロベ,コノテガシワ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,23,44,exclude,近縁関係の記述のみで、客観的な識別形質がない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0004,volume1_comparison_candidates,1,イヌガヤ,ハイイヌガヤ,ハイイヌガヤは高さ1～2 mで幹の下部が地をはい、葉はイヌガヤより短く細く、長さ25～35 mm、幅2.5～3 mmである。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,24,46,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0005,volume1_comparison_candidates,1,イチイ,キャラボク,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,24,46,exclude,本文は分類群を区別しない、または区別できないという記述で、識別形質を提示しない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0006,volume1_comparison_candidates,1,センリョウ,ドクダミ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,28,54,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0007,volume1_comparison_candidates,1,ウスバサイシン,クロフネサイシン,クロフネサイシンはウスバサイシンに似るが、雄蕊6個、花柱3個で、それぞれ半数である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,60,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0008,volume1_comparison_candidates,1,オクエゾサイシン,ミクニサイシン,ミクニサイシンは萼筒の形がオクエゾサイシンに似るが、萼裂片は長さ7～10 mmと長く、外側に反り返らず平開する。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,60,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0009,volume1_comparison_candidates,1,トウゴクサイシン,ウスパサイシン,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,60,exclude,類似・相違への言及はあるが、比較対象と客観的な識別形質が同時に明示されない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0010,volume1_comparison_candidates,1,オモロカンアオイ,センカクアオイ,オモロカンアオイは花柱3個・雄蕊6個である。センカクアオイは外形が似るが、通常は葉表に白斑がなく、花柱6個・雄蕊12個である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,60,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0011,volume1_comparison_candidates,1,グスクカンアオイ,トリガミネカンアオイ,グスクカンアオイは花柱6個・雄蕊12個である。トリガミネカンアオイは花形が似るが、花柱3個・雄蕊6個で、それぞれ半数である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,61,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0012,volume1_comparison_candidates,1,ハツシマカンアオイ,タニムラカンアオイ,タニムラカンアオイはハツシマカンアオイによく似るが、萼裂片の表面が白い。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,61,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0013,volume1_comparison_candidates,1,ナゼカンアオイ,アサトカンアオイ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,61,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0014,volume1_comparison_candidates,1,エクボサイシン,カケロマカンアオイ,カケロマカンアオイはエクボサイシンと同じく雄蕊6個・花柱3個だが、萼筒は長さ6～9 mm、径6～10 mmの、より小さく丸みのある筒形である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,31,61,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0015,volume1_comparison_candidates,1,タイリンアオイ,サツマアオイ,サツマアオイはタイリンアオイに似るが、萼筒はやや小さく、萼筒口はより広く、萼裂片の縁はより強くうねる。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,62,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0016,volume1_comparison_candidates,1,ツクシアオイ,サンコカンアオイ,ツクシアオイは花柱6個・雄蕊12個である。サンコカンアオイは葉形・花形が似るが、花柱3個・雄蕊6個で、それぞれ半数である。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,62,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0017,volume1_comparison_candidates,1,オトメアオイ,ズソウカンアオイ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,62,exclude,比較対象または識別形質が不確実・未確立・属レベルで、種ページ用の診断文として採用できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0018,volume1_comparison_candidates,1,カンアオイ,ナンカイアオイ、ジュロウカンアオイ,ナンカイアオイはカンアオイによく似るが、つぼみでは3個の萼裂片が接する基部に明瞭なくぼみがあり、萼裂片の縁がしばしばうねる。ジュロウカンアオイは葉の形がカンアオイに似るが、花期は12～1月で、萼筒が長さ13～16 mmと長い。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,63,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0019,volume1_comparison_candidates,1,アツミカンアオイ,カンアオイ,アツミカンアオイはカンアオイに花の形が似るが、葉身は長さ6～11 cmで、早春に開花する。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,63,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0020,volume1_comparison_candidates,1,コトウカンアオイ,ヒメカンアオイ,コトウカンアオイはヒメカンアオイに葉形が似るが、ヒメカンアオイが2～3月に開花するのに対し、コトウカンアオイは5月に開花する。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,32,63,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0021,volume1_comparison_candidates,1,コブシ,キタコブシ,キタコブシはコブシより葉が大きく、長さ10～20 cm、幅6～10 cmで、花もやや大きい。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,33,65,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0022,volume1_comparison_candidates,1,オガタマノキ,タイワンオガタマ,タイワンオガタマはオガタマノキより葉が小さく、長さ5～11 cm、幅2～4 cmである。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,34,66,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0023,volume1_comparison_candidates,1,クロボウモドキ,イランイランノキ,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,34,66,exclude,比較表現はあるが、客観的な形態差を確認できない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0024,volume1_comparison_candidates,1,ヤブニッケイ,コヤブニッケイ,ヤブニッケイは花序柄が長さ3～7 cm、葉が長さ6～12 cmで、コヤブニッケイの花序柄1～2.5 cm、葉4～6 cmより大きい。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,36,70,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0025,volume1_comparison_candidates,1,ケクロモジ,ウスゲクロモジ／ミヤマクロモジ／ヒメクロモジ,ウスゲクロモジ（ミヤマクロモジ）はケクロモジと異なり、葉表に短い絨毛がない。ヒメクロモジは花序柄の毛が鮮やかな赤褐色で、ウスゲクロモジの黄褐色と異なり、1花序の花が少なく、花期も早い。,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,37,72,include,,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
wildplants-v1-identification-0026,volume1_comparison_candidates,1,オキナワコウバシ,,,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,37,73,exclude,本文は分類群を区別しない、または区別できないという記述で、識別形質を提示しない,2026-07-12,,,,,原PDF画像で対象種・比較対象・識別形質・冊子ページを確認。OCRは候補探索のみに使用。
