audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,corrected_plant_name,scientific_name,corrected_scientific_name,family,corrected_family,family_latin,corrected_family_latin,genus_jp,corrected_genus_jp,genus_scientific,corrected_genus_scientific,pdf_page,printed_page,reviewed_on,review_note
wildplants-name-integrity-0001,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カゴノキ,,Lisea coreana,Litsea coreana,,,,,,,,,37,73,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0002,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カナクギノキ,,Lindera erythroearpa,Lindera erythrocarpa,,,,,,,,,37,72,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0003,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カノコユリ,,Lilium speeiosum,Lilium speciosum,,,,,,,,,67,132,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0004,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マツカサススキ,,Seirpus mitsukurianus,Scirpus mitsukurianus,,,,,,,,,138,275,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0005,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アキメヒシバ,,Digitaria violaseens,Digitaria violascens,,,,,,,,,167,332,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0006,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ジロボウエンゴサク,,Corydalis deeumbens,Corydalis decumbens,,,,,,,,,176,351,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0007,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ムラサキケマン,,Corydalis ineisa,Corydalis incisa,,,,,,,,,176,351,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0008,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナンプソウ,ナンブソウ,Achlys japoniea,Achlys japonica,,,,,,,,,180,358,2026-07-12,原PDF高解像度画像の種見出し「ナンブソウ Achlys japonica」を目視確認。和名と学名の双方がOCR誤読。
wildplants-name-integrity-0009,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒロハヘビノボラス,ヒロハヘビノボラズ,Berberis amurensis,,,,,,,,,,180,359,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0010,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アズマイチゲ,,Auemone raddeana,Anemone raddeana,,,,,,,,,187,372,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0011,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミヤマハハン,ミヤマハハソ,Meliosma tenuis,,,,,,,,,,198,394,2026-07-12,原PDF高解像度画像の種見出し「ミヤマハハソ Meliosma tenuis」を目視確認。和名末尾がOCR誤読。
wildplants-name-integrity-0012,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオベンケイソウ,,Hylotelephium speetabile,Hylotelephium spectabile,,,,,,,,,212,422,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0013,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,シラガブドウ,,Vitis shiragne,Vitis shiragae,,,,,,,,,218,435,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0014,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,エビスグサ,,Semna obtusifolia,Senna obtusifolia,ハマビシ科,マメ科,ZYGOPHYLLACEAE,FABACEAE,,,,,225,448,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0015,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤブマメ,,Amphiearpaea edgeworthii,Amphicarpaea edgeworthii,ハマビシ科,マメ科,ZYGOPHYLLACEAE,FABACEAE,,,,,226,450,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0016,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タイワンクメ,タイワンクズ,Pueraria montana,,,,,,,,,,238,475,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0017,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イプキノエンドウ,イブキノエンドウ,Vicia sepium,,,,,,,,,,241,481,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0018,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒロハクサフジ,,Vicia japoniea,Vicia japonica,ハマビシ科,マメ科,ZYGOPHYLLACEAE,FABACEAE,,,,,242,482,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0019,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アキニレ,,UImus parvifolia,Ulmus parvifolia,,,,,,,,,250,499,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0020,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カナムグラ,,Humulus seandens,Humulus scandens,,,,,,,,,252,502,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0021,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオイタビ,,Fieus pumila,Ficus pumila,アサ科,クワ科,CANNABACEAE,MORACEAE,,,,,254,506,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0022,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ホソバムクイヌビワ,,Fieus ampelas,Ficus ampelas,アサ科,クワ科,CANNABACEAE,MORACEAE,,,,,254,506,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0023,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アカン,アカソ,Boehmeria silvestrii,,,,,,,,,,256,511,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0024,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コアカン,コアカソ,Boehmeria spicata,,,,,,,,,,256,511,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0025,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオシマザクラ,,Cerasls speciosa,Cerasus speciosa,,,,,,,,,272,543,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0026,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アンズ,,Prunus armeninca,Prunus armeniaca,,,,,,,,,276,551,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0027,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナンキンナナカマド,,Sorbus graeilis,Sorbus gracilis,,,,,,,,,278,554,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0028,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イヌブナ,,Fagus japoniea,Fagus japonica,,,,,,,,,280,559,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0029,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,プナ,ブナ,Fagus crenata,,,,,,,,,,280,558,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0030,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ハナガガシ,,Quereus hondae,Quercus hondae,,,,,,,,,282,562,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0031,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,オオバヤシャプシ,オオバヤシャブシ,Alnus sieboldiana,,,,,,,,,,285,568,2026-07-12,和名と学名の組合せを機械照合して1文字誤読候補を抽出し、原PDF高解像度見出し画像で訂正後和名を目視確認。
wildplants-name-integrity-0032,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クマシデ,,Carpinus japoniea,Carpinus japonica,,,,,,,,,287,572,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
wildplants-name-integrity-0033,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アマチャヅル,,Gynostemma pentaplyllum,Gynostemma pentaphyllum,,,,,,,,,289,576,2026-07-12,和名を機械照合し、現行学名とYList学名の1文字差を候補化。原PDF高解像度見出し画像で訂正後学名を目視確認。
