audit_id,token,replacement,source,source_pdf_file,source_pdf_sha256,plant_name,pdf_page,printed_page,decision,reviewed_on,review_note
wildplants-ocr-token-001,吐略射列島,吐噶喇列島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マルバニッケイ,36,70,confirmed,2026-07-12,置換対応を代表原画像（冊子p.70・左頁、マルバニッケイ）で確認。原字「吐噶喇列島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-002,際半島,薩摩半島,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マルバニッケイ,36,70,confirmed,2026-07-12,置換対応を代表原画像（冊子p.70・左頁、マルバニッケイ）で確認。原字「薩摩半島」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-003,プナ帯,ブナ帯,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イナヒロハテンナンショウ,42,82,confirmed,2026-07-12,置換対応を代表原画像（冊子p.82・左頁、イナヒロハテンナンショウ）で確認。原字「ブナ帯」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-004,林緑,林縁,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イナヒロハテンナンショウ,42,82,confirmed,2026-07-12,置換対応を代表原画像（冊子p.82・左頁、イナヒロハテンナンショウ）で確認。原字「林縁」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-005,照楽勘林,照葉樹林,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナガバマムシグサ,42,83,confirmed,2026-07-12,置換対応を代表原画像（冊子p.83・右頁、ナガバマムシグサ）で確認。原字「照葉樹林」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-006,満に,溝に,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,コウキクサ,44,87,confirmed,2026-07-12,置換対応を代表原画像（冊子p.87・右頁、コウキクサ）で確認。原字「溝に」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-007,酉太平洋,西太平洋,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ウミショウブ,49,96,confirmed,2026-07-12,置換対応を代表原画像（冊子p.96・左頁、ウミショウブ）で確認。原字「西太平洋」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-008,熟帯,熱帯,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,トリゲモ,50,98,confirmed,2026-07-12,置換対応を代表原画像（冊子p.98・左頁、トリゲモ）で確認。原字「熱帯」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-009,洸水,沈水,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミズオオバコ,50,98,confirmed,2026-07-12,置換対応を代表原画像（冊子p.98・左頁、ミズオオバコ）で確認。原字「沈水」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-010,千潟,干潟,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,シバナ,51,100,confirmed,2026-07-12,置換対応を代表原画像（冊子p.100・左頁、シバナ）で確認。原字「干潟」の字形を確認した。公開文中の全出現を目視監査したものではない。
wildplants-ocr-token-011,寒器,寒帯,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,アマモ,52,102,confirmed,2026-07-12,置換対応を代表原画像（冊子p.102・左頁、アマモ）で確認。原字「寒帯」の字形を確認した。公開文中の全出現を目視監査したものではない。
