audit_id,audit_batch,volume,source_pdf_file,source_pdf_sha256,reviewed_on,plant_name,scientific_name,family,family_latin,genus_jp,genus_scientific,habit,height,flower_period,distribution,habitat,similar_taxa,distinguishing_features,printed_page,source,pdf_page,extraction_method,decision,remove_source_plant_name,review_note
wildplants-v1-opening-0001,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ソテツ,Cycas revoluta,ソテツ科,CYCADACEAE,ソテツ属,Cycas,常緑低木,,,宮崎県・鹿児島県に自生地がある,,,,33,日本の野生植物 第1巻,17,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0002,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,イチョウ,Ginkgo biloba var. biloba,イチョウ科,GINKGOACEAE,イチョウ属,Ginkgo,落葉高木,,4～5月,中国浙江省西天目山・重慶市金佛山に自生し、日本では野生しない,,,,34,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0003,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,ウラジロモミ,Abies homolepis,マツ科,PINACEAE,モミ属,Abies,常緑高木,30～40 m,,本州（三本槍岳から中部地方・紀伊半島）・四国,標高1000～2000 mの山地,,,35,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0004,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,トドマツ,Abies sachalinensis var. sachalinensis,マツ科,PINACEAE,モミ属,Abies,常緑高木,約25 m,,北海道・南千島・樺太・カムチャツカ,,,,35,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0005,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,モミ,Abies firma,マツ科,PINACEAE,モミ属,Abies,常緑高木,35～40 m,,本州（秋田県・岩手県以南）・四国・九州（屋久島まで）,,ウラジロモミ,ウラジロモミより低い山地に生える,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。比較文は生育環境欄から識別欄へ分離。
wildplants-v1-opening-0006,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,シラビソ,Abies veitchii var. veitchii,マツ科,PINACEAE,モミ属,Abies,常緑高木,約25 m,,本州（吾妻山以南の中部地方・紀伊半島）・四国,亜高山帯,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0007,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,オオシラビソ,Abies mariesii,マツ科,PINACEAE,モミ属,Abies,常緑高木,25～30 m,,本州（八甲田山から中部地方、福井県まで）,亜高山帯でトウヒ・コメツガ・シラビソなどと混生,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0008,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,カラマツ,Larix kaempferi,マツ科,PINACEAE,カラマツ属,Larix,落葉高木,約30 m,,本州中部を中心に、蔵王山・白山にも隔離分布,亜高山帯の日当たりのよい場所,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0009,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,エゾマツ,Picea jezoensis var. jezoensis,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,30～35 m,,南千島・北海道・早池峰山など,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
wildplants-v1-opening-0010,volume1_text_opening_accounts,1,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,2026-07-12,アカエゾマツ,Picea glehnii,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約40 m,,北海道・早池峰山・南千島・樺太,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約,include,,原画像の種見出しと本文境界を確認し、客観的事実のみ短く要約。主観・採集助言・不確かなOCRは除外。
