audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,field,before,intermediate_after,after,pdf_page,printed_page,corrected_plant_name,corrected_scientific_name,page_reference_action,decision,verification_method,similar_taxa,distinguishing_features,reviewed_on,review_note
wildplants-profile-integrity-v1-0001,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クスノキ,distribution,日本では本州・四国・九州・琉球の暖地に見られるが、九州以北のものは野生かどうかはわからない,,日本では本州・四国・九州・琉球の暖地に見られる,36,70,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF左頁の対象種本文を確認し、確実な国内出現範囲だけを採用して九州以北の自生性不明の記述を除外。
wildplants-profile-integrity-v1-0002,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マルバニッケイ,distribution,福岡県（大島）・長崎県（男女群島）・鹿児島県（大隅半島・際半島・屋久島・種子島・吐略射列島）・沖縄県（硫黄鳥島）に分布し、海岸の波蝕能上の街中に生育する,,福岡県（大島）・長崎県（男女群島）・鹿児島県（大隅半島・薩摩半島・屋久島・種子島・吐噶喇列島）・沖縄県（硫黄鳥島）に分布し、海岸の波蝕台上の樹叢中に生育する,36,70,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF左頁で対象種と欄境界を確認し、同欄の島名・生育地のOCR誤字をすべて修正。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「吐略射列島」を「吐噶喇列島」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。 原PDFの左右冊子頁へ再定位し、確定的なOCR誤読「際半島」を「薩摩半島」へ訂正。置換対応は別紙の代表原画像監査で確認し、分割OCRは位置決めにのみ使用。
wildplants-profile-integrity-v1-0003,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,マルバニッケイ,habitat,海岸の波蝕能上の街中に生育する,,海岸の波蝕台上の樹叢中に生育する,36,70,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF左頁で対象種と欄境界を確認し、生育地句のOCR誤字をすべて修正。
wildplants-profile-integrity-v1-0004,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クワズイモ,habitat,低地の常緑横林下に生え、全体の高さが1m以上になる多年草,,低地の常緑樹林下に生え、全体の高さが1 m以上になる多年草,39,77,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF右頁で対象種と欄境界を確認し、「横林」を「樹林」に修正。
wildplants-profile-integrity-v1-0005,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,イナヒロハテンナンショウ,habitat,山地プナ帯の林緑などに生え、高さ25-50cm,山地ブナ帯の林縁などに生え、高さ25-50cm,山地のブナ帯の林縁などに生える,42,82,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.82）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0006,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ミツバテンナンショウ,habitat,ミツバテンナンショウ Arisaema ternatipartitum Makino （PL76） おもに山地ブナ帯の林下で岩の多い斜面などに生える,,おもに山地ブナ帯の林下で岩の多い斜面などに生える,42,82,,,,replace,original_pdf_visual_review,,,2026-07-12,原PDF画像で対象種と欄境界を確認し、見出し・学名・図版番号を除去して客観的な本文だけを採用。
wildplants-profile-integrity-v1-0007,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カラフトヒロハテンナンショウ,habitat,林緑の笹やぶなどに生え、高さ17-50cm,林縁の笹やぶなどに生え、高さ17-50cm,林縁の笹原などに生える,42,83,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.83）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0008,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タカハシテンナンショウ,habitat,低山地の林下、林緑に生え、高さ 15～50cmに達する,低山地の林下、林縁に生え、高さ 15～50cmに達する,低山地の林下・林縁に生える,42,83,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.83）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0009,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナガバマムシグサ,habitat,ウワジマテンナンショウsubsp. uwajimense Tom. Kobay. et J. Murataは照楽勘林の林緑に生え、高さ 15-45cmに達する,ウワジマテンナンショウsubsp. uwajimense Tom. Kobay. et J. Murataは照葉樹林の林縁に生え、高さ 15-45cmに達する,山地の林下に生える,42,83,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.83）を目視確認し、habitat欄を生育環境だけの客観文に整形。
wildplants-profile-integrity-v1-0010,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ナギヒロハテンナンショウ,habitat,山地林緑の笹原などに生え、高さ10-40cm,山地林縁の笹原などに生え、高さ10-40cm,山地の林縁の笹原などに生える,42,83,,,,replace,original_pdf_full_field_visual_review,,,2026-07-12,対象種欄全体を原PDF画像で目視確認。原PDF画像の対象種本文（PDF p.42・冊子p.83）を目視確認し、habitat欄を生育環境だけの客観文に整形。
