audit_id,source,source_pdf_file,source_pdf_sha256,plant_name,audit_category,current_value,reference_value,decision,verified_value,pdf_page,printed_page,reviewed_on,verification_method,review_note
wildplants-taxonomy-followup-0001,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,スエヒロアオイ,plant_name_not_supported_by_ocr_page,スエヒロアオイ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,スエヒロアオイ,32,63,2026-07-12,original_pdf_visual_review,原PDF p32（冊子p63）の種見出し「スエヒロアオイ Asarum dilatatum」を目視確認。現行の和名・学名を支持する。
wildplants-taxonomy-followup-0002,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,スエヒロアオイ,scientific_name_not_supported_by_ocr_page,Asarum dilatatum,Scientific name should be exact or close to cached OCR text,keep_source,Asarum dilatatum,32,63,2026-07-12,original_pdf_visual_review,原PDF p32（冊子p63）の種見出し「スエヒロアオイ Asarum dilatatum」を目視確認。現行の和名・学名を支持する。
wildplants-taxonomy-followup-0003,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タムシバ,plant_name_not_supported_by_ocr_page,タムシバ,Plant name or known OCR-correction variant should appear on the cited page,keep_source,タムシバ,33,65,2026-07-12,original_pdf_visual_review,原PDF p33（冊子p65）の種見出し「タムシバ Magnolia salicifolia」を目視確認。現行の和名を支持する。
wildplants-taxonomy-followup-0004,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タイサンボク,possible_ocr_latin_typo_against_ylist,Magnolia grandilora,Magnolia grandiflora,correct_ocr,Magnolia grandiflora,34,66,2026-07-12,original_pdf_visual_review,PDF p.34（冊子p.66、左頁）の種見出しを原画像で目視し「Magnolia grandiflora」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0005,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,スナヅル,possible_ocr_latin_typo_against_ylist,Cassytha fliformnis,Cassytha filiformis,correct_ocr,Cassytha filiformis var. filiformis,35,69,2026-07-12,original_pdf_visual_review,PDF p.35（冊子p.69、右頁）の種見出しを原画像で目視し「Cassytha filiformis var. filiformis」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0006,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,クワズイモ,possible_ocr_latin_typo_against_ylist,Alocasia odora,Alocasia odorum,keep_source,Alocasia odora,39,77,2026-07-12,original_pdf_visual_review,PDF p.39（冊子p.77、右頁）の種見出しを原画像で目視し「Alocasia odora」と確認。現行scientific_nameは原本どおりなので維持。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0007,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヒルムシロ,possible_ocr_latin_typo_against_ylist,Potamogeton distinetus,Potamogeton distinctus,correct_ocr,Potamogeton distinctus,53,105,2026-07-12,original_pdf_visual_review,PDF p.53（冊子p.105、右頁）の種見出しを原画像で目視し「Potamogeton distinctus」と確認。現行scientific_nameはOCR文字誤り。 genus欄も同じ属見出しに合わせる必要がある。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0008,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,カエデドコロ,possible_ocr_latin_typo_against_ylist,Dioscorea quinguelobata,Dioscorea quinquelobata,correct_ocr,Dioscorea quinquelobata,59,116,2026-07-12,original_pdf_visual_review,PDF p.59（冊子p.116、左頁）の種見出しを原画像で目視し「Dioscorea quinquelobata」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0009,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,タチドコロ,possible_ocr_latin_typo_against_ylist,Dioseorea gracillima,Dioscorea gracillima,correct_ocr,Dioscorea gracillima,59,116,2026-07-12,original_pdf_visual_review,PDF p.59（冊子p.116、左頁）の種見出しを原画像で目視し「Dioscorea gracillima」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
wildplants-taxonomy-followup-0010,日本の野生植物 第1巻,日本の野生植物 1- ソテツ科～コミカンソウ科.pdf,bcdcd5ac593747d6d58321d4a696ec96fb963233541af2a4666c4a1fbd1d4fb1,ヤマノイモ,possible_ocr_latin_typo_against_ylist,Dioseorea japonica,Dioscorea japonica,correct_ocr,Dioscorea japonica,59,116,2026-07-12,original_pdf_visual_review,PDF p.59（冊子p.116、左頁）の種見出しを原画像で目視し「Dioscorea japonica」と確認。現行scientific_nameはOCR文字誤り。 独立した2回の原PDF画像照合で一致した。
