audit_id,candidate_id,action,record_id,insect_id,source_japanese_name,source_scientific_name,current_japanese_name,current_scientific_name,taxon_scope,candidate_plant_name,source_plant_taxon,approved_plant_name,approved_plant_family,approved_observation_type,approved_plant_part,approved_life_stage,approved_reference,approved_notes,expected_plant_name,expected_plant_family,expected_observation_type,expected_plant_part,expected_life_stage,expected_reference,expected_notes,source_pdf_file,source_pdf_sha256,pdf_page,printed_page,evidence,decision,reviewed_on,review_note
OK23-01-01,ok23-01,add_host_relation,host-ok23-20260711-0001,species-2841,クロフフタモンマダラメイガ,Euzophera batangensis Caradja,フタモンマダラメイガ,"Euzophera batangensis Caradja, 1939",source_species_exact_current_species,クリ,クリ（Castanea crenata）のいが,クリ,ブナ科,野外（国内）,いが,幼虫,井上寛 (1980),クリのいがから得た幼虫を飼育し、成虫を確認,,,,,,,,ga-tsushin/jhj106.pdf,2af63f3ba94bba9c588ea29f40cae2e6026148cc4a516767ec168439048670ad,8,90,クリのいが由来幼虫を飼育して成虫を確認。,include_direct_larval_host,2026-07-11,原PDF本文と現在の同一種学名を照合。旧和名は現行データの別名。
OK23-02-01,ok23-02,enrich_existing_relation,hostplant-001550,species-4185,マエモンウスグロオオナミシャク,Triphosa sericata sericata Butler,マエモンオオナミシャク,"Triphosa sericata (Butler, 1879)",source_nominotypical_subspecies_within_current_species_account,クロウメモドキ,クロウメモドキ,クロウメモドキ,クロウメモドキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1; 飯島一雄 (1980),"",クロウメモドキ,クロウメモドキ科,文献,葉,幼虫,日本産蛾類標準図鑑1,,ga-tsushin/jhj109.pdf,124e955d81baf7c4ade1df2d2791684843ec32f9988842f3f6ce045016674ce8,7,137,6月にクロウメモドキを摂食する幼虫多数を採集。,include_direct_larval_host_merge_existing,2026-07-11,原PDFは基亜種名。現行サイトが種単位のため当該種アカウントへ限定統合。
OK23-03-01,ok23-03,add_host_relation,host-ok23-20260711-0002,species-0961,フタテンヒロバキバガ,Odites xenophaea Meyrick,フタテンハビロキバガ,"Scythropiodes malivora (Meyrick, 1930)",historical_name_exact_current_alias,オヒョウ,Ulmus laciniata,オヒョウ,ニレ科,野外（国内）,葉,幼虫,富樫一次 (1982),葉を巻いて内部を食害した幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj115.pdf,edef6b0f7e6b419fbb1923194bce279ed59321527b48fa0355dd1f19c5b33d45,12,240,オヒョウの葉内で食害中の幼虫を採集し飼育羽化。,include_direct_larval_host,2026-07-11,候補OCRのtenophaeaは誤読。原PDFのxenophaeaと旧和名を現行データの別名に照合。
OK23-04-01,ok23-04,add_host_relation,host-ok23-20260711-0003,species-5867,ビロードコヤガ,Anterastria atrata (Butler),ビロードキリガ,"Anterastria atrata (Butler, 1881)",source_species_exact_current_species,ナギナタコウジュ,Elsholtzia ciliata,ナギナタコウジュ,シソ科,野外（国内）,葉,幼虫,小木広行 (1984),野外の葉から幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj125.pdf,b29e1c63c46d0950bde81e02cfc5bd8f142cc6172f58ae1d4a7b5978582a2d6f,14,406,ナギナタコウジュだけから幼虫を継続確認し飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの学名は現行種と一致し、旧和名は現行データの別名。
OK23-05-01,ok23-05,add_host_relation,host-ok23-20260711-0004,species-2218,ネグロシロマダラヒメハマキ,Gypsonoma distincta Kuznetzov,ネグロヒメハマキ,"Gypsonoma dealbana (Frölich, 1828)",historical_species_name_exact_current_alias,カワラハンノキ,Alnus serrulatoides,カワラハンノキ,カバノキ科,野外（国内）,新芽,幼虫,富樫一次 (1983),新芽内部を食害する幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj120.pdf,a5bb9471e06bc3a073e404659f51be6474d7047c337b7de94086781ebba74da8,3,315,新芽内部を摂食する幼虫を採集し飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの旧和名を現行データの別名へ照合し、同一の現行種アカウントに限定。
OK23-06-01,ok23-06,add_host_relation,host-ok23-20260711-0005,species-6000,クシヒゲウスキョトウ,Ctenostola sparganoides (Bang-Haas),クシヒゲウスキヨトウ,"Ctenostola sparganoides (Bang-Haas, 1927)",source_species_exact_current_species,スゲ属,Carex sp.,スゲ属,カヤツリグサ科,野外（国内）,茎,幼虫,鳥倉英徳 (1985),Carex sp.の茎の髄を食べて成長した幼虫,,,,,,,,ga-tsushin/jhj131.pdf,5c67209a57db060f121f107c4e37a7588c5711839735e52e24d882655e56c3ed,7;8,87;88,Carex sp.の茎内で採集し、髄を食べて成長。,include_direct_larval_host,2026-07-11,原PDFの学名は現行種と一致。Carexはカヤツリグサではなくスゲ属として正規化。
OK23-07-01,ok23-07,add_host_relation,host-ok23-20260711-0006,species-5867,ビロードコヤガ,Anterastria atrata (Butler),ビロードキリガ,"Anterastria atrata (Butler, 1881)",source_species_exact_current_species,ハッカ,Mentha arvensis var. piperascens,ハッカ,シソ科,野外（国内）,,幼虫,鳥倉英徳 (1985),ハッカ畑で採集した幼虫を飼育し、成虫を確認,,,,,,,,ga-tsushin/jhj131.pdf,5c67209a57db060f121f107c4e37a7588c5711839735e52e24d882655e56c3ed,8,88,ハッカ由来幼虫を飼育し羽化を確認。,include_direct_larval_host,2026-07-11,原PDFの学名は現行種と一致し、旧和名は現行データの別名。
OK23-08-01,ok23-08,add_host_relation,host-ok23-20260711-0007,species-20653,フタオビキョトウ,Mythimna turca (Linnaeus),フタオビキヨトウ,"Mythimna turca (Linnaeus, 1761)",source_species_exact_current_species,ビロードスゲ,Carex fedia var. miyabei,ビロードスゲ,カヤツリグサ科,野外（国内）,,幼虫,小木広行 (1985),食草の根際で幼虫を採集し、飼育羽化,,,,,,,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,11,123,ビロードスゲの根際で幼虫を採集し飼育羽化。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-08-02,ok23-08,add_host_relation,host-ok23-20260711-0008,species-20653,フタオビキョトウ,Mythimna turca (Linnaeus),フタオビキヨトウ,"Mythimna turca (Linnaeus, 1761)",source_species_exact_current_species,カワラスゲ,Carex incisa,カワラスゲ,カヤツリグサ科,野外（国内）,,幼虫,小木広行 (1985),幼虫を野外で確認した食草,,,,,,,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,11,123,原PDFの食草欄にカワラスゲを明記。,include_direct_larval_host,2026-07-11,原PDFの学名を現行種へ直接照合。
OK23-09-01,ok23-09,enrich_existing_relation,hostplant-PDFAUDIT-20260710-0060,species-20656,ナガフタオビキョトウ,Mythimna divergens Butler,ナガフタオビキヨトウ,"Mythimna divergens Butler, 1878",source_species_exact_current_species,ビロードスゲ,Carex fedia var. miyabei,ビロードスゲ,カヤツリグサ科,野外（国内）,,幼虫,日本産蛾類標準図鑑2; 小木広行 (1985),"",ビロードスゲ,カヤツリグサ科,文献,,幼虫,日本産蛾類標準図鑑2,,ga-tsushin/jhj133.pdf,a713ce3d8641e68602c24fe6d30ef17fa5826ed520e4b71f0a4368cd175e4395,11,123,ビロードスゲの根際で幼虫を採集し飼育羽化。,include_direct_larval_host_merge_existing,2026-07-11,原PDFの学名を現行種へ直接照合。
