昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,その他の和名_1,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,データソース,備考
catalog-1,蛾類,1,Micropterigidae,コバネガ科,,,,,,,Micropterix,,aureatella,,,,,モンフタオビコバネ,,,,,,"Micropterix aureatella (Scopoli, 1763)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-3,蛾類,3,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,immaculatella,,,,,ムモンコバネ,,,,,,"Paramartyria immaculatella Issiki, 1931",マキノゴケ（マキノゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-2,蛾類,2,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,semifasciella,,,,,マエモンコバネ,,,,,,"Paramartyria semifasciella Issiki, 1931",マキノゴケ（マキノゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,オオウロコゴケ（ウロコゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0001,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,hyperborea,,,,,ツガルイッシキコバネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0002,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,leptobelos,,,,,シラカミイッシキコバネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0003,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,catapasta,,,,,アニイッシキコバネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0004,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,trochos,,,,,ワガイッシキコバネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-9,蛾類,9,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,nudata,,,,,シロウマズアカヒロコバネ,,,,,,"Issikiomartyria nudata (Issiki, 1953)",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0005,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,akemiae,,,,,ヒメズアカヒロコバネ,,,,,,"Issikiomartyria akemiae Hashimoto, 2006",ジャゴケ（ジャゴケ科）と推測される,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0006,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,plicata,,,,,ニセヒメズアカヒロコバネ,,,,,,"Issikiomartyria plicata Hashimoto, 2006",ジャゴケ（ジャゴケ科）と推測される,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
