name,family_jp,family_en,source
アイアシ,イネ科,Poaceae,ylist
ホソバアイアシ,イネ科,Poaceae,ylist:alias
アイアスカイノデ,オシダ科,Dryopteridaceae,ylist
アイイズハナワラビ,ハナヤスリ科,Ophioglossaceae,ylist
アイイヌタマシダ,オシダ科,Dryopteridaceae,ylist
アイオオカグマ,シシガシラ科,Blechnaceae,ylist
アイカタイノデ,オシダ科,Dryopteridaceae,ylist
アイグロマツ,マツ科,Pinaceae,ylist
アカクロマツ (Uyeki 1953),マツ科,Pinaceae,ylist:alias
アイズシモツケ,バラ科,Rosaceae,ylist
アイヅシモツケ,バラ科,Rosaceae,ylist:alias
アイズヒメアザミ,キク科,Asteraceae,ylist
アイヅヒメアザミ,キク科,Asteraceae,ylist:alias
アイツヤナシイノデ,オシダ科,Dryopteridaceae,ylist
アイナエ,マチン科,Loganiaceae,ylist
アイナシ,バラ科,Rosaceae,ylist
アイヌソモソモ,イネ科,Poaceae,ylist
アイノコクマワラビ,オシダ科,Dryopteridaceae,ylist
アイホソイノデ,オシダ科,Dryopteridaceae,ylist
アオイゴケ,ヒルガオ科,Convolvulaceae,ylist
アオイスミレ,スミレ科,Violaceae,ylist
アオイマメ,マメ科,Fabaceae,ylist
ライマビーン，ライマメ，ライママメ,マメ科,Fabaceae,ylist:alias
アオウキクサ,サトイモ科,Araceae,ylist
アオガシ,クスノキ科,Lauraceae,ylist
ホソバタブ,クスノキ科,Lauraceae,ylist:alias
アオカズラ,アワブキ科,Sabiaceae,ylist
アオガヤツリ,カヤツリグサ科,Cyperaceae,ylist
オオタマガヤツリ,カヤツリグサ科,Cyperaceae,ylist:alias
アオガンピ,ジンチョウゲ科,Thymelaeaceae,ylist
オキナワガンピ,ジンチョウゲ科,Thymelaeaceae,ylist:alias
アオキ,アオキ科,Aucubaceae,ylist
ヒロハノアオキ,アオキ科,Aucubaceae,ylist:alias
アオギリ,アオイ科,Malvaceae,ylist
ケナシアオギリ,アオイ科,Malvaceae,ylist:alias
アオゲイトウ,ヒユ科,Amaranthaceae,ylist
アオビユ (Matsumura 1895),ヒユ科,Amaranthaceae,ylist:alias
アオコウガイゼキショウ,イグサ科,Juncaceae,ylist
ホソバノコウガイゼキショウ，ホソバノコウガイ,イグサ科,Juncaceae,ylist:alias
アオコウツギ,アジサイ科,Hydrangeaceae,ylist
アオヤシャクナゲ,ツツジ科,Ericaceae,ylist
アオシャクナゲ,ツツジ科,Ericaceae,ylist:alias
アオタチカモメヅル,キョウチクトウ科,Apocynaceae,ylist
アオダモ,モクセイ科,Oleaceae,ylist
コバノトネリコ,モクセイ科,Oleaceae,ylist:alias
アオチドリ,ラン科,Orchidaceae,ylist
ネムロチドリ，タカネアオチドリ，チシマアオチドリ,ラン科,Orchidaceae,ylist:alias
アオツヅラフジ,ツヅラフジ科,Menispermaceae,ylist
カミエビ,ツヅラフジ科,Menispermaceae,ylist:alias
アオツリバナ,ニシキギ科,Celastraceae,ylist
アオテンツキ,カヤツリグサ科,Cyperaceae,ylist
アオトドマツ,マツ科,Pinaceae,ylist
アオナシ,バラ科,Rosaceae,ylist
アオナラ,ブナ科,Fagaceae,ylist
アオナラガシワ,ブナ科,Fagaceae,ylist
アオミズナラ,ブナ科,Fagaceae,ylist:alias
アオナワシロイチゴ,バラ科,Rosaceae,ylist
アオネザサ,イネ科,Poaceae,ylist
トヨオカザサ，シラカワザサ,イネ科,Poaceae,ylist:alias
アオノイワレンゲ,ベンケイソウ科,Crassulaceae,ylist
コイワレンゲ,ベンケイソウ科,Crassulaceae,ylist:alias
アオノクマタケラン,ショウガ科,Zingiberaceae,ylist
アオノツガザクラ,ツツジ科,Ericaceae,ylist
アオハコベ,ナデシコ科,Caryophyllaceae,ylist
アオバスゲ,カヤツリグサ科,Cyperaceae,ylist
アオハダ,モチノキ科,Aquifoliaceae,ylist
マルバウメモドキ，ホソバアオハダ,モチノキ科,Aquifoliaceae,ylist:alias
アオバノキ,ハイノキ科,Symplocaceae,ylist
カンコウハイノキ,ハイノキ科,Symplocaceae,ylist:alias
アオヒエスゲ,カヤツリグサ科,Cyperaceae,ylist
ナンカイスゲ,カヤツリグサ科,Cyperaceae,ylist:alias
アオヒメウツギ,アジサイ科,Hydrangeaceae,ylist
ホナガイヌビユ,ヒユ科,Amaranthaceae,ylist
アオビユ,ヒユ科,Amaranthaceae,ylist:alias
アオベンケイ,ベンケイソウ科,Crassulaceae,ylist
アオベンケイソウ,ベンケイソウ科,Crassulaceae,ylist:alias
アオミズ,イラクサ科,Urticaceae,ylist
アオミノクロウメモドキ,クロウメモドキ科,Rhamnaceae,ylist
アオモジ,クスノキ科,Lauraceae,ylist
タイワンクロモジ,クスノキ科,Lauraceae,ylist:alias
アオモリマンテマ,ナデシコ科,Caryophyllaceae,ylist
アオヤギソウ,シュロソウ科,Melanthiaceae,ylist
ヒロハアオヤギソウ,シュロソウ科,Melanthiaceae,ylist:alias
アカエゾマツ,マツ科,Pinaceae,ylist
アカガシ,ブナ科,Fagaceae,ylist
アツバアカガシ，オオアカガシ，キクアカガシ，ヒメアカガシ,ブナ科,Fagaceae,ylist:alias
アカカンバ,カバノキ科,Betulaceae,ylist
ナンタイカンバ,カバノキ科,Betulaceae,ylist:alias
アカギ,コミカンソウ科,Phyllanthaceae,ylist
アカギモドキ,ムクロジ科,Sapindaceae,ylist
アカザ,ヒユ科,Amaranthaceae,ylist
アカササゲ,マメ科,Fabaceae,ylist
アカジクヘビノボラズ,メギ科,Berberidaceae,ylist
マルバヘビノボラズ,メギ科,Berberidaceae,ylist:alias
アカシデ,カバノキ科,Betulaceae,ylist
コシデ，シデノキ，ソロノキ，コソロ,カバノキ科,Betulaceae,ylist:alias
アカスゲ,カヤツリグサ科,Cyperaceae,ylist
アカソ,イラクサ科,Urticaceae,ylist
アカトドマツ,マツ科,Pinaceae,ylist
ネムロトドマツ,マツ科,Pinaceae,ylist:alias
エゾシラビソ,マツ科,Pinaceae,ylist:alias
アカネ,アカネ科,Rubiaceae,ylist
アカネスゲ,カヤツリグサ科,Cyperaceae,ylist
アカネスミレ,スミレ科,Violaceae,ylist
ウスアカネスミレ,スミレ科,Violaceae,ylist:alias
アカネハナワラビ,ハナヤスリ科,Ophioglossaceae,ylist
アカバグミ,グミ科,Elaeagnaceae,ylist
オオバツルグミ,グミ科,Elaeagnaceae,ylist:alias
アカハダクスノキ,クスノキ科,Lauraceae,ylist
アカハダコバンノキ,コミカンソウ科,Phyllanthaceae,ylist
アカハダノキ,マメ科,Fabaceae,ylist
タマザキゴウカン,マメ科,Fabaceae,ylist:alias
アカバナ,アカバナ科,Onagraceae,ylist
アカバナムシヨケギク,キク科,Asteraceae,ylist
アカハナワラビ,ハナヤスリ科,Ophioglossaceae,ylist
アカフユノハナワラビ,ハナヤスリ科,Ophioglossaceae,ylist
アカマツ,マツ科,Pinaceae,ylist
メマツ，ミツバアカマツ,マツ科,Pinaceae,ylist:alias
アカミズキ,アカネ科,Rubiaceae,ylist
アカミミズキ，アカミミズ,アカネ科,Rubiaceae,ylist:alias
アカミタンポポ,キク科,Asteraceae,ylist
キレハアカミタンポポ,キク科,Asteraceae,ylist:alias
アカミノイヌツゲ,モチノキ科,Aquifoliaceae,ylist
ミヤマクロソヨゴ,モチノキ科,Aquifoliaceae,ylist:alias
アカミノモクタチバナ,サクラソウ科,Primulaceae,ylist
アカミヤドリギ,ビャクダン科,Santalaceae,ylist
アカメイヌビワ,クワ科,Moraceae,ylist
アカメガシワ,トウダイグサ科,Euphorbiaceae,ylist
ゴサイバ,トウダイグサ科,Euphorbiaceae,ylist:alias
アカモノ,ツツジ科,Ericaceae,ylist
イワハゼ,ツツジ科,Ericaceae,ylist:alias
アカヤシオ,ツツジ科,Ericaceae,ylist
アカギツツジ,ツツジ科,Ericaceae,ylist:alias
アカンスゲ,カヤツリグサ科,Cyperaceae,ylist
アキウネマガリ,イネ科,Poaceae,ylist
アキカサスゲ,カヤツリグサ科,Cyperaceae,ylist
アキカラマツ,キンポウゲ科,Ranunculaceae,ylist
ヒロハノアキカラマツ,キンポウゲ科,Ranunculaceae,ylist:alias
アキギリ,シソ科,Lamiaceae,ylist
ミヤマアキギリ (Makino 1907: 33),シソ科,Lamiaceae,ylist:alias
オオアキギリ,シソ科,Lamiaceae,ylist:alias
アキグミ,グミ科,Elaeagnaceae,ylist
アキチョウジ,シソ科,Lamiaceae,ylist
アギナシ,オモダカ科,Alismataceae,ylist
アキニレ,ニレ科,Ulmaceae,ylist
ウナギツカミ,タデ科,Polygonaceae,ylist
