note_id,insect_id,type,content,reference,page,notes
note-000001,species-0231,生態情報,含水率の高い新鮮なものを好む。；また幼虫はヒトクチタケの寄主であるアカマツ（マツ科）の樹皮下から子実体へむかって穿孔することが多い,日本産蛾類標準図鑑3,,
note-000002,species-3624,生態情報,飼育条件下ではツルフジバカマ;クサフジ;ヤハズエンドウなどマメ科植物で飼育に成功している。野外では未確認。国外ではヨーロッパや中国でもマメ科につくことが知られる,日本産蛾類標準図鑑1,,
note-000003,species-4016,生態情報,国外では;カモメヅル属 (キョウチクトウ科) の記録があり;ヨーロッパでは各種の樹木;草本につくという,日本産蛾類標準図鑑1,,
note-000004,species-4436,生態情報,飼育ではコハウチワカエデ（ムクロジ科）;ミズナラ（以上ブナ科）で育つことが判明した。国外では;ヤナギ科やバラ科の植物を食すことが知られている,日本産蛾類標準図鑑1,,
note-000005,species-4606,生態情報,広食性;国外ではバラ科;マメ科;ミカン科;ツバキ科。台湾ではリュウガン;レイシ (ムクロジ科);チャノキ(ツバキ科)の害虫,日本産蛾類標準図鑑2,,
note-000006,species-5376,生態情報,世界的にはワタの害虫として著名だが、日本ではワタの害虫として注目されることはなく、ムクゲ、オクラ、ハイビスカス、フヨウ、ローゼルなどの植栽種を食している。ハイビスカスはアオイ科フヨウ属 (Hibiscus) の植物で、フヨウやローゼルと同属である,日本産蛾類標準図鑑2,,
note-000007,species-5480,生態情報,国外では;パプアニューギニア島でコウエンポク (マメ科);タイではランブータン(ムクロジ科)に大食害を与えることが知られる,日本産蛾類標準図鑑2,,
note-000008,species-5521,生態情報,国外では;アカシア;ネムノキ(以上マメ科)が知られ;ハワイでは;時にキンキジュ (マメ科)に大きな被害を与えることが知られる,日本産蛾類標準図鑑2,,
note-000009,species-5583,生態情報,広食性;ヨーロッパではセイヨウイラクサ(イラクサ科);クレマチス (キンポウゲ科);トウダイグサ科;カワラボウフウ(セリ科);ヒメオドリコソウ (シソ科),日本産蛾類標準図鑑2,,
note-000010,species-5592,生態情報,広食性;ヨーロッパではセイヨウイラクサなどのイラクサ科;オランダイチゴ属;オドリコソウなどのヒメオドリコソウ属;ハナハッカ;ハッカ属;ニガハッカ属;イヌゴマ属 (以上シソ科),日本産蛾類標準図鑑2,,
note-000011,species-5605,生態情報,国外では;寄主植物はオオバコ (オオバコ科);アブラナ科;また;おそらくイラクサ(イラクサ科),日本産蛾類標準図鑑2,,
note-000012,species-10001,生態情報,成虫はハマボウの花弁を後食する。,日本産タマムシ大図鑑,,1895
note-000012-E01,species-10001,出現時期,アデクから羽化脱出した記録あり。,日本産タマムシ大図鑑,,1895
note-000014,species-10002,生態情報,成虫はモモなどを後食する。本来の分布は中国大陸で、人為的に分布が拡大した外来種の可能性が推察される。,日本産タマムシ大図鑑,,1867
note-000015,species-10002,出現時期,5~6月,日本産タマムシ大図鑑,,1867
note-000016-E01,species-10003,出現時期,沖縄島ではマルバニッケイの枯れ枝から羽化。,日本産タマムシ大図鑑,,1972
note-000017,species-10003,出現時期,4月上旬~6月上旬,日本産タマムシ大図鑑,,1972
note-000018,species-10004,生態情報,幼虫はクワ科イチジク属植物の潜葉虫として葉裏に潜り込み、内部組織を食害する。,日本産タマムシ大図鑑,,1873
note-000019,species-10004,出現時期,3~6月,日本産タマムシ大図鑑,,1873
note-000020,species-10005,生態情報,北大東島の固有種。,日本産タマムシ大図鑑,,1985
note-000020-E01,species-10005,出現時期,オオイタビの葉より成虫を羽化脱出させた記録あり。,日本産タマムシ大図鑑,,1985
note-000021,species-10005,出現時期,3~6月頃 (秋期に発生している可能性もあり),日本産タマムシ大図鑑,,1985
note-000022,species-10008,生態情報,成虫はムニンエノキに集まる。,日本産タマムシ大図鑑,,1890
note-000023,species-10008,出現時期,6~8月,日本産タマムシ大図鑑,,1890
note-000024,species-10009,生態情報,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,日本産タマムシ大図鑑,,1837
note-000025,species-10009,出現時期,5~8月,日本産タマムシ大図鑑,,1837
note-000026,species-10010,生態情報,タブノキやモモタマナなどを食害する。,日本産タマムシ大図鑑,,1873
