record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
hostplant-000001,species-0002,マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000003,species-0003,オオウロコゴケ,ウロコゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000002,species-0003,マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000004,species-0008,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000005,species-0009,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000006,species-0010,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000007,species-0011,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000008,species-0012,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000009,species-0015,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000010,species-0016,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000011,species-0017,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000012,species-0018,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000013,species-0019,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000014,species-0020,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000015,species-0021,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000016,species-0022,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000017,species-0023,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000018,species-0024,ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000019,species-0025,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000020,species-0026,ウラジロノキ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,可能性が高い
hostplant-000021,species-0027,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000022,species-0028,ケヤマハンノキ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000023,species-0028,ハンノキ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000024,species-0028,ハンノキ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,タニガワハンノキなど
hostplant-000026,species-0029,ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000025,species-0029,ミズメ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000027,species-0030,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000028,species-0031,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000029,species-0032,アカシデ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000030,species-0032,イヌシデ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
hostplant-000031,species-0032,サワシバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
