profile_id,plant_name,scientific_name,family,family_latin,genus_jp,genus_scientific,habit,height,flower_period,distribution,habitat,similar_taxa,distinguishing_features,printed_page,source,page,extraction_method
plant-profile-000001,ソテツ,Cycas revoluta,ソテツ科,CYCADACEAE,ソテツ属,Cycas,常緑低木,,,宮崎県・鹿児島県に自生地がある,,,,33,日本の野生植物 第1巻,17,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000002,イチョウ,Ginkgo biloba var. biloba,イチョウ科,GINKGOACEAE,イチョウ属,Ginkgo,落葉高木,,4～5月,中国浙江省西天目山・重慶市金佛山に自生し、日本では野生しない,,,,34,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000003,ウラジロモミ,Abies homolepis,マツ科,PINACEAE,モミ属,Abies,常緑高木,30～40 m,,本州（三本槍岳から中部地方・紀伊半島）・四国,標高1000～2000 mの山地,,,35,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000004,トドマツ,Abies sachalinensis var. sachalinensis,マツ科,PINACEAE,モミ属,Abies,常緑高木,約25 m,,北海道・南千島・樺太・カムチャツカ,,,,35,日本の野生植物 第1巻,18,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000005,オオシラビソ,Abies mariesii,マツ科,PINACEAE,モミ属,Abies,常緑高木,25～30 m,,本州（八甲田山から中部地方、福井県まで）,亜高山帯でトウヒ・コメツガ・シラビソなどと混生,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000006,カラマツ,Larix kaempferi,マツ科,PINACEAE,カラマツ属,Larix,落葉高木,約30 m,,本州中部を中心に、蔵王山・白山にも隔離分布,亜高山帯の日当たりのよい場所,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000007,シラビソ,Abies veitchii var. veitchii,マツ科,PINACEAE,モミ属,Abies,常緑高木,約25 m,,本州（吾妻山以南の中部地方・紀伊半島）・四国,亜高山帯,,,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000008,モミ,Abies firma,マツ科,PINACEAE,モミ属,Abies,常緑高木,35～40 m,,本州（秋田県・岩手県以南）・四国・九州（屋久島まで）,,ウラジロモミ,ウラジロモミより低い山地に生える,36,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000009,アカエゾマツ,Picea glehnii,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約40 m,,北海道・早池峰山・南千島・樺太,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000010,イラモミ,Picea alcoquiana,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約30 m,,本州（福島県以南から岐阜県東部）,亜高山帯,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000011,エゾマツ,Picea jezoensis var. jezoensis,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,30～35 m,,南千島・北海道・早池峰山など,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
plant-profile-000012,ハリモミ,Picea torano,マツ科,PINACEAE,トウヒ属,Picea,常緑高木,約30 m,,本州（福島県以南）・四国・九州,,,,37,日本の野生植物 第1巻,19,原PDF画像目視確認＋macOS Vision OCR補助＋手動要約
