catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
1,1,Corthylini,Pityophthorina,Pityophthorus,,arakii,,Sawamoto,1942,アラキサエダキクイムシ,"Pityophthorus arakii (Sawamoto, 1942)",HOK,,
2,2,Corthylini,Pityophthorina,Pityophthorus,,jucundus,,Blandford,1894,トウヒノヒメキクイムシ,"Pityophthorus jucundus Blandford, 1894","HON, Iz-My, SHI, KYU","Sakhalin, Korea, China(northeast)",
3,3,Cryphalini,,Cosmoderes,,attenuatus,,Nobuchi,1981,ツルノコキクイムシ,"Cosmoderes attenuatus (Nobuchi, 1981)","HON, KYU, NOs","Taiwan, Oriental Region","Pseudocosmoderes attenuatus Nobuchi, 1981"
4,4,Cryphalini,,Cosmoderes,,consobrinus,,Blandford,1894,ホソコキクイムシ,"Cosmoderes consobrinus Blandford, 1894","HON, SHI",Taiwan,
5,5,Cryphalini,,Cryphalus,,abbreviatus,,Schedl,1943,ガジュマルノコキクイムシ,"Cryphalus abbreviatus Schedl, 1943","HON, Okn, Yon",Philippines,
6,6,Cryphalini,,Cryphalus,,aquilonius,,Nobuchi,1975,サワシバノコキクイムシ,"Cryphalus aquilonius (Nobuchi, 1975)",HOK,,
7,7,Cryphalini,,Cryphalus,,asperatus,,Gyllenhal,1813,モミノコキクイムシ,"Cryphalus asperatus (Gyllenhal, 1813)","HOK, HON","Russian Far East, China, Siberia, Turkey, Europe, North Africa","Cryphalus abietis (Ratzeburg, 1837)"
8,8,Cryphalini,,Cryphalus,,babai,,Murayama,1961,ババコキクイムシ,"Cryphalus babai Murayama, 1961",HON,,
9,9,Cryphalini,,Cryphalus,,bicarinatus,,Nobuchi,1975,フタスジコキクイムシ,"Cryphalus bicarinatus (Nobuchi, 1975)",KYU,,
10,10,Cryphalini,,Cryphalus,,carpini,,Berger,1917,シデノコキクイムシ,"Cryphalus carpini Berger, 1917",HON,"Russian Far East, Korea",
11,11,Cryphalini,,Cryphalus,,chamaecipariae,,Niijima,1910,ヒノキノコキクイムシ,"Cryphalus chamaecipariae Niijima, 1910",HON,,"Hypothenemus chamaecypariae Niijima, 1910"
12,12,Cryphalini,,Cryphalus,,constrictus,,Schedl,1942,,"Cryphalus constrictus Schedl, 1942",Ryukyu,,"Hypocryphalus perminimus (Schedl, 1942); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
