大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,出典,備考,成虫出現時期,成虫出現時期出典,成虫出現時期備考,幼虫期,幼虫期に関する備考
10001,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,フナガタタマムシ族,,,,Acmaeodera,,luzonica,,luzonica Nonfried,1895,,キボシフナガタタマムシ,,,,,,,"Acmaeodera (Cobosiella) luzonica Nonfried, 1895",アデク、ハマボウ,日本産タマムシ大図鑑,成虫はハマボウの花弁を後食する。アデクから羽化脱出した記録あり。,不明,,,,
10002,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツツタマムシ族,,,,Prosima,,chinensis,,Marseul,1867,,モンキタマムシ,,,,,,,"Prosima chinensis Marseul, 1867",モモ,日本産タマムシ大図鑑,成虫はモモなどを後食する。本来の分布は中国大陸で、人為的に分布が拡大した外来種の可能性が推察される。,5~6月,,,,
10003,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ケシツブタマムシ族,,,,Mastogenius,,insperatus,,Y. Kurosawa,1972,,ケシツブタマムシ,,,,,,,"Mastogenius insperatus Y. Kurosawa, 1972",シバニッケイ、マルバニッケイ,日本産タマムシ大図鑑,沖縄島ではマルバニッケイの枯れ枝から羽化。,4月上旬~6月上旬,,,,
10004,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツブタマムシ族,,,,Paratrachys,,hederae,,E. Saunders,1873,,ミスジツブタマムシ,,,,,,,"Paratrachys hederae E. Saunders, 1873",オオイタビ、イタビカズラ,日本産タマムシ大図鑑,幼虫はクワ科イチジク属植物の潜葉虫として葉裏に潜り込み、内部組織を食害する。,3~6月,,,,
10005,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツブタマムシ族,,,,Paratrachys,,mixtipubescens,,Y. Kurosawa,1985,,ダイトウツブタマムシ,,,,,,,"Paratrachys mixtipubescens Y. Kurosawa, 1985",オオイタビ,日本産タマムシ大図鑑,北大東島の固有種。オオイタビの葉より成虫を羽化脱出させた記録あり。,3~6月頃 (秋期に発生している可能性もあり),,,,
10006,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,,,,,Paratrachys,,princeps,,,,,オオシマツブタマムシ,,,,,,,Paratrachys princeps,オオイタビ、イタビカズラ、ヒメイタビ,日本産タマムシ大図鑑,,,,,,
10007,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chrysochroa,,fulgidissima,,,,,タマムシ,,,,,,,Chrysochroa fulgidissima,エノキ、リュウキュウエノキ、ケヤキ、サクラ類、カシ類、カキ、クワ、ハリエンジュ（ニセアカシア）,日本産タマムシ大図鑑,,,,,,
10008,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysochroa,,holstii,,Waterhouse,1890,,オガサワラタマムシ,,,,,,,"Chrysochroa holstii Waterhouse, 1890",ムニンエノキ、ヤシマシャリンバイ,日本産タマムシ大図鑑,成虫はムニンエノキに集まる。,6~8月,,,,
10009,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysodema,,dalmanni,,(Eschscholtz,1837),,アオムネスジタマムシ,,,,,,,"Chrysodema dalmanni (Eschscholtz, 1837)",モモタマナ,日本産タマムシ大図鑑,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,5~8月,,,,
10010,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysodema,,lewisii,,E. Saunders,1873,,アヤムネスジタマムシ,,,,,,,"Chrysodema lewisii E. Saunders, 1873",スダジイ、マテバシイ、ウバメガシ、カシ類、タブノキ、モモタマナ,日本産タマムシ大図鑑,タブノキやモモタマナなどを食害する。,4~8月,,,,
10011,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Tamamushia,,virida,,,,,ツマベニタマムシ,,,,,,,Tamamushia virida,シマシャリンバイ,日本産タマムシ大図鑑,,,,,,
10012,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chalcophora,,japonica,,,,,ウバタマムシ,,,,,,,Chalcophora japonica,アカマツ、クロマツ、リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10013,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chalcophora,,yunnana,,,,,サツマウバタマムシ,,,,,,,Chalcophora yunnana,アカマツ、クロマツ、リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10014,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Nipponobuprestis,,amabilis,,,,,アオマダラタマムシ,,,,,,,"Nipponobuprestis (Nipponobuprestis) amabilis (Vollenhoven, 1864)",アオハダ、クロガネモチ、ソヨゴ、ソメイヨシノ、ツゲ,日本産タマムシ大図鑑,成虫はアオハダ、クロガネモチ、ソヨゴ、ツゲ、ソメイヨシノなどに集まる。,5月中旬~8月上旬,,,,
