文献名,科,亜科,属,種小名,和名,食草
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Acmaeodera,luzonica,キボシフナガタタマムシ,"アデク、ハマボウ"
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Prosima,chinensis,モンキタマムシ,モモ
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Mastogenius,insperatus,ケシツブタマムシ,"シバニッケイ、マルバニッケイ"
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Paratrachys,hederae,ミスジツブタマムシ,"オオイタビ、イタビカズラ"
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Paratrachys,mixtipubescens,ダイトウツブタマムシ,オオイタビ
日本産タマムシ大図鑑,Buprestidae,Polycestinae,Paratrachys,princeps,オオシマツブタマムシ,"オオイタビ、イタビカズラ、ヒメイタビ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chrysochroa,fulgidissima,タマムシ,"エノキ、リュウキュウエノキ、ケヤキ、サクラ類、カシ類、カキ、クワ、ハリエンジュ（ニセアカシア）"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chrysochroa,holstii,オガサワラタマムシ,ムニンエノキ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chrysodema,dalmanni,アオムネスジタマムシ,モモタマナ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chrysodema,lewisii,アヤムネスジタマムシ,"スダジイ、マテバシイ、ウバメガシ、カシ類"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Tamamushia,virida,ツマベニタマムシ,シマシャリンバイ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chalcophora,japonica,ウバタマムシ,"アカマツ、クロマツ、リュウキュウマツ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Chalcophora,yunnana,サツマウバタマムシ,"アカマツ、クロマツ、リュウキュウマツ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Nipponobuprestis,amabilis,アオマダラタマムシ,"アオハダ、クロガネモチ、ソヨゴ、ソメイヨシノ、ツゲ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Nipponobuprestis,querceti,クロマダラタマムシ,エノキ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,virgata,クロホシタマムシ,ミズナラ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,davidis,キュウシュウクロホシタマムシ,不明
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,vivata,マスダクロホシタマムシ,"ヒノキ、スギ、ネズ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,pretiosa,キンヘリタマムシ,ハルニレ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,nipponensis,ハビロキンヘリタマムシ,ハルニレ
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Lamprodila,decipiens,エサキキンヘリタマムシ,"ヤマハンノキ、ミヤマハンノキ、ミネヤナギ、ネコヤナギ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Poecilonota,variolusa,クロコモンタマムシ,"ドロノキ、ヤマナラシ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Dicerca,furcata,フタオタマムシ,"ダケカンバ、シラカンバ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Dicerca,tibialis,トゲフタオタマムシ,"モミ、ヒノキ、ツガ"
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Tokaranodicerca,nishidai,キンモンフタオタマムシ,不明
日本産タマムシ大図鑑,Buprestidae,Buprestinae,Tokaranodicerca,shimonoi,アマミキンモンフタオタマムシ,不明
日本産タマムシ大図鑑,Buprestidae,Chrysochroinae,Buprestis,esakii,エサキクロタマムシ,リュウキュウマツ
日本産タマムシ大図鑑,Buprestidae,Chrysochroinae,Buprestis,haemorrhoidalis,クロタマムシ,"リュウキュウマツ、アカマツ、モミ"
日本産タマムシ大図鑑,Buprestidae,Chrysochroinae,Buprestis,splendens,アカヘリミドリタマムシ,"アカマツ、ヒメコマツ"
日本産タマムシ大図鑑,Buprestidae,Chrysochroinae,Eurythyrea,coa,エゾアオタマムシ,ドロノキ
日本産タマムシ大図鑑,Buprestidae,Chrysochroinae,Eurythyrea,tenuistriata,アオタマムシ,"モミ、マツ類"
