和名,学名,成虫発生時期,備考
アイノクロハナギンガ,"Chasminodes aino Sugi, 1956",7月～10月,年1化。幼虫は葉先をつづり、中にひそむ。
アオアカガネヨトウ,"Karana laetevirens (Oberthür, 1884)",6月～8月,年1化と思われ、幼虫で越冬する。
アオイガ,"Xanthodes albago (Fabricius, 1794)",11月,
アオキノコヨトウ,"Stenoloba assimilis (Warren, 1909)",8月,年1化と思われる。
アオケンモン,"Belciades niveola (Motschulsky, 1866)",6月～8月,年1化。
アオシャチホコ,"Syntypistis japonica (Nakatomi, 1981)",4月より9月上中旬,年2化。
アオスジコヤガ,"Inabaia culta (Butler, 1879)",8月～9月,
アオセダカシャチホコ,"Euhampsonia splendida (Oberthür, 1880)",5月頃と8月頃,年2化。北海道では6~7月に出現する。
アオバシャチホコ,"Zaranga permagna (Butler, 1881)",4~5月と8~9月,年2化。蛹越冬。
アオバセダカヨトウ,"Mormo mucivirens Butler, 1878",5月～9月,年1化と推定される。
アオバハガタヨトウ,"Antivaleria viridimacula (Graeser, 1889)",10月～11月,年1化。成虫越冬はしない。
アオフホソヤガ,"Lophoptera acuda (Swinhoe, 1906)",6月,1981年6月7日に採集された1♂しか知られていない。
アオモンギンセダカモクメ,"Cucullia argentea (Hufnagel, 1766)",9月,年1化。
アカガネヨトウ,"Euplexia lucipara (Linnaeus, 1758)",5月～9月,年2化。
アカキンウワバ,"Polychrysia aurata (Staudinger, 1888)",6月～9月,年2化。
アカシャチホコ,"Gangaridopsis citrina (Wileman, 1911)",5月、8月,年2化。蛹越冬。
アカスジキヨトウ,"Mythimna postica (Hampson, 1905)",5月～6月、8月～9月,年2化。亜終齢態で越冬する。
アカネシャチホコ,"Peridea lativitta (Wileman, 1911)",5月、8~9月,年2化。卵越冬。
アカバキリガ,"Orthosia carnipennis (Butler, 1878)",4月～6月,年1化。
アカヒゲドクガ,"Calliteara lunulata (Butler, 1877)",12~1月と4、5月 (沖縄島)、3月 (石垣島),本土域では年2化。
アカヘリヤガ,"Adisura atkinsoni Moore, 1881",8月～9月,
アカマエアツバ,"Simplicia rectalis (Eversmann, 1842)",5~10月,年2回程度出現する。
アカマダラヨトウ,"Spodoptera picta (Guérin-Méneville, 1838)",7月～8月,年1化と思われる。
アカモクメヨトウ,"Apamea aquila Donzel, 1837",6月～8月,年1化。越夏休眠する可能性がある。
アカモンドクガ,"Telochurus recens (Hübner, 1819)",6月および8月,年2化。
アケビコノハ,"Eudocima tyrannus (Guenée, 1852)",5月から晩秋まで,
アサギリヨトウ,"Sideridis incommoda (Staudinger, 1888)",8月,年1回。蛹で越冬する。
アサケンモン,"Acronicta pruinosa (Guenée, 1852)",5月～6月、8月～10月,年2化と思われる。
アサマウスモンヤガ,"Xestia descripta (Bremer, 1861)",7月～8月,年1化。若齢幼虫で越冬する。
アサマツマキリアツバ,"Pangrapta minor Sugi, 1982",6~7月,
アシブトアツバ,"Hywoolla jeremyi Owada, 2010",3月と7月,多化性と思われる。
アシブトクチバ,"Parallelia stuposa (Fabricius, 1794)",5~6月、8~10月,年2化。
アズサキリガ,"Pseudopanolis azusa Sugi, 1968",4月下旬～5月上旬,年1回。
アトウスヤガ,"Actebia fennica (Tauscher, 1806)",8月,年1化。
アトキリアツバ,"Rivula cognata (Hampson, 1912)",3~11月,
アトジロアルプスヤガ,"Xestia sincera (Herrich-Schäffer, 1851)",7月下旬,年1回。ヨーロッパ北部では成虫になるまで2年を要する。
アトジロキヨトウ,"Mythimna compta (Moore, 1881)",3月～10月,
アトジロシラホシヨトウ,"Melanchra postalba Sugi, 1982",5月～7月,年1化。老熟した幼虫は夏に土中にもぐり蛹となり、そのまま越冬する。
アトジロフタテンアツバ,"Rivula yoshimotoi (Kishida, 2010)",3~10月,ほぼ周年発生していると推定されている。
アトホシボシアツバ,"Caduca albopunctata (Walker, [1858])",10月,
アフリカシロナヨトウ,"Spodoptera exempta (Walker, 1857)",6月、8月,
アマギシャチホコ,"Eriodonta amagisana (Marumo, 1933)",4月から5月,年1化。
アマミアオシャチホコ,"Syntypistis amamiensis (Nakatomi, 1981)",3月、7~8月,おそらく年2化。
アマミキヨトウ,"Mythimna inouei (Sugi, 1965)",3月～10月,年に数回。
アマミシャクドウクチバ,"Mecodina sugii Seino, 2003",3月、5月、8月,
アマミノコメセダカヨトウ,"Orthogonia sugii Seino, 1992",4月下旬～6月下旬、8月,年2化と推定される。
アミメアツバ,"Adrapsoides reticulatis (Leech, 1900)",不明,本州中部以北では年1化、暖地では多化性になる。
アミメギンウワバ,"Thysanoplusia daubei (Boisduval, 1840)",9月～11月,
アミメケンモン,"Lophonycta confusa (Leech, [1889])",7月～8月,年1化。
アミメツマキリヨトウ,Callopistria aethiops Butler 1878,3月～11月,年2化以上。
アミメヒメヨトウ,"Iambia transversa (Moore, 1882)",5月～6月、8月～9月,年2化。
アヤシラフクチバ,"Sypnoides hercules (Butler, 1881)",6月～8月,年1回。卵で越冬する。
アヤナミツマキリヨトウ,"Callopistria placodoides (Guenée, 1852)",7月～10月,年2化と推定される。
