和名,学名,成虫出現時期,出典,備考
アオカメノコハムシ,Cassida rubiginosa,4~9月,ハムシハンドブック,
アオカメノコハムシ　対馬亜種,Cassida rubiginosa,4~9月,ハムシハンドブック,
アオガネヒメサルハムシ,Nodina chalcosoma,6~7月,ハムシハンドブック,
アオグロツヤハムシ,Oomorphoides nigrocaeruleus,4~6月,ハムシハンドブック,
アオバネサルハムシ,Basilepta fulvipes,6~7月,ハムシハンドブック,
アカイロマルノミハムシ,Argopus punctipennis,4~10月,ハムシハンドブック,
アカガネサルハムシ,Acrothinium gaschkevitchii,4~7月,ハムシハンドブック,
アカガネサルハムシ　吐噶喇亜種,Acrothinium gaschkevitchii,4~7月,ハムシハンドブック,
アカガネサルハムシ　奄美亜種,Acrothinium gaschkevitchii,4~7月,ハムシハンドブック,
アカガネサルハムシ　沖永良部島亜種,Acrothinium gaschkevitchii,4~7月,ハムシハンドブック,
アカガネサルハムシ　沖縄亜種,Acrothinium gaschkevitchii,4~7月,ハムシハンドブック,
アカクビボソハムシ,Lema (Lema),4~11月,ハムシハンドブック,
アカタデハムシ,Pyrrhalta semifulva,4~9月,ハムシハンドブック,
アカバナカミナリハムシ,Altica oleracea,3~11月,ハムシハンドブック,
アザミオオハムシ,Galeruca (Galeruca),6~10月,ハムシハンドブック,
アトボシハムシ,Paridea (Paridea),3~11月,ハムシハンドブック,
アヤメツブノミハムシ,Aphthona interstitialis,4~9月,ハムシハンドブック,
アワクビボソハムシ,Oulema (Oulema),4~11月,ハムシハンドブック,
イタドリハムシ,Gallerucida bifasciata,3~9月,ハムシハンドブック,
イタヤハムシ,Pyrrhalta fuscipennis,5月、7~10月,ハムシハンドブック,
イチゴハムシ,Galerucella (Galerucella),4~11月,ハムシハンドブック,
イチモンジカメノコハムシ,Thlaspida cribrosa,4~10月,ハムシハンドブック,
イチモンジハムシ,Morphosphaera japonica,4~7月,ハムシハンドブック,
イヌノフグリトビハムシ,Longitarsus (Longitarsus),3~11月,ハムシハンドブック,
イネクビボソハムシ,Oulema (Oulema),4~9月,ハムシハンドブック,
イネネクイハムシ,Donacia (Cyphogaster),5~11月,ハムシハンドブック,
イノコズチカメノコハムシ,Cassida japana,4~10月,ハムシハンドブック,
イモサルハムシ,Colasposoma dauricum,5~8月,ハムシハンドブック,
インゲンマメゾウムシ,Acanthoscelides obtectus,7~9月,ハムシハンドブック,
ウエツキブナハムシ,Chujoa uetsukii,7~9月,ハムシハンドブック,
ウスイロサルハムシ,Basilepta pallidula,6~8月,ハムシハンドブック,
ウリハムシ,Aulacophora indica,4~10月,ハムシハンドブック,
ウリハムシモドキ,Atrachya menetriesi,5~10月,ハムシハンドブック,
エノキハムシ,Pyrrhalta tibialis,5~9月,ハムシハンドブック,
エンドウゾウムシ,Bruchus pisorum,年1回発生,ハムシハンドブック,
オオキイロノミハムシ,Neocrepidodera obscuritarsis,6~10月,ハムシハンドブック,
オオキイロマルノミハムシ,Argopus balyi,5~9月,ハムシハンドブック,
オオクビボソハムシ,Lema (Petauristes),4月、10月(周年発生の可能性あり),ハムシハンドブック,
オオサルハムシ,Chrysochus chinensis,4~9月,ハムシハンドブック,
オオバコトビハムシ,Longitarsus (Longitarsus),4~11月,ハムシハンドブック,
オオミドリサルハムシ,Platycorynus japonicus,3~7月,ハムシハンドブック,
オオミドリサルハムシ　沖永良部島亜種,Platycorynus japonicus,3~7月,ハムシハンドブック,
カクムネトビハムシ,Neocrepidodera laevicollis,6~11月,ハムシハンドブック,
カサハラハムシ,Demotina modesta,4~9月,ハムシハンドブック,
カシワツツハムシ,Cryptocephalus (Cryptocephalus),5~9月,ハムシハンドブック,
カタクリハムシ,Sangariola punctatostriata,4~6月,ハムシハンドブック,
カタビロトゲハムシ,Dactylispa (Platypriella),4~10月,ハムシハンドブック,
カバノキハムシ,Syneta adamsi,4~9月,ハムシハンドブック,
カミナリハムシ,Altica aenea,5~11月,ハムシハンドブック,
カラタチトビハムシ,Podagricomela weisei,4~6月(?),ハムシハンドブック,
ガマズミトビハムシ,Trachytetra obscura,4~8月,ハムシハンドブック,
キアシヒゲナガアオハムシ,Clerotilia flavomarginata,7~9月,ハムシハンドブック,
キイロクワハムシ,Monolepta pallidula,7~10月,ハムシハンドブック,
キイロタマノミハムシ,Sphaeroderma unicolor,4~9月,ハムシハンドブック,
キイロナガツツハムシ,Smaragdina nipponensis,4~6月,ハムシハンドブック,
キカサハラハムシ,Xanthonia placida,6~8月,ハムシハンドブック,
キクビアオハムシ,Agelasa nigriceps,4~5月、8月(山地では6~7月、9~10月),ハムシハンドブック,
キスジノミハムシ,Phyllotreta striolata,3~11月,ハムシハンドブック,
キヌツヤミズクサハムシ,Plateumaris sericea,4~9月,ハムシハンドブック,
キバネマルノミハムシ,Hemipyxis flavipennis,4~7月,ハムシハンドブック,
キバラヒメハムシ,Taphinellina flaviventris,5~9月,ハムシハンドブック,
キバラモクメキリガ,Xylena formosa (Butler 1878),11~4月,日本のキリガ,
キベリクビボソハムシ,Lema (Petauristes),4~9月,ハムシハンドブック,
キベリハムシ,Oides bowringii,6~8月,ハムシハンドブック,
キボシツツハムシ,Cryptocephalus (Cryptocephalus),4~9月,ハムシハンドブック,
キボシルリハムシ,Smaragdina aurita,4~6月(山地では6~8月),ハムシハンドブック,
キンイロネクイハムシ,Donacia (Donaciomima),4~10月,ハムシハンドブック,
クビアカトビハムシ,Luperomorpha pryeri,7~8月,ハムシハンドブック,
クビボソトビハムシ,Pseudoliprus hirtus,5~8月,ハムシハンドブック,
クロウリハムシ,Aulacophora nigripennis,4~10月,ハムシハンドブック,
クロウリハムシ　伊豆諸島亜種,Aulacophora nigripennis,4~10月,ハムシハンドブック,
クロウリハムシ　奄美沖縄亜種,Aulacophora nigripennis,4~10月,ハムシハンドブック,
クロオビカサハラハムシ,Demotina fasciata,3~10月,ハムシハンドブック,
クロオビツツハムシ,Physosmaragdina nigrifrons,5~10月,ハムシハンドブック,
クロコトビハムシ,Manobia parvula,4~10月,ハムシハンドブック,
クロバハラグリハムシ,Euliroetis abdominalis,5~6月,ハムシハンドブック,
クロバヒゲナガハムシ,Cerophysa tibialis,6~8月,ハムシハンドブック,
クロボシツツハムシ,Cryptocephalus (Cryptocephalus),4~7月,ハムシハンドブック,
クロボシトビハムシ,Longitarsus (Longitarsus),4~11月,ハムシハンドブック,
クロルリトゲハムシ,Rhadinosa nigrocyanea,5~11月,ハムシハンドブック,
クワノミハムシ,Luperomorpha funesta,4~9月,ハムシハンドブック,
クワハムシ,Fleutiauxia armata,3~8月,ハムシハンドブック,
ケブカクロナガハムシ,Hesperomorpha hirsuta,4~7月,ハムシハンドブック,
コガタカメノコハムシ,Cassida vespertina,4~10月,ハムシハンドブック,
コマルノミハムシ,Nonarthra tibialis,5~10月,ハムシハンドブック,
コヤツボシツツハムシ,Cryptocephalus (Cryptocephalus),4~5月(山地では6~8月),ハムシハンドブック,
サクラサルハムシ,Cleoporus lateralis,5~9月,ハムシハンドブック,
サシゲトビハムシ,Lipromima minuta,4~10月,ハムシハンドブック,
サメハダツブノミハムシ,Aphthona strigosa,4~10月,ハムシハンドブック,
サンゴジュハムシ,Pyrrhalta lineatipes,5~10月(7~8月は夏眠),ハムシハンドブック,
ジュウシホシツツハムシ,Cryptocephalus (Cryptocephalus),6~8月,ハムシハンドブック,
ジンガサハムシ,Aspidimorpha (Aspidimorpha),4~9月,ハムシハンドブック,
スイバトビハムシ,Mantura (Mantura),5~6月,ハムシハンドブック,
スキバジンガサハムシ,Aspidimorpha (Aspidimorpha),4~11月,ハムシハンドブック,
スジカミナリハムシ,Altica latericosta,4~9月,ハムシハンドブック,
スズキミドリトビハムシ,Crepidodera sahalinensis,4~10月,ハムシハンドブック,
セスジツツハムシ,Cryptocephalus (Cryptocephalus),4~9月,ハムシハンドブック,
セモンジンガサハムシ,Cassida crucifera,4~10月,ハムシハンドブック,
ソラマメゾウムシ,Bruchus rufimanus,年1回発生,ハムシハンドブック,
タテスジキツツハムシ,Cryptocephalus (Burlinius),6~8月,ハムシハンドブック,
タテスジヒメジンガサハムシ,Cassida circumdata,3~8月,ハムシハンドブック,
タニガワモクメキリガ,"Brachionycha permixta Sugi, 1970",3~4月,日本のキリガ,
タバコノミハムシ,Epitrix hirtipennis,5~11月,ハムシハンドブック,
タマアシトビハムシ,Philopona vibex,3~11月,ハムシハンドブック,
