note_id,insect_id,type,content,reference,page,notes
note-000002,species-3624,生態情報,飼育条件下ではツルフジバカマ;クサフジ;ヤハズエンドウなどマメ科植物で飼育に成功している。野外では未確認。国外ではヨ-ロッパや中国でもマメ科につくことが知られる,日本産蛾類標準図鑑1,,
note-000003,species-4016,生態情報,国外では;カモメヅル属 (キョウチクトウ科) の記録があり;ヨ-ロッパでは各種の樹木;草本につくという,日本産蛾類標準図鑑1,,
note-000004,species-4436,生態情報,飼育ではコハウチワカエデ（ムクロジ科）;ミズナラ（以上ブナ科）で育つことが判明した。国外では;ヤナギ科やバラ科の植物を食すことが知られている,日本産蛾類標準図鑑1,,
note-000005,species-4606,生態情報,広食性;国外ではバラ科;マメ科;ミカン科;ツバキ科。台湾ではリュウガン;レイシ (ムクロジ科);チャノキ(ツバキ科)の害虫,日本産蛾類標準図鑑2,,
note-000006,species-5376,生態情報,世界的にはワタの害虫として著名だが、日本ではワタの害虫として注目されることはなく、ムクゲ、オクラ、ハイビスカス、フヨウ、ロ-ゼルなどの植栽種を食している。ハイビスカスはアオイ科フヨウ属 (Hibiscus) の植物で、フヨウやロ-ゼルと同属である,日本産蛾類標準図鑑2,,
note-000007,species-5480,生態情報,国外では;パプアニュ-ギニア島でコウエンポク (マメ科);タイではランブ-タン(ムクロジ科)に大食害を与えることが知られる,日本産蛾類標準図鑑2,,
note-000008,species-5521,生態情報,国外では;アカシア;ネムノキ(以上マメ科)が知られ;ハワイでは;時にキンキジュ (マメ科)に大きな被害を与えることが知られる,日本産蛾類標準図鑑2,,
note-000009,species-5583,生態情報,広食性;ヨ-ロッパではセイヨウイラクサ(イラクサ科);クレマチス (キンポウゲ科);トウダイグサ科;カワラボウフウ(セリ科);ヒメオドリコソウ (シソ科),日本産蛾類標準図鑑2,,
note-000010,species-5592,生態情報,広食性;ヨ-ロッパではセイヨウイラクサなどのイラクサ科;オランダイチゴ属;オドリコソウなどのヒメオドリコソウ属;ハナハッカ;ハッカ属;ニガハッカ属;イヌゴマ属 (以上シソ科),日本産蛾類標準図鑑2,,
note-000012,species-10001,生態情報,成虫はハマボウの花弁を後食する。,日本産タマムシ大図鑑,,1895
note-000012-E01,species-10001,出現時期,アデクから羽化脱出した記録あり,日本産タマムシ大図鑑,,1895
note-000014,species-10002,生態情報,成虫はモモなどを後食する。本来の分布は中国大陸で、人為的に分布が拡大した外来種の可能性が推察される。,日本産タマムシ大図鑑,,1867
note-000015,species-10002,出現時期,5~6月,日本産タマムシ大図鑑,,1867
note-000016-E01,species-10003,出現時期,沖縄島ではマルバニッケイの枯れ枝から羽化,日本産タマムシ大図鑑,,1972
note-000017,species-10003,出現時期,4月上旬~6月上旬,日本産タマムシ大図鑑,,1972
note-000018,species-10004,生態情報,幼虫はクワ科イチジク属植物の潜葉虫として葉裏に潜り込み、内部組織を食害する。,日本産タマムシ大図鑑,,1873
note-000019,species-10004,出現時期,3~6月,日本産タマムシ大図鑑,,1873
note-000020,species-10005,生態情報,北大東島の固有種。,日本産タマムシ大図鑑,,1985
note-000020-E01,species-10005,出現時期,オオイタビの葉より成虫を羽化脱出させた記録あり,日本産タマムシ大図鑑,,1985
note-000021,species-10005,出現時期,3~6月 (秋期に発生している可能性もあり),日本産タマムシ大図鑑,,1985
note-000022,species-10008,生態情報,成虫はムニンエノキに集まる。,日本産タマムシ大図鑑,,1890
note-000023,species-10008,出現時期,6~8月,日本産タマムシ大図鑑,,1890
note-000024,species-10009,生態情報,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,日本産タマムシ大図鑑,,1837
note-000025,species-10009,出現時期,5~8月,日本産タマムシ大図鑑,,1837
note-000026,species-10010,生態情報,タブノキやモモタマナなどを食害する。,日本産タマムシ大図鑑,,1873
note-000027,species-10010,出現時期,4~8月,日本産タマムシ大図鑑,,1873
note-000028,species-10014,生態情報,成虫はアオハダ、クロガネモチ、ソヨゴ、ツゲ、ソメイヨシノなどに集まる。,日本産タマムシ大図鑑,,
note-000029,species-10014,出現時期,5月中旬~8月上旬,日本産タマムシ大図鑑,,
note-000030,species-10015,生態情報,成虫はエノキの太い枯れ枝やウロに飛来する。,日本産タマムシ大図鑑,,
note-000031,species-10015,出現時期,5月中旬~7月,日本産タマムシ大図鑑,,
note-000032,species-10016,生態情報,成虫はミズナラやクリの枯れ枝に集まる。,日本産タマムシ大図鑑,,
note-000033,species-10016,出現時期,5月下旬~8月上旬,日本産タマムシ大図鑑,,note-000034
note-000036,species-10018,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000037,species-10021,生態情報,成虫はミヤマハンノキ、ヤマハンノキ、ミネヤナギ、ネコヤナギなどの生葉に集まり、同木の衰弱木を食害する。,日本産タマムシ大図鑑,,
note-000038,species-10021,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000039,species-10023,生態情報,成虫はカンバ類、ヤナギ類、ハンノキ類の倒木、枯れ木、伐採木等に集まる。,日本産タマムシ大図鑑,,
note-000040,species-10023,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000041,species-10024,生態情報,幼虫はモミ、スギ、ツガの枯れ木を食害する。スギやヒノキ。モミの樹皮下で越冬し。,日本産タマムシ大図鑑,,
note-000041-E01,species-10024,出現時期,成虫は晩夏に羽化脱出し。翌年に再活動する,日本産タマムシ大図鑑,,
note-000042,species-10024,出現時期,晩夏に羽化、越冬後再活動,日本産タマムシ大図鑑,,
note-000043,species-10025,生態情報,成虫はシマグワの古木の幹に飛来する。,日本産タマムシ大図鑑,,
note-000044,species-10025,出現時期,7月,日本産タマムシ大図鑑,,
note-000045,species-10026,生態情報,成虫は大きなシマグワの幹に飛来する。,日本産タマムシ大図鑑,,
note-000046,species-10026,出現時期,不明,日本産タマムシ大図鑑,,
note-000047,species-10027,生態情報,成虫はリュウキュウマツの立ち枯れや伐採木に集まる。,日本産タマムシ大図鑑,,
note-000048,species-10027,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000049,species-10029,生態情報,成虫はマツ類の枯れ木や伐採木に集まる。雄はヒメコマツ（ゴヨウマツ）の孤立木樹冠に集まる。,日本産タマムシ大図鑑,,
note-000050,species-10029,出現時期,5-8月,日本産タマムシ大図鑑,,
