科,亜科,属,種小名,和名
ハムシ科,ヒゲナガハムシ亜科,Altica,aenea,カミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,birmanensis,ビルマカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,caerulescens,ヒメカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,circaeae,ミズタマソウカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,cirsicola,アザミカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,fragariae,イチゴカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,japonica,キタカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,kimotoi,ミヤマアザミカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,komiyai,コミヤカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,kurosawai,クロサワカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,latericosta,スジカミナリハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Altica,latericosta,スジカミナリハムシ　本州四国九州亜種
ハムシ科,ヒゲナガハムシ亜科,Altica,nipponica,ニホンカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,oleracea,アカバナカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,sanguisorbae,クロカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Altica,viridicyanea,コカミナリハムシ
ハムシ科,ヒゲナガハムシ亜科,Amphimela,metallica,レモントビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,abdominalis,キイロツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,albescens,オキナワアシナガトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,amamiana,アマミツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,erichsoni,キアシツブノミハムシ1
ハムシ科,ヒゲナガハムシ亜科,Aphthona,formosana,タイワンツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,hakonensis,ハコネツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,interstitialis,アヤメツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,kurosawai,クロサワツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,perminuta,ツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthona,semiviridis,キアシツブノミハムシ2
ハムシ科,ヒゲナガハムシ亜科,Aphthona,strigosa,サメハダツブノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthonaltica,angustata,ホソルリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Aphthonoides,beccaril,トゲアシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,biplagiatus,テントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,rufus,ヘリグロテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,ryukyuensis,リュウキュウテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,tsekooni,ヒメテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopistes,unicolor,クロテントウノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,balyi,オオキイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,clarki,クラークマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,clypeatus,オオアカマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,nigripennis,クロバネマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,punctipennis,アカイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Argopus,unicolor,ウスイロマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Batophila,acutangula,ハネナシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Batophila,latissima,ハバビロハネナシトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,collaris,フタイロセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,nipponica,コバンマメトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Bikasha,simplicithorax,キイロマメトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Cangshanaltica,ogatai,オガタマンマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),オカボヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヒメドウガネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),キイチゴヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ムギヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヤマヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Chaetocnema),ワタラセヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),フタイロヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),テンサイトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),サツマイモヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),クサイチゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),カンミヤヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),ニセテンサイトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),アオバドウガネトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),オオヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Tlanoma),キイチゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Udorpes),タイワンヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Chaetocnema,(Udorpes),ウミベヒサゴトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,nakanoi,エグリヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,sakishimana,サキシマヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Clavicornaltica,tokushigei,ツマキレヒゲブトコマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,japonica,ミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,sahalinensis,スズキミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Crepidodera,yahiroi,ヤヒロミドリトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Dibolia,(Dibolia),ヤハズトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Disonycha,politula,メリケントビハムシ
ハムシ科,ヒゲナガハムシ亜科,Epitrix,hirtipennis,タバコノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Euphitrea,nisotroides,ニセタマトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,duodecimmaculata,ジュウニホシニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,hiranoi,ヒラノニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,kasuga,トホシニセマルトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,sauteri,ムツボシニセマルトビハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Halticorcus,sauteri,ムツボシニセマルトビハムシ　屋久島亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,balyi,ヨツモンミゾアシノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,changi,ヒメマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,cinctipennis,キベリヒラタノミハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,cinctipennis,キベリヒラタノミハムシ　沖縄本島亜種
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,flaviabdominalis,キバラマルノミハムシ
ハムシ科,ヒゲナガハムシ亜科,Hemipyxis,flavipennis,キバネマルノミハムシ
