大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典
H001,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,aenea,,,,,カミナリハムシ,,,,,,,Altica aenea,不明,,ハムシ目録データベース
H002,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,birmanensis,,,,,ビルマカミナリハムシ,,,,,,,Altica birmanensis,不明,,ハムシ目録データベース
H003,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,caerulescens,,,,,ヒメカミナリハムシ,,,,,,,Altica caerulescens,不明,,ハムシ目録データベース
H004,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,circaeae,,,,,ミズタマソウカミナリハムシ,,,,,,,Altica circaeae,不明,,ハムシ目録データベース
H005,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,cirsicola,,,,,アザミカミナリハムシ,,,,,,,Altica cirsicola,不明,,ハムシ目録データベース
H006,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,fragariae,,,,,イチゴカミナリハムシ,,,,,,,Altica fragariae,不明,,ハムシ目録データベース
H007,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,japonica,,,,,キタカミナリハムシ,,,,,,,Altica japonica,不明,,ハムシ目録データベース
H008,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,kimotoi,,,,,ミヤマアザミカミナリハムシ,,,,,,,Altica kimotoi,不明,,ハムシ目録データベース
H009,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,komiyai,,,,,コミヤカミナリハムシ,,,,,,,Altica komiyai,不明,,ハムシ目録データベース
H010,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,kurosawai,,,,,クロサワカミナリハムシ,,,,,,,Altica kurosawai,不明,,ハムシ目録データベース
H011,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,latericosta,,,,,スジカミナリハムシ,,,,,,,Altica latericosta,ハギ類,,ハムシハンドブック
H012,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,latericosta,,,,,スジカミナリハムシ,,,,,,,Altica latericosta,ハギ類,,ハムシハンドブック
H013,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,nipponica,,,,,ニホンカミナリハムシ,,,,,,,Altica nipponica,不明,,ハムシ目録データベース
H014,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,oleracea,,,,,アカバナカミナリハムシ,,,,,,,Altica oleracea,不明,,ハムシ目録データベース
H015,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Altica,,sanguisorbae,,,,,クロカミナリハムシ,,,,,,,Altica sanguisorbae,不明,,ハムシ目録データベース
