"和名","学名","食草","食草に関する備考","成虫の発生時期"
"タニガワモクメキリガ","Brachionycha permixta Sugi, 1970","サクラ類 (バラ科)","野外からは未知。飼育下での記録。","3~4月"
"タカセモクメキリガ","Brachionycha sajana Draudt, 1934","カラマツ","飼育下でよく食べることから野外でも食べていると推測される。天然カラマツ林に固有だったが植林で生息域を広げたと考えられる。",""
"エゾモクメキリガ","Brachionycha nubeculosa (Esper, 1785)","ハルニレ、ミズナラ、ブナ、ヤナギ類、サクラ類","サクラ類は飼育下での記録。",""
"ハイイロハガネヨトウ","anephria cinerea (Butler, 1881)","ハルニレ、オヒョウ","",""
"ホソバハガタヨトウ","Meganephria funesta (Leech, [1889])","ケヤキ","",""
"ミドリハガタヨトウ","Meganephria extensa (Butler, 1879)","ケヤキ","",""
"ミヤマゴマキリガ","Feralia sauberi (Graeser, 1892)","カラマツ","カラマツ植林により分布を拡大したと考えられる。",""
"ケンモンミドリキリガ","Daseochaeta viridis (Leech, [1889])","チドリノキ、ヤマザクラ","",""
"ナンカイミドリキリガ","Diphtherocome autumnalis (Chang, 1991)","サクラ類","飼育下での記録。",""
"シロモンアカガネヨトウ","Valeria dilutiapicana Filipjev, 1927","ハルニレ","",""
"プライヤオビキリガ","Dryobotodes pryeri (Leech, 1900)","ヒメヤシャブシ、コナラ、カシワ","",""
"ナカオビキリガ","Dryobotodes intermissa (Butler, 1886)","アラカシ、クヌギ","飼育下での記録。",""
"ホソバオビキリガ","Dryobotodes angusta Sugi, 1980","ウバメガシ、クヌギ、カシワ","クヌギは飼育下での記録。産地の多くはウバメガシ自生地と重なるため、ウバメガシ林が主要生息地と考えられる。東日本ではカシワ林で得られており、カシワを食べている可能性がある。",""
"ヒロバモクメキリガ","Xylena changi Harie, 1993","カマツカ、カナメモチ、ソメイヨシノ、ミミズバイ、サカキ、ツバキ、アラカシなど","多食性。",""
"ハネナガモクメキリガ","Xylena nihonica Hône, 1917","ミミズバイ、サカキ、ツバキ、アラカシ、イジュなど","多食性。",""
"アヤモクメキリガ","Xylena fumosa (Butler, 1878)","サクラ類、ダイズ、アズキ、ヤハズエンドウ、ジャガイモ、タバコ、テンサイ、ユリ類、ネギ、ノゲシなど","多食性。",""
"キバラモクメキリガ","Xylena formosa (Butler 1878)","クヌギ、カシワ、アベマキ、コナラ、アラカシ、シデコブシ、ナシ、サクラ、エンドウ、エニシダ、タケニグサ、イタドリ、ギシギシ、ゴボウ、キクイモ、タバコ、セッコク、エノキ、シデコブシなど","多食性。","11~4月"
