source,target,insect_id,distance
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
Eulithis convergenuata,Eulithis convergenata,species-4213,1
Heterothera serraria,Heterothera serrataria,species-4250,2
Mesoleuca mandschuricata,Mesoleuca mandshuricata,species-4174,1
