src_insect_id,dst_insect_id,no,japanese_name,scientific_name,hostplant_rows,reason
species-21568,,1,ネズミサシオオアブラムシ,Cinara juniperi (de Geer),4,no match for Cinara juniperi
species-21569,,2,ハネナガオオアブラムシ,Cinara longipennis (Matsumura),6,no match for Cinara longipennis
species-21570,,3,マツオオアブラムシ,Cinara pini (Linné),4,no match for Cinara pini
species-21571,species-21123,4,ヒメコマツオオアブラムシ,Cinara shinjii (Inoue),2,ok (unique epithet match)
species-21593,,26,,Tuberculatus sp. A,2,no match for Tuberculatus sp. A
species-21594,,27,,Tuberculatus sp. B,2,no match for Tuberculatus sp. B
species-21595,species-21084,28,クヌギハアブラムシ,Phloeomyzus quercus (Takahashi),4,ok (preferred genus by epithet)
species-21598,,31,,Chaitophorus sp.,2,no match for Chaitophorus sp.
species-21611,species-21102,44,ハシバミヒゲナガアブラムシ,Unisitobion corylicola (Shinji)?,6,ok (unique epithet match)
species-21612,,45,ヨモギオナガヒメヒゲナガアブラムシ,Macrosiphoniella grandicauda Takahashi et Moritsu,4,no match for Macrosiphoniella grandicauda
species-21613,,46,ヒコサンヒメヒゲナガアブラムシ,Macrosiphoniella hikosanensis Moritsu,2,no match for Macrosiphoniella hikosanensis
species-21614,,47,クワヤマヒメヒゲナガアブラムシ,Macrosiphoniella kuwayamai Takahashi,2,no match for Macrosiphoniella kuwayamai
species-21618,,51,シャジンヒゲナガアブラムシ,Dactynotus adenophorae (Matsumura),2,no match for Dactynotus adenophorae
species-21619,,52,アマミヒゲナガアブラムシ,Dactynotus amamianus (Takahashi),4,no match for Dactynotus amamianus
species-21620,,53,ノゲシヒゲナガアブラムシ,Dactynotus cephalonopli Takahashi,4,no match for Dactynotus cephalonopli
species-21621,,54,タイワンヒゲナガアブラムシ,Dactynotus formosanus (Takahashi),10,no match for Dactynotus formosanus
species-21622,,55,アザミヒゲナガアブラムシ,Dactynotus giganteus (Matsumura),4,no match for Dactynotus giganteus
species-21623,,56,ゴボウヒゲナガアブラムシ,Dactynotus gobonis (Matsumura),6,no match for Dactynotus gobonis
species-21624,,57,キキョウヒゲナガアブラムシ,Dactynotus kikioensis (Shinji),4,no match for Dactynotus kikioensis
species-21625,,58,アキノキリンソウクロヒゲナガアブラムシ,Dactynotus lactucicola (Strand),4,no match for Dactynotus lactucicola
species-21626,,59,シロヤマギクヒゲナガアブラムシ,Dactynotus monticola (Takahashi),4,no match for Dactynotus monticola
species-21627,,60,コウゾリナヒゲナガアブラムシ,Dactynotus picridis (Fabricius),4,no match for Dactynotus picridis
species-21628,,61,アキノキリンソウヒゲナガアブラムシ,Dactynotus solidaginis (Fabricius)?,4,no match for Dactynotus solidaginis
species-21634,,67,ヨメナアミナシヒゲナガアブラムシ,Acyrthosiphon asteris (Takahashi),2,no match for Acyrthosiphon asteris
species-21635,,68,アザミアミナシヒゲナガアブラムシ,Acyrthosiphon cirsicola (Takahashi),4,no match for Acyrthosiphon cirsicola
species-21636,,69,カキドオシヒゲナガアブラムシ,Acyrthosiphon glechomae (Takahashi),2,no match for Acyrthosiphon glechomae
species-21637,species-21325,70,ヤマブキヒゲナガアブラムシ,Acyrthosiphon kerriae (Shinji),6,ok (unique epithet match)
species-21638,,71,コンドウヒゲナガアブラムシ,Acyrthosiphon kondoi Shinji,6,no match for Acyrthosiphon kondoi
species-21639,species-21326,72,アオキコブアブラムシ,Acyrthosiphon linderae (Shinji),4,ok (preferred genus by epithet)
species-21641,species-21327,74,アブラチャンコブアブラムシ,Acyrthosiphon muradachi (Shinji),6,ok (unique epithet match)
species-21644,species-21339,77,シソヒゲナガアブラムシ,Acyrthosiphon perillae (Shinji),4,ok (unique epithet match)
species-21645,,78,エンドウヒゲナガアブラムシ,Acyrthosiphon pisum (Harris),8,no match for Acyrthosiphon pisum
species-21646,species-21331,79,ジャガイモヒゲナガアブラムシ,Acyrthosiphon solani (Kaltenbach),2,ok (unique epithet match)
species-21647,species-21334,80,アザミキイロヒゲナガアブラムシ,Acyrthosiphon vandenboschi Hille Ris Lambers,2,ok (unique epithet match)
species-21648,,81,,Acyrthosiphon sp. A,2,no match for Acyrthosiphon sp. A
species-21649,,82,,Acyrthosiphon sp. B,2,no match for Acyrthosiphon sp. B
species-21656,,89,,Hydronaphis sp.,2,no match for Hydronaphis sp.
species-21657,,90,ウツギトックリアブラムシ,Rhopalosiphoninus deutzifoliae Shinji,2,no match for Rhopalosiphoninus deutzifoliae
species-21658,,91,,Rhopalosiphoninus sp.,2,no match for Rhopalosiphoninus sp.
species-21660,,93,ヨメナコブアブラムシ,Myzus asteriae Shinji,2,no match for Myzus asteriae
