src_insect_id,no,japanese_name,scientific_name,atlas_key,hostplants
species-21568,1,ネズミサシオオアブラムシ,Cinara juniperi (de Geer),Cinara juniperi,イブキ / ネズ
species-21569,2,ハネナガオオアブラムシ,Cinara longipennis (Matsumura),Cinara longipennis,モミ / イヌガヤ / アオトドマツ
species-21612,45,ヨモギオナガヒメヒゲナガアブラムシ,Macrosiphoniella grandicauda Takahashi et Moritsu,Macrosiphoniella grandicauda,ヨモギ / ゴボウ
species-21613,46,ヒコサンヒメヒゲナガアブラムシ,Macrosiphoniella hikosanensis Moritsu,Macrosiphoniella hikosanensis,ヨモギ類
species-21614,47,クワヤマヒメヒゲナガアブラムシ,Macrosiphoniella kuwayamai Takahashi,Macrosiphoniella kuwayamai,ヨモギ類
species-21618,51,シャジンヒゲナガアブラムシ,Dactynotus adenophorae (Matsumura),Dactynotus adenophorae,ツリガネニンジン
species-21619,52,アマミヒゲナガアブラムシ,Dactynotus amamianus (Takahashi),Dactynotus amamianus,アキノキリンソウ / オオアキノキリンソウ
species-21620,53,ノゲシヒゲナガアブラムシ,Dactynotus cephalonopli Takahashi,Dactynotus cephalonopli,エゾノキツネアザミ / アザミの一種
species-21622,55,アザミヒゲナガアブラムシ,Dactynotus giganteus (Matsumura),Dactynotus giganteus,ノアザミ / ヤマボクチ
species-21623,56,ゴボウヒゲナガアブラムシ,Dactynotus gobonis (Matsumura),Dactynotus gobonis,西日本ではゴボウのみ / 北日本ではオケラ / ベニバナ
species-21624,57,キキョウヒゲナガアブラムシ,Dactynotus kikioensis (Shinji),Dactynotus kikioensis,キキョウ / フウリンソウ
species-21625,58,アキノキリンソウクロヒゲナガアブラムシ,Dactynotus lactucicola (Strand),Dactynotus lactucicola,アキノノゲシ / アキノキリンソウ
species-21626,59,シロヤマギクヒゲナガアブラムシ,Dactynotus monticola (Takahashi),Dactynotus monticola,イナカギク(ヤマシロギク) / ノヤマコンギク
species-21627,60,コウゾリナヒゲナガアブラムシ,Dactynotus picridis (Fabricius),Dactynotus picridis,コウゾリナ / ヤナギタンポポ
species-21628,61,アキノキリンソウヒゲナガアブラムシ,Dactynotus solidaginis (Fabricius)?,Dactynotus solidaginis,アキノキリンソウ / ヒメムカシヨモギ
species-21634,67,ヨメナアミナシヒゲナガアブラムシ,Acyrthosiphon asteris (Takahashi),Acyrthosiphon asteris,ヨメナ
species-21635,68,アザミアミナシヒゲナガアブラムシ,Acyrthosiphon cirsicola (Takahashi),Acyrthosiphon cirsicola,チシマアザミ / アザミの一種
species-21636,69,カキドオシヒゲナガアブラムシ,Acyrthosiphon glechomae (Takahashi),Acyrthosiphon glechomae,カキドオシ
species-21638,71,コンドウヒゲナガアブラムシ,Acyrthosiphon kondoi Shinji,Acyrthosiphon kondoi,ムラサキツメクサ / シロツメクサ / ムラサキウマゴヤシ
species-21645,78,エンドウヒゲナガアブラムシ,Acyrthosiphon pisum (Harris),Acyrthosiphon pisum,エンドウ / シロツメクサ / スイートピー / ハマエンドウほか多数
species-21657,90,ウツギトックリアブラムシ,Rhopalosiphoninus deutzifoliae Shinji,Rhopalosiphoninus deutzifoliae,ウツギ
species-21660,93,ヨメナコブアブラムシ,Myzus asteriae Shinji,Myzus asteriae,ヨメナ
species-21661,94,カラムシコブアブラムシ,Myzus boehmeriae Takahashi,Myzus boehmeriae,ヤブマオ / コアカソ
species-21662,95,ニワウメクロコブアブラムシ,Myzus cerasi (Fabricius),Myzus cerasi,ウメ / ニワウメ / カワラヨモギ
species-21663,96,カンゾウコブアブラムシ,Myzus hemerocallidis Takahashi,Myzus hemerocallidis,ワスレグサ属の植物
species-21664,97,ワダンコブアブラムシ,Myzus lactucicola Takahashi,Myzus lactucicola,ホソバワダン / ヤクシソウ
species-21666,99,ウメコブアブラムシ,Myzus mumecola (Matsumura),Myzus mumecola,アンズ / ウメ
species-21667,100,ムシャコブアブラムシ,Myzus mushaensis Takahashi,Myzus mushaensis,ソメイヨシノ / サトザクラ / オオシマザクラ / ヒカンオヨシ
species-21668,101,モモアカアブラムシ,Myzus persicae (Sulzer),Myzus persicae,モモ / アブラナ / カリフラワー / キャベツ / ジャガイモ / タバコ
species-21670,103,ヒキオコシコブアブラムシ,Myzus siegesbeckiae Takahashi,Myzus siegesbeckiae,サクラ類 / ヒキオコシ
species-21671,104,ハンショウヅルコブアブラムシ,Myzus varians Davidson,Myzus varians,スモモ / モモ / ボタンヅル / センニンソウ
species-21673,106,クワクサヒゲナガアブラムシ,Eomyzus kuwanusae (Uye),Eomyzus kuwanusae,クワクサ
