src_insect_id,no,japanese_name,scientific_name,atlas_key,hostplants,candidate_count,candidates,candidate_scientific_names,candidate_japanese_names,candidate_scores,candidate_reasons,status
species-21568,1,ネズミサシオオアブラムシ,Cinara juniperi (de Geer),Cinara juniperi,イブキ / ネズ,0,,,,,,no_candidates
species-21569,2,ハネナガオオアブラムシ,Cinara longipennis (Matsumura),Cinara longipennis,モミ / イヌガヤ / アオトドマツ,0,,,,,,no_candidates
species-21570,3,マツオオアブラムシ,Cinara pini (Linné),Cinara pini,アカマツ / クロマツ,5,species-21554;species-21555;species-21556;species-21029;species-21091,"Stomaphis pini Takahashi, 1920 | Stomaphis pini pini Takahashi, 1920 | Stomaphis pini takaensis Sorin, 2012 | Prociphilus piniradius Tao, 1986 | Mesocallis sawashibae (Matsumura, 1917)"," | マツノクチナガオオアブラムシ | タカオモミクチナガオオアブラムシ | マツネワタムシ (新称) | サワシバフチアブラムシ",30;30;30;0;0,"accepted-epithet | accepted-epithet | accepted-epithet |  | ",has_candidates
species-21571,4,ヒメコマツオオアブラムシ,Cinara shinjii (Inoue),Cinara shinjii,ヒメコマツ,1,species-21123,"Tiliaphis shinjii Higuchi, 1972",シンジハネマダラアブラムシ,30,accepted-epithet,has_candidates
species-21593,26,,Tuberculatus sp. A,Tuberculatus sp. A,葉裏,0,,,,,,unresolvable_sp
species-21594,27,,Tuberculatus sp. B,Tuberculatus sp. B,葉裏,0,,,,,,unresolvable_sp
species-21595,28,クヌギハアブラムシ,Phloeomyzus quercus (Takahashi),Phloeomyzus quercus,クヌギ / コナラ,2,species-21084;species-21188,"Diphyllaphis quercus (Takahashi, 1960) | Cervaphis quercus Takahashi",クヌギヘアブラムシ | Cervaphis quercus Takahashi,40;30,accepted-epithet;hostplant-in-jp(1) | accepted-epithet,has_candidates
species-21598,31,,Chaitophorus sp.,Chaitophorus sp.,葉裏,0,,,,,,unresolvable_sp
species-21611,44,ハシバミヒゲナガアブラムシ,Unisitobion corylicola (Shinji)?,Unisitobion corylicola,ヒキオコシ / ツノハシバミ / アカシデ,1,species-21102,"Paratinocallis corylicola Higuchi, 1972",ツノハシバミヒゲマダラアブラムシ (新称),40,accepted-epithet;hostplant-in-jp(1),has_candidates
species-21612,45,ヨモギオナガヒメヒゲナガアブラムシ,Macrosiphoniella grandicauda Takahashi et Moritsu,Macrosiphoniella grandicauda,ヨモギ / ゴボウ,0,,,,,,no_candidates
species-21613,46,ヒコサンヒメヒゲナガアブラムシ,Macrosiphoniella hikosanensis Moritsu,Macrosiphoniella hikosanensis,ヨモギ類,0,,,,,,no_candidates
species-21614,47,クワヤマヒメヒゲナガアブラムシ,Macrosiphoniella kuwayamai Takahashi,Macrosiphoniella kuwayamai,ヨモギ類,0,,,,,,no_candidates
species-21618,51,シャジンヒゲナガアブラムシ,Dactynotus adenophorae (Matsumura),Dactynotus adenophorae,ツリガネニンジン,0,,,,,,no_candidates
species-21619,52,アマミヒゲナガアブラムシ,Dactynotus amamianus (Takahashi),Dactynotus amamianus,アキノキリンソウ / オオアキノキリンソウ,0,,,,,,no_candidates
species-21620,53,ノゲシヒゲナガアブラムシ,Dactynotus cephalonopli Takahashi,Dactynotus cephalonopli,エゾノキツネアザミ / アザミの一種,0,,,,,,no_candidates
species-21621,54,タイワンヒゲナガアブラムシ,Dactynotus formosanus (Takahashi),Dactynotus formosanus,オニノゲシ / チシャ / ニガナ / ノゲシ / リュウゼツサイ,1,species-21149,"Tuberculatus (Orientuberculoides) querciformosanus (Takahashi, 1921)",カシワトゲムネアブラムシ (新称),0,,has_candidates
species-21622,55,アザミヒゲナガアブラムシ,Dactynotus giganteus (Matsumura),Dactynotus giganteus,ノアザミ / ヤマボクチ,0,,,,,,no_candidates
