no,old_insect_id,new_insect_id,japanese_name,scientific_name,old_family_jp,old_japanese_name
1,species-21568,species-23091,ネズミサシオオアブラムシ,Cinara juniperi (de Geer),ヒゲナガガ科,ウスベニヒゲナガ類
2,species-21569,species-23092,ハネナガオオアブラムシ,Cinara longipennis (Matsumura),ツトガ科,キイロフタスジノメイガ
3,species-21570,species-23093,マツオオアブラムシ,Cinara pini (Linné),トリバガ科,ブドウト・リバ類
45,species-4805,species-23094,ヨモギオナガヒメヒゲナガアブラムシ,Macrosiphoniella grandicauda Takahashi et Moritsu,ヒトリガ科,ベニヘリコケガ
46,species-4800,species-23095,ヒコサンヒメヒゲナガアブラムシ,Macrosiphoniella hikosanensis Moritsu,ヒトリガ科,スジベニコケガ
47,species-4799,species-23096,クワヤマヒメヒゲナガアブラムシ,Macrosiphoniella kuwayamai Takahashi,ヒトリガ科,ゴマダラベニコケガ
51,species-4857,species-23097,シャジンヒゲナガアブラムシ,Dactynotus adenophorae (Matsumura),ヒトリガ科,カノコガ
52,species-4859,species-23098,アマミヒゲナガアブラムシ,Dactynotus amamianus (Takahashi),ヒトリガ科,キハダカノコ
53,species-5690,species-23099,ノゲシヒゲナガアブラムシ,Dactynotus cephalonopli Takahashi,ヤガ科,キバラケンモン
54,species-5702,species-23100,タイワンヒゲナガアブラムシ,Dactynotus formosanus (Takahashi),ヤガ科,ゴマケンモン
55,species-5796,species-23101,アザミヒゲナガアブラムシ,Dactynotus giganteus (Matsumura),ヤガ科,オオタバコガ
56,species-5805,species-23102,ゴボウヒゲナガアブラムシ,Dactynotus gobonis (Matsumura),ヤガ科,キタバコガ
57,species-5806,species-23103,キキョウヒゲナガアブラムシ,Dactynotus kikioensis (Shinji),ヤガ科,ウスオビヤガ
58,species-20711,species-23104,アキノキリンソウクロヒゲナガアブラムシ,Dactynotus lactucicola (Strand),ヤガ科,クロヤガ
59,species-20713,species-23105,シロヤマギクヒゲナガアブラムシ,Dactynotus monticola (Takahashi),ヤガ科,タマナヤガ
60,species-20714,species-23106,コウゾリナヒゲナガアブラムシ,Dactynotus picridis (Fabricius),ヤガ科,カブラヤガ
