insect_id,family_jp,scientific_name,hostplant_count,general_note_count,notes
"species-21259","アブラムシ科","Aphis mizutakarashi mizutakarashi Shinji, 1935","2","0",""
"species-21288","アブラムシ科","Aphis aurantii aurantii Boyer de Fonscolombe, 1841","4","0",""
"species-23075","アブラムシ科","Tuberculatus sp. A","1","0","日本原色アブラムシ図鑑の未解決記録（No.26）を一意IDで暫定追加。"
"species-23076","アブラムシ科","Tuberculatus sp. B","1","0","日本原色アブラムシ図鑑の未解決記録（No.27）を一意IDで暫定追加。"
"species-23077","アブラムシ科","Chaitophorus sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.31）を一意IDで暫定追加。"
"species-23078","アブラムシ科","Acyrthosiphon sp. A","1","0","日本原色アブラムシ図鑑の未解決記録（No.81）を一意IDで暫定追加。"
"species-23080","アブラムシ科","Hydronaphis sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.89）を一意IDで暫定追加。"
"species-23081","アブラムシ科","Rhopalosiphoninus sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.91）を一意IDで暫定追加。"
"species-23082","アブラムシ科","Myzus sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.105）を一意IDで暫定追加。"
"species-23083","アブラムシ科","Neotoxoptera sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.118）を一意IDで暫定追加。"
"species-23084","アブラムシ科","Tuberocephalus sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.125）を一意IDで暫定追加。"
"species-23085","アブラムシ科","Aphis sp.","2","0","日本原色アブラムシ図鑑の未解決記録（No.182）を一意IDで暫定追加。"
"species-23086","アブラムシ科","Melanaphis sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.189）を一意IDで暫定追加。"
"species-23087","アブラムシ科","Toxoptera sp. A","2","0","日本原色アブラムシ図鑑の未解決記録（No.196）を一意IDで暫定追加。"
"species-23088","アブラムシ科","Toxoptera sp. B","1","0","日本原色アブラムシ図鑑の未解決記録（No.197）を一意IDで暫定追加。"
"species-23089","アブラムシ科","Aleurodaphis sp.","2","0","日本原色アブラムシ図鑑の未解決記録（No.211）を一意IDで暫定追加。"
"species-23090","アブラムシ科","Eriosoma sp.","1","0","日本原色アブラムシ図鑑の未解決記録（No.232）を一意IDで暫定追加。"
