insect_id,japanese_name,scientific_name,reason
species-3539,カバシャク,"Archiearis parthenias (Linnaeus, 1761)",not_in_input
species-3540,クロフカバシャク,"Archiearis notha (Hübner, 1803)",not_in_input
species-3541,スグリシロエダシャク,"Abraxas grossulariata (Linnaeus, 1758)",not_in_input
species-3542,スギタニシロエダシャク,"Abraxas flavisinuata Warren, 1894",not_in_input
species-3543,キタマダラエダシャク,"Abraxas sylvata (Scopoli, 1763)",not_in_input
species-3544,ヒメマダラエダシャク,"Abraxas niphonibia Wehrli, 1935",not_in_input
species-3551,ヒゲブトシロオビヒメエダシャク,"Lomaspilis mitsuii Sato, 2017",not_in_input
species-3555,サザナミオビエダシャク,"Heterostegane hyriaria Warren, 1894",not_in_input
species-3556,ヤマトエダシャク,"Peratostega deletaria (Moore, 1888)",not_in_input
species-3557,ウチムラサキヒメエダシャク,"Ninodes splendens (Butler, 1878)",not_in_input
species-3558,ワタナベヒメエダシャク,"Ninodes watanabei Inoue, 1976",not_in_input
species-3559,ヘリオビエダシャク,"Hydatocapnia gemina Yazaki, 1990",not_in_input
species-3560,ナミスジシロエダシャク,"Orthocabera tinagmaria (Guenée, 1858)",not_in_input
species-3561,キスジシロエダシャク,"Orthocabera sericea Butler, 1879",not_in_input
species-3562,ホシスジシロエダシャク,"Myrteta punctata (Warren, 1894)",not_in_input
species-3563,クロミスジシロエダシャク,"Myrteta angelica Butler, 1881",not_in_input
species-3564,ミスジシロエダシャク,"Taeniophila unio (Oberthür, 1880)",not_in_input
species-3565,フタオビシロエダシャク,"Lamprocabera candidaria (Leech, 1897)",not_in_input
species-3566,マエキシロエダシャク,"Lomographa inamata (Walker, 1861)",not_in_input
species-3567,クロズウスキエダシャク,"Lomographa simplicior (Butler, 1881)",not_in_input
species-3568,フタホシシロエダシャク,"Lomographa bimaculata (Fabricius, 1775)",not_in_input
species-3569,バラシロエダシャク,"Lomographa temerata (Denis & Schiffermüller, 1775)",not_in_input
species-3570,ウスフタスジシロエダシャク,"Lomographa subspersata (Wehrli, 1939)",not_in_input
species-3571,オオフタスジシロエダシャク,"Lomographa claripennis Inoue, 1977",not_in_input
species-3573,ミスジコナフエダシャク,"Cabera insulata Inoue, 1958",not_in_input
species-3574,ヒラヤマシロエダシャク,"Cabera schaefferi Bremer, 1864",not_in_input
species-3575,コスジシロエダシャク,"Cabera purus (Butler, 1878)",not_in_input
species-3576,アトグロアミメエダシャク,"Cabera griseolimbata (Oberthür, 1879)",not_in_input
species-3577,フタスジウスキエダシャク,"Parabapta aetheriata (Graeser, 1889)",not_in_input
species-3578,イハラエダシャク,"Parabapta iharai Yazaki, 1989",not_in_input
species-3579,ウスアオエダシャク,"Parabapta clarissa (Butler, 1878)",not_in_input
species-3580,フタスジオエダシャク,"Rhynchobapta cervinaria (Moore, 1888)",not_in_input
species-3581,シロミャクオエダシャク,"Rhynchobapta eburnivena (Warren, 1896)",not_in_input
species-3582,マエキオエダシャク,"Plesiomorpha flaviceps (Butler, 1881)",not_in_input
species-3583,モンオビオエダシャク,"Plesiomorpha punctilinearia (Leech, 1891)",not_in_input
species-3584,フタモントガリエダシャク,"Nadagara prosigna Prout, 1930",not_in_input
species-3585,ミナミトガリエダシャク,"Nadagara subnubila Inoue, 1967",not_in_input
species-3586,マルバエダシャク,"Boninnadagara crinomorpha Inoue, 1994",not_in_input
species-3587,ニッコウキエダシャク,"Pseudepione magnaria (Wileman, 1911)",not_in_input
species-3588,フタテンソトグロキエダシャク,"Pseudepione shiraii Inoue, 1943",not_in_input
species-3589,ウスオビヒメエダシャク,"Euchristophia cumulata (Christoph, 1881)",not_in_input
species-3590,ハグルマエダシャク,"Synegia hadassa (Butler, 1878)",not_in_input
species-3591,アベリアハグルマエダシャク,"Synegia pallens Inoue, 1982",not_in_input
species-3592,マルハグルマエダシャク,"Synegia ichinosawaiana (Matsumura, 1925)",not_in_input
species-3593,スジハグルマエダシャク,"Synegia limitatoides Inoue, 1982",not_in_input
species-3594,オオツカハグルマエダシャク,"Synegia ohtsukai Sato, 1990",not_in_input
species-3595,ダイセンハグルマエダシャク,"Synegia daisenensis Sato & Masui, 2012",not_in_input
species-3596,ミナミハグルマエダシャク,"Synegia masuii Sato, 1990",not_in_input
species-3597,クロハグルマエダシャク,"Synegia esther Butler, 1881",not_in_input
species-3598,オオハグルマエダシャク,"Borbacha pardaria (Guenée, 1858)",not_in_input
species-3599,シロズエダシャク,"Ecpetelia albifrontaria (Leech, 1891)",not_in_input
species-3600,コトビスジエダシャク,"Petelia rivulosa (Butler, 1881)",not_in_input
species-3601,ヨスジアカエダシャク,"Astygisa morosa (Butler, 1881)",not_in_input
species-3602,オオヨスジアカエダシャク,"Astygisa chlororphnodes (Wehrli, 1936)",not_in_input
species-3603,ウラキトガリエダシャク,"Hypephyra terrosa Butler, 1889",not_in_input
species-3604,クガニエダシャク,"Hyperythra lutea (Stoll, 1781)",not_in_input
species-3605,ツマキエダシャク,"Platycerota incertaria (Leech, 1891)",not_in_input
species-3606,ツマキアカエダシャク,"Platycerota particolor (Warren, 1896)",not_in_input
species-3607,フタテンオエダシャク,"Chiasmia defixaria (Walker, 1861)",not_in_input
species-3608,ナガオエダシャク,"Chiasmia cinerearia (Bremer & Grey, 1853)",not_in_input
species-3609,ウスオエダシャク,"Chiasmia hebesata (Walker, 1861)",not_in_input
species-3610,オキナワオエダシャク,"Chiasmia emersaria (Walker, 1861)",not_in_input
species-3611,ヒメアミメエダシャク,"Chiasmia clathrata (Linnaeus, 1758)",not_in_input
species-3612,ワモクメオエダシャク,"Chiasmia arcadia Sato & Nishizawa, 2019",not_in_input
species-3613,カバイロオエダシャク,"Chiasmia kanshireiensis (Wileman, 1914)",not_in_input
species-3614,シャンハイオエダシャク,"Macaria shanghaisaria Walker, 1861",not_in_input
species-3615,シロオビオエダシャク,"Macaria fuscaria (Leech, 1891)",not_in_input
species-3616,シナノオエダシャク,"Macaria signaria (Hübner, 1809)",not_in_input
species-3617,チャオビオエダシャク,"Macaria liturata (Clerck, 1759)",not_in_input
species-3618,ギンネムエダシャク,"Macaria abydata Guenée, 1858",not_in_input
species-3619,キトビエダシャク,"Macaria brunneata (Thunberg, 1784)",not_in_input
species-3620,ウスキオエダシャク,"Oxymacaria normata (Alphéraky, 1892)",not_in_input
species-3621,クロモンオエダシャク,"Oxymacaria temeraria (Swinhoe, 1891)",not_in_input
species-3622,フトスジオエダシャク,"Oxymacaria pryeri (Butler, 1879)",not_in_input
species-3623,ウスネズミエダシャク,"Isturgia vapulata (Butler, 1879)",not_in_input
species-3625,トビカギバエダシャク,"Luxiaria amasa (Butler, 1878)",not_in_input
species-3626,ミナミトビカギバエダシャク,"Luxiaria mitorrhaphes Prout, 1925",not_in_input
species-3627,マエモントビカギバエダシャク,"Luxiaria costinota Inoue, 1978",not_in_input
species-3628,キトビカギバエダシャク,"Pseudonadagara semicolor (Warren, 1895)",not_in_input
species-3629,カギバエダシャク,"Pseudonadagara hepatica Inoue, 1994",not_in_input
species-3630,スエヒロエダシャク,"Gonodontis pallida (Butler, 1880)",not_in_input
species-3631,アトムスジエダシャク,"Aporhoptrina semiorbiculata (Christoph, 1881)",not_in_input
species-3632,クロフキエダシャク,"Monocerotesa lutearia (Leech, 1891)",not_in_input
species-3633,ダイセツタカネエダシャク,"Glacies coracina (Esper, 1805)",not_in_input
species-3634,ヘリグロエダシャク,"Bupalus vestalis Staudinger, 1897",not_in_input
species-3635,スカシエダシャク,"Krananda semihyalina Moore, 1868",not_in_input
species-3636,ツマジロエダシャク,"Krananda latimarginaria Leech, 1891",not_in_input
species-3637,キベリゴマフエダシャク,"Epobeidia tigrata (Guenée, 1858)",not_in_input
species-3638,トンボエダシャク,"Cystidia stratonice (Stoll, 1782)",not_in_input
species-3639,ヒロオビトンボエダシャク,"Cystidia truncangulata Wehrli, 1934",not_in_input
species-3640,ウメエダシャク,"Cystidia couaggaria (Guenée, 1858)",not_in_input
species-3641,シロジマエダシャク,"Euryobeidia languidata (Walker, 1862)",not_in_input
species-3642,ゴマダラシロエダシャク,"Antipercnia albinigrata (Warren, 1896)",not_in_input
species-3643,オオゴマダラエダシャク,"Parapercnia giraffata (Guenée, 1858)",not_in_input
species-3644,クロフオオシロエダシャク,"Pogonopygia nigralbata Warren, 1894",not_in_input
species-3645,タイワンオオシロエダシャク,"Pogonopygia pavida (Bastelberger, 1911)",not_in_input
species-3646,クロフシロエダシャク,"Dilophodes elegans (Butler, 1878)",not_in_input
