和名,学名,binomial正規化,binomial一致,ListMJ和名一致,属存在,備考
ヒメキシャチホコ,Pheosiopsis dieckmanni (Graeser,1889),Pheosiopsis dieckmanni,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ハイイロヒメシャチホコ,Nerice leechi (Staudinger,1892),Nerice leechi,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ナガサワシャチホコ,Nerice nagasawa Matsumura,1924,Nerice nagasawa,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ベニモンシャチホコ,Odontodonta grisescens (Staudinger,1892),Odontodonta grisescens,MISS,MISS,MISS,属自体がListMJ不一致の可能性
セグロベニモンシャチホコ,Odontodonta dembowskii (Oberthür,1879),Odontodonta dembowskii,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ホソスジシャチホコ,Hyperaeschra nigrocosta (Matsumura,1924),Hyperaeschra nigrocosta,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ハイイロギンボシシャチホコ,Allodonta takamukui (Matsumura,1920),Allodonta takamukui,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ウスイロカエデシャチホコ,Peridea grahami (Schaus,1928),Peridea grahami,MISS,MISS,MISS,属自体がListMJ不一致の可能性
クロシマシャチホコ,Peridea albipuncta (Wileman,1910),Peridea albipuncta,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ニセクロシマシャチホコ,Peridea pseudalbipuncta (Wileman,1910),Peridea pseudalbipuncta,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ギンモンセダカシャチホコ,Semidonta an-gyei (Okano,1960),Semidonta an-gyei,MISS,MISS,MISS,属自体がListMJ不一致の可能性
キシタクチバ族,Hypocalini,Hypocalini,MISS,MISS,MISS,属自体がListMJ不一致の可能性
ベニモンコノハ族,Phyllodini,Phyllodini,MISS,MISS,MISS,属自体がListMJ不一致の可能性
クルマアツバ亜科,Herminiinae,Herminiinae,MISS,MISS,MISS,属自体がListMJ不一致の可能性
