insect_id,family,family_jp,subfamily,subfamily_jp,tribe,tribe_jp,genus,subgenus,species,subspecies,author,year,japanese_name,old_japanese_name,alternative_name,other_names,scientific_name,synonyms,changes_since_standard,notes
species-20469,,,,,,,,,,,,,アウラコデスヒメハマキ,,,,Dudua aulacodes,,,
species-20470,,,,,,,,,,,,,アカンタヒメハマキ,,,,Rhopobota ancantha,,,
species-20472,,,,,,,,,,,,,アダナマツシンムシガ,,,,Rhyacionia adana,,,
species-20473,,,,,,,,,,,,,アナプロボラヒメハマキ,,,,Dudua anaprobola,,,
species-20474,,,,,,,,,,,,,アルビデュラナヒメハマキ,,,,Eucosma albidulana,,,
species-20475,,,,,,,,,,,,,イグノタナヒメハマキ,,,,Eucosma ignotana,,,
species-20476,,,,,,,,,,,,,イシキヒメハマキ,,,,Herpystis issikii,,,
species-20477,,,,,,,,,,,,,イシダイヒメハマキ,,,,Hendecaneura ishidai,,,
species-20478,,,,,,,,,,,,,イシダヒメハマキ,,,,Epinotia ishidai,,,
species-20479,,,,,,,,,,,,,イソノマシンクイ,,,,Tetramoera isonoma,,,
species-20480,,,,,,,,,,,,,イネクスぺルタナヒメハマキ,,,,Herpystis inexpertana,,,
species-20481,,,,,,,,,,,,,イバラヒメハマキ,,,,Notocelia uddmanniana,,,
species-20482,,,,,,,,,,,,,イリオモテヒメハマキ,,,,Eucosma iriomotensis,,,
species-20483,,,,,,,,,,,,,インフィダナヒメハマキ,,,,Pelochrista infidana,,,
species-20484,,,,,,,,,,,,,ウスイロミズイガ,,,,Bactra simpliciana,,,
species-20485,,,,,,,,,,,,,ウスオビシロヒメハマキ,,,,Gypsonoma obtusatana,,,
species-20486,,,,,,,,,,,,,ウスグロミズイガ,,,,Bactra phaeopis,,,
species-20487,,,,,,,,,,,,,ウスジロヒメハマキ,,,,Eucosma lacteana,,,
species-20488,,,,,,,,,,,,,ウスズミヒメハマキ,,,,Notocelia illotana,,,
species-20489,,,,,,,,,,,,,ウスモンマツメムシガ,,,,Clavigesta pithyusana,,,
species-20490,,,,,,,,,,,,,ウルシヒメハマキ,,,,Epinotia rhoifoliiana,,,
species-20491,,,,,,,,,,,,,ウンブリゲラヒメハマキ,,,,Pelochrista umbrigera,,,
species-20492,,,,,,,,,,,,,エウメニカヒメハマキ,,,,Dudua eumenica,,,
species-20493,,,,,,,,,,,,,エゾヒメハマキ,,,,Herpystis essosinensis,,,
species-20494,,,,,,,,,,,,,オオクロモンミズイガ,,,,Bactra cheradota,,,
species-20495,,,,,,,,,,,,,オオマツムシガ,,,,Petrova permutata,,,
species-20496,,,,,,,,,,,,,オオヨモギヒメハマキ,,,,Epiblema completionis,,,
species-20497,,,,,,,,,,,,,オガサワラマツシンムシガ,,,,Rhyacionia insulariana,,,
species-20498,,,,,,,,,,,,,オキナワヒメハマキ,,,,Eucosma okinawaensis,,,
species-20499,,,,,,,,,,,,,オニグルミヒメハマキ,,,,Epinotia parabrachyacantha,,,
species-20500,,,,,,,,,,,,,オノモチマツムシガ,,,,Retinia onomochiana,,,
species-20501,,,,,,,,,,,,,オビミズイガ,,,,Bactra fasciata,,,
species-20502,,,,,,,,,,,,,オプタニミズイガ,,,,Bactra optani,,,
species-20503,,,,,,,,,,,,,オルナタヒメハマキ,,,,Pelochrista ornata,,,
species-20504,,,,,,,,,,,,,カエサナヒメハマキ,,,,Eucosma caesana,,,
species-20505,,,,,,,,,,,,,カエシアルパナヒメハマキ,,,,Rhopobota caesialpana,,,
species-20506,,,,,,,,,,,,,カバヒメハマキ,,,,Hendecaneura cervina,,,
species-20507,,,,,,,,,,,,,カバヒメハマキモドキ,,,,Eucosma fuscana,,,
species-20508,,,,,,,,,,,,,カマツカヒメハマキ,,,,Notocelia peltastica,,,
species-20509,,,,,,,,,,,,,カメノコモドキ,,,,Bactra testudana,,,
species-20510,,,,,,,,,,,,,カラサワヒメハマキ,,,,Epinotia karasawai,,,
species-20511,,,,,,,,,,,,,カンコミモグリヒメハマキ,,,,Tritopterna capyra,,,
species-20512,,,,,,,,,,,,,キアノピスシンクイ,,,,Tetramoera cyanopis,,,
species-20513,,,,,,,,,,,,,キクログラファヒメハマキ,,,,Dudua cyclographa,,,
species-20514,,,,,,,,,,,,,キシロファガナヒメハマキ,,,,Dudua xylophagana,,,
species-20516,,,,,,,,,,,,,クリシフォナヒメハマキ,,,,Eucosma chrysyphona,,,
species-20517,,,,,,,,,,,,,クリミドリヒメハマキ,,,,Hendecaneura fagiglandana,,,
species-20518,,,,,,,,,,,,,クロコヒメハマキ,,,,Epinotia kurokoi,,,
species-20519,,,,,,,,,,,,,クロソトマヒメハマキ,,,,Dudua crossotoma,,,
species-20520,,,,,,,,,,,,,クロフミズイガ,,,,Bactra admiranda,,,
species-20521,,,,,,,,,,,,,クロベヒメハマキ,,,,Hendecaneura eucosmocnese,,,
species-20522,,,,,,,,,,,,,クロモンマツメムシガ,,,,Clavigesta melanoceros,,,
species-20523,,,,,,,,,,,,,グアバシンムシガ,,,,Strepsicrates rhothia,,,
species-20524,,,,,,,,,,,,,グラデンシスヒメハマキ,,,,Eucosma gradensis,,,
species-20525,,,,,,,,,,,,,グロリオサマツムシガ,,,,Petrova gloriosa,,,
species-20526,,,,,,,,,,,,,コアシンクイガ,,,,Cryptophlebia illepida,,,
species-20527,,,,,,,,,,,,,コウスズミヒメハマキ,,,,Notocelia autolitha,,,
species-20528,,,,,,,,,,,,,コクロモンミズイガ,,,,Bactra noteraula,,,
species-20529,,,,,,,,,,,,,コシロヒメハマキ,,,,Gypsonoma herbaria,,,
species-20530,,,,,,,,,,,,,コムメラナヒメハマキ,,,,Eucosmothea commelanma,,,
species-20531,,,,,,,,,,,,,ササキヒメハマキ,,,,Proteoteras sasakii,,,
