plant_name,families,count
キリ,ゴマノハグサ科 | キリ科,2
クヌギ,ブナ科 | アブラムシやキジラミが寄生する植物（ブナ科,2
イロハモミジ,カエデ科 | ムクロジ科,2
クロツバラ,バラ科 | クロウメモドキ科,2
ミズナラ,ブナ科 | バラ科 | ツツジ科,3
オニグルミ,クルミ科 | マンサク科,2
不明,ブドウ科 | マキ科 | クワ科 | バラ科 | キク科 | イネ科 | マンサク科 | ナス科,8
ガマズミ,スイカズラ科 | レンプクソウ科,2
オオカメノキ,スイカズラ科 | レンプクソウ科,2
ヒサカキ,サカキ科 | ツバキ科,2
ツリガネタケ,多孔菌科 | ブナ科,2
シナノキ,アオイ科 | シナノキ科,2
シマイズセンリョウ,ヤブコウジ科 | サクラソウ科,2
エノキ,ニレ科 | アサ科,2
ナナカマド,バラ科 | ハラ科,2
スギ,スギ科 | ヒノキ科,2
サンゴジュ,スイカズラ科 | レンプクソウ科,2
カラコギカエデ,ムクロジ科 | カエデ科,2
オニドコロ,ヤマノイモ科 | オシロイバナ科,2
アサダ,カバノキ科 | ムクロジ科,2
ホウビガンジュ,フルシダ科 | ツルシダ科,2
キイチゴ属,バラ科 | シソ科,2
ウワミズザクラ,バラ科 | セリ科,2
サクラ,バラ科 | ヤナギ科 | モチノキ科,3
ハクウンボク,エゴノキ科 | ツツジ科,2
モモ,バラ科 | ニシキギ科,2
ガンコウラン,ツツジ科 | ガンコウラン科,2
アケビ,アケビ科 | モクセイ科,2
テリハボク,フクギ科 | オトギリソウ科,2
アカギ,トウダイグサ科 | コミカンソウ科,2
クスノハカエデ,ムクロジ科 | カエデ科,2
モクタチバナ,サクラソウ科 | ヤブコウジ科,2
ホザキシモツケ,バラ科 | ヤマモモ科,2
シロツメクサ,マメ科 | シソ科,2
ムラサキケマン,ケシ科 | ケマンソウ科,2
レンブ,フトモモ科 | ウコギ科,2
エビヅル,ブドウ科 | アカネ科 | ビワモドキ科,3
ヤブデマリ,レンプクソウ科 | スイカズラ科,2
トマト,ナス科 | タバコ属などのナス科,2
アカシア,カバノキ科 | マメ科,2
ハリエンジュ,マメ科 | ブナ科,2
クワズイモ,サトイモ科 | ヒルガオ科,2
サトイモ,サトイモ科 | ツユクサ科,2
カラスビシャク,アカバナ科 | サトイモ科,2
トチノキ,ムクロジ科 | トチノキ科,2
ウツギ,アジサイ科 | ユキノシタ科,2
クガイソウ,オオバコ科 | ゴマノハグサ科,2
サルトリイバラ,シオデ科 | ユリ科,2
ヤマヒハツ,トウダイグサ科 | コミカンソウ科,2
テンサイ,ヒエ科 | ヒユ科,2
カナムグラ,アサ科 | クワ科,2
カラハナソウ,アサ科 | クワ科,2
アカザ,アカザ科 | ヒユ科,2
