type,record_id,plant_name,from,to
family_align_ylist,host-B1B7-20251121002628-0079,ガマズミ,レンプクソウ科,ガマズミ科
family_align_ylist,host-B1B7-20251121002628-0082,イヌシデ,ブナ科,カバノキ科
family_align_ylist,host-B1B7-20251121002628-0092,ガマズミ,レンプクソウ科,ガマズミ科
family_align_ylist,host-B1B7-20251121002628-0151,ミツバアケビ,ムクロジ科,アケビ科
family_align_ylist,host-B1B7-20251121002628-0168,ヤブデマリ,レンプクソウ科,ガマズミ科
family_align_ylist,host-B1B7-20251121002628-0193,バイケイソウ,ユリ科,シュロソウ科
family_align_ylist,host-B1B7-20251121002628-0320,フウ,マンサク科,フウ科
family_align_ylist,host-B1B7-20251121002628-0342,サンゴジュ,レンプクソウ科,ガマズミ科
family_align_ylist,host-B1B7-20251121002628-0345,クズ,ブナ科,マメ科
family_align_ylist,host-B1B7-20251121002628-0412,フジ,フジ科,マメ科
family_align_ylist,host-B1B7-20251121002628-0490,ナハカノコソウ,オミナエシ科,オシロイバナ科
name_paren_canonicalize,host-B1B7-20251121002628-0510,ハスモンヨトウとともにタイモ (ミズイモ),ハスモンヨトウとともにタイモ (ミズイモ),ハスモンヨトウとともにタイモ
family_align_ylist,hostplant-000804,ガマズミ,レンプクソウ科,ガマズミ科
family_align_ylist,hostplant-001751,ヒサカキ,サカキ科,モッコク科
family_verified_override,hostplant-001777,サクラ,ヤナギ科,バラ科
family_verified_override,hostplant-002067,アカシア,カバノキ科,マメ科
family_verified_override,hostplant-002862,サクラ,モチノキ科,バラ科
name_paren_canonicalize,hostplant-003104,オクラ (Abelmoschus esculentus),オクラ (Abelmoschus esculentus),オクラ
name_paren_canonicalize,hostplant-003106,フヨウ (Hibiscus mutabilis),フヨウ (Hibiscus mutabilis),フヨウ
name_paren_canonicalize,hostplant-003107,ローゼル (Hibiscus sabdariffa),ローゼル (Hibiscus sabdariffa),ローゼル
name_paren_canonicalize,hostplant-003119,ハイビスカス (フヨウ属 Hibiscus),ハイビスカス (フヨウ属 Hibiscus),ハイビスカス
family_align_ylist,hostplant-003497,キャベツ,アズキなどマメ科,アブラナ科
family_align_ylist,hostplant-003522,オランダイチゴ,シソ科,バラ科
name_paren_canonicalize,hostplant-004402,ホースシューヴェッチ (Hippocrepis comosa L),ホースシューヴェッチ (Hippocrepis comosa L),ホースシューヴェッチ
name_paren_canonicalize,hostplant-004457,ハリエンジュ（ニセアカシア）,ハリエンジュ（ニセアカシア）,ハリエンジュ
name_paren_canonicalize,hostplant-004681,カヤ（ススキ）,カヤ（ススキ）,カヤ
name_descriptive_strip,hostplant-900326,スギナと思われる,スギナと思われる,スギナ
name_descriptive_strip,hostplant-900848,シイ類と思われるが,シイ類と思われるが,シイ類
family_align_ylist,hostplant-901074,クズ,ブナ科,マメ科
family_align_ylist,hostplant-901097,ニワトコ,レンプクソウ科,ガマズミ科
family_align_ylist,hostplant-901168,タケニグサ,キク科,ケシ科
family_align_ylist,hostplant-901169,ネギ,ネギ科,ヒガンバナ科
