insect_id,normalized_plant,count,plant_names,record_ids
species-3749,ブナ,3,ブナ,hostplant-001120 | hostplant-B1B6-0522 | hostplant-909332
species-3749,コナラ,3,コナラ,hostplant-001122 | hostplant-B1B6-0523 | hostplant-909334
species-3749,ミズナラ,3,ミズナラ,hostplant-001123 | hostplant-B1B6-0524 | hostplant-909335
species-3749,クヌギ,3,クヌギ,hostplant-001124 | hostplant-B1B6-0525 | hostplant-909336
species-3749,カシワ,3,カシワ,hostplant-001125 | hostplant-B1B6-0526 | hostplant-909337
species-3749,アベマキ,3,アベマキ,hostplant-001126 | hostplant-B1B6-0527 | hostplant-909338
species-3750,コナラ,3,コナラ,hostplant-001127 | hostplant-B1B6-0528 | hostplant-909339
species-3750,ミズナラ,3,ミズナラ,hostplant-001128 | hostplant-B1B6-0529 | hostplant-909340
species-3750,クヌギ,3,クヌギ,hostplant-001129 | hostplant-B1B6-0530 | hostplant-909341
species-3750,アベマキ,3,アベマキ,hostplant-001130 | hostplant-B1B6-0531 | hostplant-909342
species-3750,カシワ,3,カシワ,hostplant-001131 | hostplant-B1B6-0532 | hostplant-909343
species-3877,クヌギ,3,クヌギ,hostplant-001225 | hostplant-B1B6-0810 | hostplant-909366
species-3877,コナラ,3,コナラ,hostplant-001226 | hostplant-B1B6-0811 | hostplant-909365
species-3885,ヤシャブシ,3,ヤシャブシ,hostplant-001233 | hostplant-B1B6-0838 | hostplant-909376
species-3885,ドウダンツツジ,3,ドウダンツツジ,hostplant-001234 | hostplant-B1B6-0840 | hostplant-909377
species-3885,ミヤマキリシマ,3,ミヤマキリシマ,hostplant-001235 | hostplant-B1B6-0841 | hostplant-909375
species-3887,カシワ,3,カシワ,hostplant-001238 | hostplant-B1B6-0846 | hostplant-909380
species-3887,アベマキ,3,アベマキ,hostplant-001239 | hostplant-B1B6-0847 | hostplant-909381
species-5791,ケヤキ,3,ケヤキ,hostplant-003787 | hostplant-909418 | hostplant-913361
species-5920,オトギリソウ,3,オトギリソウ,hostplant-003957 | hostplant-913285 | hostplant-913321
species-6024,ヤチヤナギ,3,ヤチヤナギ,hostplant-004134 | hostplant-909455 | hostplant-913360
species-6037,シナノキ,3,シナノキ,hostplant-004158 | hostplant-909503 | hostplant-913303
species-6050,ツゲ,3,ツゲ,hostplant-004176 | hostplant-906061 | hostplant-909525
species-6053,クヌギ,3,クヌギ,hostplant-004187 | hostplant-909575 | hostplant-913212
species-6065,クヌギ,3,クヌギ,hostplant-004218 | record-007864 | hostplant-909582
species-6065,カシワ,3,カシワ,hostplant-004220 | hostplant-909581 | hostplant-913284
species-6117,ホザキシモツケ,3,ホザキシモツケ,hostplant-004307 | hostplant-909697 | hostplant-913351
species-6124,ツルグミ,3,ツルグミ,hostplant-004335 | record-007962 | hostplant-909758
species-6127,ウラジロガシ,3,ウラジロガシ,hostplant-004347 | hostplant-909769 | hostplant-913391
species-6155,シナノキ,3,シナノキ,hostplant-004432 | hostplant-913332 | hostplant-913420
species-20438,シロバナエンレイソウ,3,シロバナエンレイソウ,hostplant-905901 | record-008035 | hostplant-909848
species-5725,ハンノキ,3,ハンノキ,hostplant-906665 | hostplant-913282 | hostplant-PDFAUDIT-20260710-0141
species-20644,ヨモギ,3,ヨモギ,hostplant-906685 | hostplant-913376 | hostplant-PDFAUDIT-20260710-0055
species-4956,アキニレ,3,アキニレ,hostplant-906711 | hostplant-913266 | hostplant-PDFAUDIT-20260710-0096
species-20438,アマドコロ,3,アマドコロ,hostplant-907312 | record-008036 | hostplant-909846
species-4442,クヌギ,2,クヌギ,host-B1B7-20251121002628-0278 | hostplant-001816
species-0024,ブナ,2,ブナ,hostplant-000018 | hostplant-912571
species-0030,シラカンバ,2,シラカンバ,hostplant-000027 | hostplant-912573
species-0031,シラカンバ,2,シラカンバ,hostplant-000028 | hostplant-912574
species-0032,サワシバ,2,サワシバ,hostplant-000031 | hostplant-912575
species-0050,シラカンバ,2,シラカンバ,hostplant-000049 | hostplant-912578
species-0050,オノオレカンバ,2,オノオレカンバ,hostplant-000050 | hostplant-912579
species-0052,シラカンバ,2,シラカンバ,hostplant-000051 | hostplant-912581
species-0053,ツノハシバミ,2,ツノハシバミ,hostplant-000054 | hostplant-912582
species-0055,シラカンバ,2,シラカンバ,hostplant-000057 | hostplant-912580
species-0056,ハンノキ,2,ハンノキ,hostplant-000058 | hostplant-908274
species-0060,クロツバラ,2,クロツバラ,hostplant-000062 | hostplant-912584
species-0073,ヤマツツジ,2,ヤマツツジ,hostplant-000077 | hostplant-912585
species-0119,シラカンバ,2,シラカンバ,hostplant-000122 | hostplant-912586
species-0141,ノブドウ,2,ノブドウ,hostplant-000127 | hostplant-912587
species-0142,ノブドウ,2,ノブドウ,hostplant-000129 | hostplant-912588
species-0147,ヤマブドウ,2,ヤマブドウ,hostplant-000138 | hostplant-912589
species-0149,ヤマブドウ,2,ヤマブドウ,hostplant-000141 | hostplant-912590
species-0151,ツルアジサイ,2,ツルアジサイ,hostplant-000144 | hostplant-912591
species-0204,コバノミツバツツジ,2,コバノミツバツツジ,hostplant-000163 | hostplant-912592
species-0204,ゴヨウツツジ,2,ゴヨウツツジ,hostplant-000164 | hostplant-912593
species-0213,アベマキ,2,アベマキ,hostplant-000179 | hostplant-912595
species-0218,バラ,2,バラ,hostplant-000191 | hostplant-912596
species-0219,ナガバモミジイチゴ,2,ナガバモミジイチゴ,hostplant-000194 | hostplant-912597
species-0219,バライチゴ,2,バライチゴ,hostplant-000195 | hostplant-912598
species-0335,シマイズセンリョウ,2,シマイズセンリョウ,hostplant-000312 | hostplant-912601
species-0609,ツブラジイ,2,ツブラジイ,hostplant-000327 | hostplant-912602
species-0614,エゾノコリンゴ,2,エゾノコリンゴ,hostplant-000334 | hostplant-912603
